"Código","Departamento","Población de 7 años o más","Situacion","Personas","Porcentaje Asistencia"
1,"Guatemala",2641109,"Asiste",829617,31.41
1,"Guatemala",2641109,"No asiste",1811492,68.59
2,"El Progreso",151201,"Asiste",42718,28.25
2,"El Progreso",151201,"No asiste",108483,71.75
3,"Sacatepéquez",287301,"Asiste",84352,29.36
3,"Sacatepéquez",287301,"No asiste",202949,70.64
4,"Chimaltenango",517360,"Asiste",146055,28.23
4,"Chimaltenango",517360,"No asiste",371305,71.77
5,"Escuintla",623009,"Asiste",171345,27.5
5,"Escuintla",623009,"No asiste",451664,72.5
6,"Santa Rosa",336320,"Asiste",96828,28.79
6,"Santa Rosa",336320,"No asiste",239492,71.21
7,"Sololá",358457,"Asiste",98094,27.37
7,"Sololá",358457,"No asiste",260363,72.63
8,"Totonicapán",350819,"Asiste",89640,25.55
8,"Totonicapán",350819,"No asiste",261179,74.45
9,"Quetzaltenango",680558,"Asiste",197158,28.97
9,"Quetzaltenango",680558,"No asiste",483400,71.03
10,"Suchitepéquez",463564,"Asiste",129898,28.02
10,"Suchitepéquez",463564,"No asiste",333666,71.98
11,"Retalhuleu",274349,"Asiste",79675,29.04
11,"Retalhuleu",274349,"No asiste",194674,70.96
12,"San Marcos",848315,"Asiste",246276,29.03
12,"San Marcos",848315,"No asiste",602039,70.97
13,"Huehuetenango",946716,"Asiste",241682,25.53
13,"Huehuetenango",946716,"No asiste",705034,74.47
14,"Quiché",773272,"Asiste",211552,27.36
14,"Quiché",773272,"No asiste",561720,72.64
15,"Baja Verapaz",248176,"Asiste",71234,28.7
15,"Baja Verapaz",248176,"No asiste",176942,71.3
16,"Alta Verapaz",984235,"Asiste",290130,29.48
16,"Alta Verapaz",984235,"No asiste",694105,70.52
17,"Petén",449331,"Asiste",132216,29.43
17,"Petén",449331,"No asiste",317115,70.57
18,"Izabal",342614,"Asiste",97432,28.44
18,"Izabal",342614,"No asiste",245182,71.56
19,"Zacapa",209192,"Asiste",55620,26.59
19,"Zacapa",209192,"No asiste",153572,73.41
20,"Chiquimula",343834,"Asiste",90874,26.43
20,"Chiquimula",343834,"No asiste",252960,73.57
21,"Jalapa",283478,"Asiste",80880,28.53
21,"Jalapa",283478,"No asiste",202598,71.47
22,"Jutiapa",415727,"Asiste",117611,28.29
22,"Jutiapa",415727,"No asiste",298116,71.71
