"Código","Departamento","Población de 4 años o más","Dificultades","Cantidad de Personas","Porcentaje con Dificultad"
1,"Guatemala",2806497,"Sin dificultad para Ver",2487340,88.63
2,"El Progreso",162594,"Sin dificultad para Ver",149006,91.64
3,"Sacatepéquez",306541,"Sin dificultad para Ver",274444,89.53
4,"Chimaltenango",560280,"Sin dificultad para Ver",513299,91.61
5,"Escuintla",671337,"Sin dificultad para Ver",614300,91.5
6,"Santa Rosa",363438,"Sin dificultad para Ver",332686,91.54
7,"Sololá",386477,"Sin dificultad para Ver",359724,93.08
8,"Totonicapán",380433,"Sin dificultad para Ver",351804,92.47
9,"Quetzaltenango",732644,"Sin dificultad para Ver",676445,92.33
10,"Suchitepéquez",503605,"Sin dificultad para Ver",466262,92.58
11,"Retalhuleu",297336,"Sin dificultad para Ver",272856,91.77
12,"San Marcos",927949,"Sin dificultad para Ver",872923,94.07
13,"Huehuetenango",1042956,"Sin dificultad para Ver",976478,93.63
14,"Quiché",850655,"Sin dificultad para Ver",795140,93.47
15,"Baja Verapaz",270113,"Sin dificultad para Ver",248993,92.18
16,"Alta Verapaz",1082785,"Sin dificultad para Ver",1003218,92.65
17,"Petén",492043,"Sin dificultad para Ver",463059,94.11
18,"Izabal",371688,"Sin dificultad para Ver",340483,91.6
19,"Zacapa",225364,"Sin dificultad para Ver",204264,90.64
20,"Chiquimula",374636,"Sin dificultad para Ver",347417,92.73
21,"Jalapa",309460,"Sin dificultad para Ver",289586,93.58
22,"Jutiapa",448066,"Sin dificultad para Ver",412123,91.98
1,"Guatemala",2806497,"Con dificultad para Ver",280202,9.98
2,"El Progreso",162594,"Con dificultad para Ver",12028,7.4
3,"Sacatepéquez",306541,"Con dificultad para Ver",26762,8.73
4,"Chimaltenango",560280,"Con dificultad para Ver",42424,7.57
5,"Escuintla",671337,"Con dificultad para Ver",45713,6.81
6,"Santa Rosa",363438,"Con dificultad para Ver",28597,7.87
7,"Sololá",386477,"Con dificultad para Ver",23027,5.96
8,"Totonicapán",380433,"Con dificultad para Ver",18852,4.96
9,"Quetzaltenango",732644,"Con dificultad para Ver",45781,6.25
10,"Suchitepéquez",503605,"Con dificultad para Ver",32995,6.55
11,"Retalhuleu",297336,"Con dificultad para Ver",21796,7.33
12,"San Marcos",927949,"Con dificultad para Ver",40625,4.38
13,"Huehuetenango",1042956,"Con dificultad para Ver",53978,5.18
14,"Quiché",850655,"Con dificultad para Ver",42999,5.05
15,"Baja Verapaz",270113,"Con dificultad para Ver",19303,7.15
16,"Alta Verapaz",1082785,"Con dificultad para Ver",70889,6.55
17,"Petén",492043,"Con dificultad para Ver",22377,4.55
18,"Izabal",371688,"Con dificultad para Ver",26752,7.2
19,"Zacapa",225364,"Con dificultad para Ver",18028,8
20,"Chiquimula",374636,"Con dificultad para Ver",23810,6.36
21,"Jalapa",309460,"Con dificultad para Ver",18496,5.98
22,"Jutiapa",448066,"Con dificultad para Ver",32357,7.22
1,"Guatemala",2806497,"NA_Ver",38955,1.39
2,"El Progreso",162594,"NA_Ver",1560,0.96
3,"Sacatepéquez",306541,"NA_Ver",5335,1.74
4,"Chimaltenango",560280,"NA_Ver",4557,0.81
5,"Escuintla",671337,"NA_Ver",11324,1.69
6,"Santa Rosa",363438,"NA_Ver",2155,0.59
7,"Sololá",386477,"NA_Ver",3726,0.96
8,"Totonicapán",380433,"NA_Ver",9777,2.57
9,"Quetzaltenango",732644,"NA_Ver",10418,1.42
10,"Suchitepéquez",503605,"NA_Ver",4348,0.86
11,"Retalhuleu",297336,"NA_Ver",2684,0.9
12,"San Marcos",927949,"NA_Ver",14401,1.55
13,"Huehuetenango",1042956,"NA_Ver",12500,1.2
14,"Quiché",850655,"NA_Ver",12516,1.47
15,"Baja Verapaz",270113,"NA_Ver",1817,0.67
16,"Alta Verapaz",1082785,"NA_Ver",8678,0.8
17,"Petén",492043,"NA_Ver",6607,1.34
18,"Izabal",371688,"NA_Ver",4453,1.2
19,"Zacapa",225364,"NA_Ver",3072,1.36
20,"Chiquimula",374636,"NA_Ver",3409,0.91
21,"Jalapa",309460,"NA_Ver",1378,0.45
22,"Jutiapa",448066,"NA_Ver",3586,0.8
1,"Guatemala",2806497,"Sin dificultad para Oir",2695244,96.04
2,"El Progreso",162594,"Sin dificultad para Oir",156787,96.43
3,"Sacatepéquez",306541,"Sin dificultad para Oir",291436,95.07
4,"Chimaltenango",560280,"Sin dificultad para Oir",538971,96.2
5,"Escuintla",671337,"Sin dificultad para Oir",643668,95.88
6,"Santa Rosa",363438,"Sin dificultad para Oir",351091,96.6
7,"Sololá",386477,"Sin dificultad para Oir",371630,96.16
8,"Totonicapán",380433,"Sin dificultad para Oir",359328,94.45
9,"Quetzaltenango",732644,"Sin dificultad para Oir",702741,95.92
10,"Suchitepéquez",503605,"Sin dificultad para Oir",484779,96.26
11,"Retalhuleu",297336,"Sin dificultad para Oir",285894,96.15
12,"San Marcos",927949,"Sin dificultad para Oir",893061,96.24
13,"Huehuetenango",1042956,"Sin dificultad para Oir",1003043,96.17
14,"Quiché",850655,"Sin dificultad para Oir",814435,95.74
15,"Baja Verapaz",270113,"Sin dificultad para Oir",259726,96.15
16,"Alta Verapaz",1082785,"Sin dificultad para Oir",1042098,96.24
17,"Petén",492043,"Sin dificultad para Oir",476033,96.75
18,"Izabal",371688,"Sin dificultad para Oir",356055,95.79
19,"Zacapa",225364,"Sin dificultad para Oir",215625,95.68
20,"Chiquimula",374636,"Sin dificultad para Oir",360852,96.32
21,"Jalapa",309460,"Sin dificultad para Oir",299680,96.84
22,"Jutiapa",448066,"Sin dificultad para Oir",430321,96.04
1,"Guatemala",2806497,"Con dificultad para Oir",69667,2.48
2,"El Progreso",162594,"Con dificultad para Oir",4397,2.7
3,"Sacatepéquez",306541,"Con dificultad para Oir",8490,2.77
4,"Chimaltenango",560280,"Con dificultad para Oir",16656,2.97
5,"Escuintla",671337,"Con dificultad para Oir",16010,2.38
6,"Santa Rosa",363438,"Con dificultad para Oir",10145,2.79
7,"Sololá",386477,"Con dificultad para Oir",11110,2.87
8,"Totonicapán",380433,"Con dificultad para Oir",11164,2.93
9,"Quetzaltenango",732644,"Con dificultad para Oir",19421,2.65
10,"Suchitepéquez",503605,"Con dificultad para Oir",14426,2.86
11,"Retalhuleu",297336,"Con dificultad para Oir",8648,2.91
12,"San Marcos",927949,"Con dificultad para Oir",20464,2.21
13,"Huehuetenango",1042956,"Con dificultad para Oir",27245,2.61
14,"Quiché",850655,"Con dificultad para Oir",23550,2.77
15,"Baja Verapaz",270113,"Con dificultad para Oir",8680,3.21
16,"Alta Verapaz",1082785,"Con dificultad para Oir",31670,2.92
17,"Petén",492043,"Con dificultad para Oir",9337,1.9
18,"Izabal",371688,"Con dificultad para Oir",11138,3
19,"Zacapa",225364,"Con dificultad para Oir",6578,2.92
20,"Chiquimula",374636,"Con dificultad para Oir",10453,2.79
21,"Jalapa",309460,"Con dificultad para Oir",8453,2.73
22,"Jutiapa",448066,"Con dificultad para Oir",14006,3.13
1,"Guatemala",2806497,"NA_Oir",41586,1.48
2,"El Progreso",162594,"NA_Oir",1410,0.87
3,"Sacatepéquez",306541,"NA_Oir",6615,2.16
4,"Chimaltenango",560280,"NA_Oir",4653,0.83
5,"Escuintla",671337,"NA_Oir",11659,1.74
6,"Santa Rosa",363438,"NA_Oir",2202,0.61
7,"Sololá",386477,"NA_Oir",3737,0.97
8,"Totonicapán",380433,"NA_Oir",9941,2.61
9,"Quetzaltenango",732644,"NA_Oir",10482,1.43
10,"Suchitepéquez",503605,"NA_Oir",4400,0.87
11,"Retalhuleu",297336,"NA_Oir",2794,0.94
12,"San Marcos",927949,"NA_Oir",14424,1.55
13,"Huehuetenango",1042956,"NA_Oir",12668,1.21
14,"Quiché",850655,"NA_Oir",12670,1.49
15,"Baja Verapaz",270113,"NA_Oir",1707,0.63
