"Código","Departamento","Total de personas","Grupo de Edades 15 años","Cantidad","Porcentaje de Poblacion"
1,"Guatemala",3015081,"0 - 14",806879,26.76
1,"Guatemala",3015081,"15 - 29",878774,29.15
1,"Guatemala",3015081,"30 - 64",1131200,37.52
1,"Guatemala",3015081,"65 - 84",177995,5.9
1,"Guatemala",3015081,"85 o más",20233,0.67
2,"El Progreso",176632,"0 - 14",53929,30.53
2,"El Progreso",176632,"15 - 29",50643,28.67
2,"El Progreso",176632,"30 - 64",59761,33.83
2,"El Progreso",176632,"65 - 84",10847,6.14
2,"El Progreso",176632,"85 o más",1452,0.82
3,"Sacatepéquez",330469,"0 - 14",95094,28.78
3,"Sacatepéquez",330469,"15 - 29",100178,30.31
3,"Sacatepéquez",330469,"30 - 64",115299,34.89
3,"Sacatepéquez",330469,"65 - 84",17770,5.38
3,"Sacatepéquez",330469,"85 o más",2128,0.64
4,"Chimaltenango",615776,"0 - 14",209443,34.01
4,"Chimaltenango",615776,"15 - 29",189006,30.69
4,"Chimaltenango",615776,"30 - 64",186870,30.35
4,"Chimaltenango",615776,"65 - 84",27386,4.45
4,"Chimaltenango",615776,"85 o más",3071,0.5
5,"Escuintla",733181,"0 - 14",229278,31.27
5,"Escuintla",733181,"15 - 29",221090,30.15
5,"Escuintla",733181,"30 - 64",242842,33.12
5,"Escuintla",733181,"65 - 84",36138,4.93
5,"Escuintla",733181,"85 o más",3833,0.52
6,"Santa Rosa",396607,"0 - 14",126441,31.88
6,"Santa Rosa",396607,"15 - 29",116174,29.29
6,"Santa Rosa",396607,"30 - 64",128229,32.33
6,"Santa Rosa",396607,"65 - 84",22892,5.77
6,"Santa Rosa",396607,"85 o más",2871,0.72
7,"Sololá",421583,"0 - 14",139248,33.03
7,"Sololá",421583,"15 - 29",130066,30.85
7,"Sololá",421583,"30 - 64",130730,31.01
7,"Sololá",421583,"65 - 84",19510,4.63
7,"Sololá",421583,"85 o más",2029,0.48
8,"Totonicapán",418569,"0 - 14",144322,34.48
8,"Totonicapán",418569,"15 - 29",128265,30.64
8,"Totonicapán",418569,"30 - 64",122441,29.25
8,"Totonicapán",418569,"65 - 84",21134,5.05
8,"Totonicapán",418569,"85 o más",2407,0.58
9,"Quetzaltenango",799101,"0 - 14",250233,31.31
9,"Quetzaltenango",799101,"15 - 29",239778,30.01
9,"Quetzaltenango",799101,"30 - 64",258979,32.41
9,"Quetzaltenango",799101,"65 - 84",44501,5.57
9,"Quetzaltenango",799101,"85 o más",5610,0.7
10,"Suchitepéquez",554695,"0 - 14",189934,34.24
10,"Suchitepéquez",554695,"15 - 29",165602,29.85
10,"Suchitepéquez",554695,"30 - 64",168711,30.42
10,"Suchitepéquez",554695,"65 - 84",27518,4.96
10,"Suchitepéquez",554695,"85 o más",2930,0.53
11,"Retalhuleu",326828,"0 - 14",108898,33.32
11,"Retalhuleu",326828,"15 - 29",97839,29.94
11,"Retalhuleu",326828,"30 - 64",100620,30.79
11,"Retalhuleu",326828,"65 - 84",17445,5.34
11,"Retalhuleu",326828,"85 o más",2026,0.62
12,"San Marcos",1032277,"0 - 14",383302,37.13
12,"San Marcos",1032277,"15 - 29",290916,28.18
12,"San Marcos",1032277,"30 - 64",297356,28.81
12,"San Marcos",1032277,"65 - 84",53721,5.2
12,"San Marcos",1032277,"85 o más",6982,0.68
13,"Huehuetenango",1170669,"0 - 14",453183,38.71
13,"Huehuetenango",1170669,"15 - 29",336334,28.73
13,"Huehuetenango",1170669,"30 - 64",321656,27.48
13,"Huehuetenango",1170669,"65 - 84",53194,4.54
