"Código","Departamento","Población Económicamente Activa","Situación Laboral","Personas","Porcentaje de Economicamente Activa"
1,"Guatemala",1344339,"Población ocupada",1298620,96.6
1,"Guatemala",1344339,"Cesante",32105,2.39
1,"Guatemala",1344339,"Aspirante",12925,0.96
2,"El Progreso",62092,"Población ocupada",59912,96.49
2,"El Progreso",62092,"Cesante",1168,1.88
2,"El Progreso",62092,"Aspirante",937,1.51
3,"Sacatepéquez",143908,"Población ocupada",140598,97.7
3,"Sacatepéquez",143908,"Cesante",2464,1.71
3,"Sacatepéquez",143908,"Aspirante",773,0.54
4,"Chimaltenango",220885,"Población ocupada",217541,98.49
4,"Chimaltenango",220885,"Cesante",2311,1.05
4,"Chimaltenango",220885,"Aspirante",862,0.39
5,"Escuintla",247751,"Población ocupada",234743,94.75
5,"Escuintla",247751,"Cesante",9352,3.77
5,"Escuintla",247751,"Aspirante",3397,1.37
6,"Santa Rosa",135778,"Población ocupada",131638,96.95
6,"Santa Rosa",135778,"Cesante",2607,1.92
6,"Santa Rosa",135778,"Aspirante",1404,1.03
7,"Sololá",144745,"Población ocupada",142670,98.57
7,"Sololá",144745,"Cesante",906,0.63
7,"Sololá",144745,"Aspirante",998,0.69
8,"Totonicapán",143062,"Población ocupada",140755,98.39
8,"Totonicapán",143062,"Cesante",1073,0.75
8,"Totonicapán",143062,"Aspirante",985,0.69
9,"Quetzaltenango",275901,"Población ocupada",270181,97.93
9,"Quetzaltenango",275901,"Cesante",3363,1.22
9,"Quetzaltenango",275901,"Aspirante",2087,0.76
10,"Suchitepéquez",180651,"Población ocupada",174541,96.62
10,"Suchitepéquez",180651,"Cesante",3681,2.04
10,"Suchitepéquez",180651,"Aspirante",2207,1.22
11,"Retalhuleu",103118,"Población ocupada",98728,95.74
11,"Retalhuleu",103118,"Cesante",2671,2.59
11,"Retalhuleu",103118,"Aspirante",1634,1.58
12,"San Marcos",255509,"Población ocupada",248988,97.45
12,"San Marcos",255509,"Cesante",3471,1.36
12,"San Marcos",255509,"Aspirante",2600,1.02
13,"Huehuetenango",323108,"Población ocupada",316321,97.9
13,"Huehuetenango",323108,"Cesante",3345,1.04
13,"Huehuetenango",323108,"Aspirante",2683,0.83
14,"Quiché",274633,"Población ocupada",270066,98.34
14,"Quiché",274633,"Cesante",2039,0.74
14,"Quiché",274633,"Aspirante",2070,0.75
15,"Baja Verapaz",100351,"Población ocupada",98336,97.99
15,"Baja Verapaz",100351,"Cesante",921,0.92
15,"Baja Verapaz",100351,"Aspirante",992,0.99
16,"Alta Verapaz",364334,"Población ocupada",356160,97.76
16,"Alta Verapaz",364334,"Cesante",3229,0.89
16,"Alta Verapaz",364334,"Aspirante",4364,1.2
17,"Petén",170328,"Población ocupada",166098,97.52
17,"Petén",170328,"Cesante",2354,1.38
17,"Petén",170328,"Aspirante",1620,0.95
18,"Izabal",139180,"Población ocupada",134358,96.54
18,"Izabal",139180,"Cesante",2692,1.93
18,"Izabal",139180,"Aspirante",1937,1.39
19,"Zacapa",84523,"Población ocupada",81482,96.4
19,"Zacapa",84523,"Cesante",1981,2.34
19,"Zacapa",84523,"Aspirante",972,1.15
20,"Chiquimula",118308,"Población ocupada",115382,97.53
20,"Chiquimula",118308,"Cesante",1755,1.48
20,"Chiquimula",118308,"Aspirante",981,0.83
21,"Jalapa",116846,"Población ocupada",114847,98.29
21,"Jalapa",116846,"Cesante",997,0.85
21,"Jalapa",116846,"Aspirante",856,0.73
22,"Jutiapa",160660,"Población ocupada",156577,97.46
22,"Jutiapa",160660,"Cesante",2104,1.31
22,"Jutiapa",160660,"Aspirante",1837,1.14
