"Código","Departamento","Total de mujeres en edad fértil","Situación","Cantidad de Mujeres","Porcentaje de Mujeres"
1,"Guatemala",867729,"Con 0 hijos nacidos",292817,0.34
2,"El Progreso",47188,"Con 0 hijos nacidos",13564,0.29
3,"Sacatepéquez",93790,"Con 0 hijos nacidos",27439,0.29
4,"Chimaltenango",170240,"Con 0 hijos nacidos",63208,0.37
5,"Escuintla",199250,"Con 0 hijos nacidos",53117,0.27
6,"Santa Rosa",105699,"Con 0 hijos nacidos",33308,0.32
7,"Sololá",121919,"Con 0 hijos nacidos",44159,0.36
8,"Totonicapán",117239,"Con 0 hijos nacidos",43753,0.37
9,"Quetzaltenango",227270,"Con 0 hijos nacidos",77811,0.34
10,"Suchitepéquez",146850,"Con 0 hijos nacidos",45046,0.31
11,"Retalhuleu",87547,"Con 0 hijos nacidos",26131,0.3
12,"San Marcos",263600,"Con 0 hijos nacidos",74146,0.28
13,"Huehuetenango",310013,"Con 0 hijos nacidos",92395,0.3
14,"Quiché",250434,"Con 0 hijos nacidos",85817,0.34
15,"Baja Verapaz",80432,"Con 0 hijos nacidos",26642,0.33
16,"Alta Verapaz",312101,"Con 0 hijos nacidos",92582,0.3
17,"Petén",144885,"Con 0 hijos nacidos",41922,0.29
18,"Izabal",108996,"Con 0 hijos nacidos",33190,0.3
19,"Zacapa",65799,"Con 0 hijos nacidos",18300,0.28
20,"Chiquimula",110482,"Con 0 hijos nacidos",36022,0.33
21,"Jalapa",91914,"Con 0 hijos nacidos",30565,0.33
22,"Jutiapa",131779,"Con 0 hijos nacidos",41845,0.32
1,"Guatemala",867729,"Con  1 hijos nacidos",164940,0.19
2,"El Progreso",47188,"Con  1 hijos nacidos",8778,0.19
3,"Sacatepéquez",93790,"Con  1 hijos nacidos",16150,0.17
4,"Chimaltenango",170240,"Con  1 hijos nacidos",24804,0.15
5,"Escuintla",199250,"Con  1 hijos nacidos",36037,0.18
6,"Santa Rosa",105699,"Con  1 hijos nacidos",18983,0.18
7,"Sololá",121919,"Con  1 hijos nacidos",19512,0.16
8,"Totonicapán",117239,"Con  1 hijos nacidos",16874,0.14
9,"Quetzaltenango",227270,"Con  1 hijos nacidos",39778,0.18
10,"Suchitepéquez",146850,"Con  1 hijos nacidos",24840,0.17
11,"Retalhuleu",87547,"Con  1 hijos nacidos",15152,0.17
12,"San Marcos",263600,"Con  1 hijos nacidos",42838,0.16
13,"Huehuetenango",310013,"Con  1 hijos nacidos",51283,0.17
14,"Quiché",250434,"Con  1 hijos nacidos",35719,0.14
15,"Baja Verapaz",80432,"Con  1 hijos nacidos",14117,0.18
16,"Alta Verapaz",312101,"Con  1 hijos nacidos",51426,0.16
17,"Petén",144885,"Con  1 hijos nacidos",24368,0.17
18,"Izabal",108996,"Con  1 hijos nacidos",18909,0.17
19,"Zacapa",65799,"Con  1 hijos nacidos",12005,0.18
20,"Chiquimula",110482,"Con  1 hijos nacidos",18573,0.17
21,"Jalapa",91914,"Con  1 hijos nacidos",15101,0.16
22,"Jutiapa",131779,"Con  1 hijos nacidos",22859,0.17
1,"Guatemala",867729,"Con  2 hijos nacidos",211672,0.24
2,"El Progreso",47188,"Con  2 hijos nacidos",9871,0.21
3,"Sacatepéquez",93790,"Con  2 hijos nacidos",19398,0.21
4,"Chimaltenango",170240,"Con  2 hijos nacidos",25769,0.15
5,"Escuintla",199250,"Con  2 hijos nacidos",42416,0.21
6,"Santa Rosa",105699,"Con  2 hijos nacidos",21070,0.2
