"Código","Departamento","Total de viviendas particulares","Material Predominante de la Pared","Cantidad de Viviendas","Porcentaje de Viviendas Particulares"
1,"Guatemala",873704,"Ladrillo",57515,6.58
1,"Guatemala",873704,"Block",604803,69.22
1,"Guatemala",873704,"Concreto",90490,10.36
1,"Guatemala",873704,"Adobe",19386,2.22
1,"Guatemala",873704,"Madera",16059,1.84
1,"Guatemala",873704,"Lamina metálica",64985,7.44
1,"Guatemala",873704,"Bajareque",293,0.03
1,"Guatemala",873704,"Lepa, palo o caña",2103,0.24
1,"Guatemala",873704,"Material de desecho",94,0.01
1,"Guatemala",873704,"Otro",990,0.11
1,"Guatemala",873704,"No especificado",16986,1.94
2,"El Progreso",54109,"Ladrillo",456,0.84
2,"El Progreso",54109,"Block",37194,68.74
2,"El Progreso",54109,"Concreto",1212,2.24
2,"El Progreso",54109,"Adobe",7700,14.23
2,"El Progreso",54109,"Madera",3356,6.2
2,"El Progreso",54109,"Lamina metálica",1029,1.9
2,"El Progreso",54109,"Bajareque",2219,4.1
2,"El Progreso",54109,"Lepa, palo o caña",659,1.22
2,"El Progreso",54109,"Material de desecho",52,0.1
2,"El Progreso",54109,"Otro",83,0.15
2,"El Progreso",54109,"No especificado",149,0.28
3,"Sacatepéquez",88373,"Ladrillo",1709,1.93
3,"Sacatepéquez",88373,"Block",68780,77.83
3,"Sacatepéquez",88373,"Concreto",3580,4.05
3,"Sacatepéquez",88373,"Adobe",1170,1.32
3,"Sacatepéquez",88373,"Madera",1731,1.96
3,"Sacatepéquez",88373,"Lamina metálica",8171,9.25
3,"Sacatepéquez",88373,"Bajareque",85,0.1
3,"Sacatepéquez",88373,"Lepa, palo o caña",1145,1.3
3,"Sacatepéquez",88373,"Material de desecho",8,0.01
3,"Sacatepéquez",88373,"Otro",361,0.41
3,"Sacatepéquez",88373,"No especificado",1633,1.85
4,"Chimaltenango",144844,"Ladrillo",1866,1.29
4,"Chimaltenango",144844,"Block",110905,76.57
4,"Chimaltenango",144844,"Concreto",3273,2.26
4,"Chimaltenango",144844,"Adobe",12055,8.32
4,"Chimaltenango",144844,"Madera",4820,3.33
4,"Chimaltenango",144844,"Lamina metálica",7270,5.02
4,"Chimaltenango",144844,"Bajareque",2227,1.54
4,"Chimaltenango",144844,"Lepa, palo o caña",1636,1.13
4,"Chimaltenango",144844,"Material de desecho",25,0.02
4,"Chimaltenango",144844,"Otro",291,0.2
4,"Chimaltenango",144844,"No especificado",476,0.33
5,"Escuintla",209451,"Ladrillo",2174,1.04
5,"Escuintla",209451,"Block",158073,75.47
5,"Escuintla",209451,"Concreto",13274,6.34
5,"Escuintla",209451,"Adobe",513,0.24
5,"Escuintla",209451,"Madera",10035,4.79
5,"Escuintla",209451,"Lamina metálica",21086,10.07
5,"Escuintla",209451,"Bajareque",144,0.07
5,"Escuintla",209451,"Lepa, palo o caña",2290,1.09
5,"Escuintla",209451,"Material de desecho",293,0.14
5,"Escuintla",209451,"Otro",727,0.35
5,"Escuintla",209451,"No especificado",842,0.4
6,"Santa Rosa",116653,"Ladrillo",1202,1.03
6,"Santa Rosa",116653,"Block",78869,67.61
6,"Santa Rosa",116653,"Concreto",1316,1.13
6,"Santa Rosa",116653,"Adobe",18174,15.58
6,"Santa Rosa",116653,"Madera",7013,6.01
6,"Santa Rosa",116653,"Lamina metálica",5991,5.14
6,"Santa Rosa",116653,"Bajareque",787,0.67
6,"Santa Rosa",116653,"Lepa, palo o caña",2379,2.04
6,"Santa Rosa",116653,"Material de desecho",104,0.09
6,"Santa Rosa",116653,"Otro",590,0.51
6,"Santa Rosa",116653,"No especificado",228,0.2
7,"Sololá",101919,"Ladrillo",501,0.49
7,"Sololá",101919,"Block",66742,65.49
7,"Sololá",101919,"Concreto",1641,1.61
7,"Sololá",101919,"Adobe",19860,19.49
7,"Sololá",101919,"Madera",8268,8.11
7,"Sololá",101919,"Lamina metálica",3013,2.96
7,"Sololá",101919,"Bajareque",322,0.32
7,"Sololá",101919,"Lepa, palo o caña",473,0.46
7,"Sololá",101919,"Material de desecho",16,0.02
7,"Sololá",101919,"Otro",918,0.9
7,"Sololá",101919,"No especificado",165,0.16
8,"Totonicapán",107602,"Ladrillo",418,0.39
8,"Totonicapán",107602,"Block",45382,42.18
8,"Totonicapán",107602,"Concreto",4869,4.53
8,"Totonicapán",107602,"Adobe",54683,50.82
8,"Totonicapán",107602,"Madera",1158,1.08
