"Código","Departamento","Total de viviendas particulares","Material Predominante del Piso","Cantidad de Viviendas","Porcentaje de Viviendas Particulares"
1,"Guatemala",873704,"Ladrillo cerámico",295325,33.8
1,"Guatemala",873704,"Ladrillo de cemento",142429,16.3
1,"Guatemala",873704,"Ladrillo de barro",2881,0.33
1,"Guatemala",873704,"Torta de cemento",221554,25.36
1,"Guatemala",873704,"Parqué o vinil",3401,0.39
1,"Guatemala",873704,"Madera",3318,0.38
1,"Guatemala",873704,"Tierra",49005,5.61
1,"Guatemala",873704,"Otro",4984,0.57
2,"El Progreso",54109,"Ladrillo cerámico",9959,18.41
2,"El Progreso",54109,"Ladrillo de cemento",5110,9.44
2,"El Progreso",54109,"Ladrillo de barro",241,0.45
2,"El Progreso",54109,"Torta de cemento",20754,38.36
2,"El Progreso",54109,"Parqué o vinil",121,0.22
2,"El Progreso",54109,"Madera",284,0.52
2,"El Progreso",54109,"Tierra",6912,12.77
2,"El Progreso",54109,"Otro",151,0.28
3,"Sacatepéquez",88373,"Ladrillo cerámico",21306,24.11
3,"Sacatepéquez",88373,"Ladrillo de cemento",8147,9.22
3,"Sacatepéquez",88373,"Ladrillo de barro",589,0.67
3,"Sacatepéquez",88373,"Torta de cemento",29247,33.09
3,"Sacatepéquez",88373,"Parqué o vinil",138,0.16
3,"Sacatepéquez",88373,"Madera",285,0.32
3,"Sacatepéquez",88373,"Tierra",10375,11.74
3,"Sacatepéquez",88373,"Otro",339,0.38
4,"Chimaltenango",144844,"Ladrillo cerámico",28299,19.54
4,"Chimaltenango",144844,"Ladrillo de cemento",12806,8.84
4,"Chimaltenango",144844,"Ladrillo de barro",584,0.4
4,"Chimaltenango",144844,"Torta de cemento",56165,38.78
4,"Chimaltenango",144844,"Parqué o vinil",179,0.12
4,"Chimaltenango",144844,"Madera",378,0.26
4,"Chimaltenango",144844,"Tierra",22166,15.3
4,"Chimaltenango",144844,"Otro",195,0.13
5,"Escuintla",209451,"Ladrillo cerámico",29485,14.08
5,"Escuintla",209451,"Ladrillo de cemento",19828,9.47
5,"Escuintla",209451,"Ladrillo de barro",585,0.28
5,"Escuintla",209451,"Torta de cemento",102791,49.08
5,"Escuintla",209451,"Parqué o vinil",657,0.31
5,"Escuintla",209451,"Madera",594,0.28
5,"Escuintla",209451,"Tierra",25195,12.03
5,"Escuintla",209451,"Otro",262,0.13
6,"Santa Rosa",116653,"Ladrillo cerámico",17574,15.07
6,"Santa Rosa",116653,"Ladrillo de cemento",11296,9.68
6,"Santa Rosa",116653,"Ladrillo de barro",422,0.36
6,"Santa Rosa",116653,"Torta de cemento",41579,35.64
6,"Santa Rosa",116653,"Parqué o vinil",183,0.16
6,"Santa Rosa",116653,"Madera",1021,0.88
6,"Santa Rosa",116653,"Tierra",22607,19.38
6,"Santa Rosa",116653,"Otro",261,0.22
7,"Sololá",101919,"Ladrillo cerámico",18695,18.34
7,"Sololá",101919,"Ladrillo de cemento",6508,6.39
7,"Sololá",101919,"Ladrillo de barro",689,0.68
7,"Sololá",101919,"Torta de cemento",40432,39.67
7,"Sololá",101919,"Parqué o vinil",171,0.17
7,"Sololá",101919,"Madera",427,0.42
7,"Sololá",101919,"Tierra",16226,15.92
7,"Sololá",101919,"Otro",192,0.19
8,"Totonicapán",107602,"Ladrillo cerámico",9421,8.76
8,"Totonicapán",107602,"Ladrillo de cemento",5777,5.37
8,"Totonicapán",107602,"Ladrillo de barro",379,0.35
8,"Totonicapán",107602,"Torta de cemento",27857,25.89
8,"Totonicapán",107602,"Parqué o vinil",115,0.11
8,"Totonicapán",107602,"Madera",464,0.43
8,"Totonicapán",107602,"Tierra",31541,29.31
8,"Totonicapán",107602,"Otro",74,0.07
9,"Quetzaltenango",213979,"Ladrillo cerámico",52168,24.38
9,"Quetzaltenango",213979,"Ladrillo de cemento",27970,13.07
9,"Quetzaltenango",213979,"Ladrillo de barro",901,0.42
9,"Quetzaltenango",213979,"Torta de cemento",64759,30.26
9,"Quetzaltenango",213979,"Parqué o vinil",254,0.12
9,"Quetzaltenango",213979,"Madera",638,0.3
9,"Quetzaltenango",213979,"Tierra",21182,9.9
9,"Quetzaltenango",213979,"Otro",432,0.2
10,"Suchitepéquez",140126,"Ladrillo cerámico",21565,15.39
10,"Suchitepéquez",140126,"Ladrillo de cemento",8334,5.95
10,"Suchitepéquez",140126,"Ladrillo de barro",293,0.21
10,"Suchitepéquez",140126,"Torta de cemento",61416,43.83
10,"Suchitepéquez",140126,"Parqué o vinil",188,0.13
10,"Suchitepéquez",140126,"Madera",573,0.41
10,"Suchitepéquez",140126,"Tierra",26579,18.97
10,"Suchitepéquez",140126,"Otro",203,0.14
11,"Retalhuleu",87869,"Ladrillo cerámico",13887,15.8
11,"Retalhuleu",87869,"Ladrillo de cemento",3943,4.49
11,"Retalhuleu",87869,"Ladrillo de barro",125,0.14
11,"Retalhuleu",87869,"Torta de cemento",34662,39.45
11,"Retalhuleu",87869,"Parqué o vinil",102,0.12
11,"Retalhuleu",87869,"Madera",293,0.33
11,"Retalhuleu",87869,"Tierra",18739,21.33
11,"Retalhuleu",87869,"Otro",349,0.4
12,"San Marcos",270142,"Ladrillo cerámico",37039,13.71
12,"San Marcos",270142,"Ladrillo de cemento",11404,4.22
12,"San Marcos",270142,"Ladrillo de barro",466,0.17
12,"San Marcos",270142,"Torta de cemento",85566,31.67
12,"San Marcos",270142,"Parqué o vinil",584,0.22
12,"San Marcos",270142,"Madera",1679,0.62
12,"San Marcos",270142,"Tierra",63565,23.53
12,"San Marcos",270142,"Otro",426,0.16
