"Código","Departamento","Total de viviendas particulares","Material Predominante del Techo","Cantidad de Viviendas","Porcentaje de Viviendas Particulares"
1,"Guatemala",873704,"Concreto",450912,51.61
1,"Guatemala",873704,"Lámina metálica",386082,44.19
1,"Guatemala",873704,"Asbesto cemento",12122,1.39
1,"Guatemala",873704,"Teja",4707,0.54
1,"Guatemala",873704,"Paja, palma o similar",216,0.02
1,"Guatemala",873704,"Material de desecho",161,0.02
1,"Guatemala",873704,"Otro",2518,0.29
1,"Guatemala",873704,"No especificado",16986,1.94
2,"El Progreso",54109,"Concreto",8226,15.2
2,"El Progreso",54109,"Lámina metálica",42589,78.71
2,"El Progreso",54109,"Asbesto cemento",460,0.85
2,"El Progreso",54109,"Teja",1380,2.55
2,"El Progreso",54109,"Paja, palma o similar",1168,2.16
2,"El Progreso",54109,"Material de desecho",10,0.02
2,"El Progreso",54109,"Otro",127,0.23
2,"El Progreso",54109,"No especificado",149,0.28
3,"Sacatepéquez",88373,"Concreto",25456,28.81
3,"Sacatepéquez",88373,"Lámina metálica",56542,63.98
3,"Sacatepéquez",88373,"Asbesto cemento",830,0.94
3,"Sacatepéquez",88373,"Teja",3217,3.64
3,"Sacatepéquez",88373,"Paja, palma o similar",35,0.04
3,"Sacatepéquez",88373,"Material de desecho",8,0.01
3,"Sacatepéquez",88373,"Otro",652,0.74
3,"Sacatepéquez",88373,"No especificado",1633,1.85
4,"Chimaltenango",144844,"Concreto",32182,22.22
4,"Chimaltenango",144844,"Lámina metálica",110472,76.27
4,"Chimaltenango",144844,"Asbesto cemento",725,0.5
4,"Chimaltenango",144844,"Teja",547,0.38
4,"Chimaltenango",144844,"Paja, palma o similar",57,0.04
4,"Chimaltenango",144844,"Material de desecho",16,0.01
4,"Chimaltenango",144844,"Otro",369,0.25
4,"Chimaltenango",144844,"No especificado",476,0.33
5,"Escuintla",209451,"Concreto",27090,12.93
5,"Escuintla",209451,"Lámina metálica",172967,82.58
5,"Escuintla",209451,"Asbesto cemento",1391,0.66
5,"Escuintla",209451,"Teja",1608,0.77
5,"Escuintla",209451,"Paja, palma o similar",4860,2.32
5,"Escuintla",209451,"Material de desecho",130,0.06
5,"Escuintla",209451,"Otro",563,0.27
5,"Escuintla",209451,"No especificado",842,0.4
6,"Santa Rosa",116653,"Concreto",11063,9.48
6,"Santa Rosa",116653,"Lámina metálica",98589,84.51
6,"Santa Rosa",116653,"Asbesto cemento",670,0.57
6,"Santa Rosa",116653,"Teja",1924,1.65
6,"Santa Rosa",116653,"Paja, palma o similar",3966,3.4
6,"Santa Rosa",116653,"Material de desecho",37,0.03
6,"Santa Rosa",116653,"Otro",176,0.15
6,"Santa Rosa",116653,"No especificado",228,0.2
7,"Sololá",101919,"Concreto",22002,21.59
7,"Sololá",101919,"Lámina metálica",78036,76.57
7,"Sololá",101919,"Asbesto cemento",818,0.8
7,"Sololá",101919,"Teja",695,0.68
7,"Sololá",101919,"Paja, palma o similar",66,0.06
