"Código","Departamento","Total de viviendas particulares","Tipo de Ocupacion","Cantidad de Viviendas","Porcentaje de Viviendas Particulares"
1,"Guatemala",873704,"Ocupada",722897,82.74
1,"Guatemala",873704,"De uso temporal",12122,1.39
1,"Guatemala",873704,"Desocupada",105977,12.13
1,"Guatemala",873704,"Rechazo total o parcial",32708,3.74
2,"El Progreso",54109,"Ocupada",43532,80.45
2,"El Progreso",54109,"De uso temporal",1341,2.48
2,"El Progreso",54109,"Desocupada",9030,16.69
2,"El Progreso",54109,"Rechazo total o parcial",206,0.38
3,"Sacatepéquez",88373,"Ocupada",70426,79.69
3,"Sacatepéquez",88373,"De uso temporal",3367,3.81
3,"Sacatepéquez",88373,"Desocupada",13226,14.97
3,"Sacatepéquez",88373,"Rechazo total o parcial",1354,1.53
4,"Chimaltenango",144844,"Ocupada",120772,83.38
4,"Chimaltenango",144844,"De uso temporal",1845,1.27
4,"Chimaltenango",144844,"Desocupada",20212,13.95
4,"Chimaltenango",144844,"Rechazo total o parcial",2015,1.39
5,"Escuintla",209451,"Ocupada",179397,85.65
5,"Escuintla",209451,"De uso temporal",5369,2.56
5,"Escuintla",209451,"Desocupada",22508,10.75
5,"Escuintla",209451,"Rechazo total o parcial",2177,1.04
6,"Santa Rosa",116653,"Ocupada",94943,81.39
6,"Santa Rosa",116653,"De uso temporal",2788,2.39
6,"Santa Rosa",116653,"Desocupada",18585,15.93
6,"Santa Rosa",116653,"Rechazo total o parcial",337,0.29
7,"Sololá",101919,"Ocupada",83340,81.77
7,"Sololá",101919,"De uso temporal",3201,3.14
7,"Sololá",101919,"Desocupada",14914,14.63
7,"Sololá",101919,"Rechazo total o parcial",464,0.46
8,"Totonicapán",107602,"Ocupada",75628,70.28
8,"Totonicapán",107602,"De uso temporal",2375,2.21
8,"Totonicapán",107602,"Desocupada",26624,24.74
8,"Totonicapán",107602,"Rechazo total o parcial",2975,2.76
9,"Quetzaltenango",213979,"Ocupada",168304,78.65
9,"Quetzaltenango",213979,"De uso temporal",3436,1.61
9,"Quetzaltenango",213979,"Desocupada",38243,17.87
9,"Quetzaltenango",213979,"Rechazo total o parcial",3996,1.87
10,"Suchitepéquez",140126,"Ocupada",119151,85.03
10,"Suchitepéquez",140126,"De uso temporal",2169,1.55
10,"Suchitepéquez",140126,"Desocupada",17739,12.66
10,"Suchitepéquez",140126,"Rechazo total o parcial",1067,0.76
11,"Retalhuleu",87869,"Ocupada",72100,82.05
11,"Retalhuleu",87869,"De uso temporal",1662,1.89
11,"Retalhuleu",87869,"Desocupada",13283,15.12
11,"Retalhuleu",87869,"Rechazo total o parcial",824,0.94
12,"San Marcos",270142,"Ocupada",200729,74.3
12,"San Marcos",270142,"De uso temporal",4524,1.67
12,"San Marcos",270142,"Desocupada",62533,23.15
12,"San Marcos",270142,"Rechazo total o parcial",2356,0.87
13,"Huehuetenango",304317,"Ocupada",223101,73.31
13,"Huehuetenango",304317,"De uso temporal",10285,3.38
13,"Huehuetenango",304317,"Desocupada",68698,22.57
13,"Huehuetenango",304317,"Rechazo total o parcial",2233,0.73
14,"Quiché",217720,"Ocupada",168015,77.17
14,"Quiché",217720,"De uso temporal",3711,1.7
14,"Quiché",217720,"Desocupada",43587,20.02
14,"Quiché",217720,"Rechazo total o parcial",2407,1.11
15,"Baja Verapaz",83771,"Ocupada",65232,77.87
15,"Baja Verapaz",83771,"De uso temporal",734,0.88
15,"Baja Verapaz",83771,"Desocupada",17796,21.24
15,"Baja Verapaz",83771,"Rechazo total o parcial",9,0.01
16,"Alta Verapaz",254205,"Ocupada",226227,88.99
16,"Alta Verapaz",254205,"De uso temporal",4785,1.88
16,"Alta Verapaz",254205,"Desocupada",22863,8.99
16,"Alta Verapaz",254205,"Rechazo total o parcial",330,0.13
17,"Petén",146624,"Ocupada",120048,81.87
17,"Petén",146624,"De uso temporal",3124,2.13
17,"Petén",146624,"Desocupada",23184,15.81
17,"Petén",146624,"Rechazo total o parcial",268,0.18
18,"Izabal",113333,"Ocupada",93394,82.41
18,"Izabal",113333,"De uso temporal",2400,2.12
18,"Izabal",113333,"Desocupada",16268,14.35
18,"Izabal",113333,"Rechazo total o parcial",1271,1.12
19,"Zacapa",75643,"Ocupada",58528,77.37
19,"Zacapa",75643,"De uso temporal",1703,2.25
19,"Zacapa",75643,"Desocupada",14766,19.52
19,"Zacapa",75643,"Rechazo total o parcial",646,0.85
20,"Chiquimula",108033,"Ocupada",88377,81.81
20,"Chiquimula",108033,"De uso temporal",1591,1.47
20,"Chiquimula",108033,"Desocupada",18009,16.67
20,"Chiquimula",108033,"Rechazo total o parcial",56,0.05
21,"Jalapa",88118,"Ocupada",71246,80.85
21,"Jalapa",88118,"De uso temporal",724,0.82
21,"Jalapa",88118,"Desocupada",16095,18.27
21,"Jalapa",88118,"Rechazo total o parcial",53,0.06
22,"Jutiapa",141507,"Ocupada",114208,80.71
22,"Jutiapa",141507,"De uso temporal",2684,1.9
22,"Jutiapa",141507,"Desocupada",24141,17.06
22,"Jutiapa",141507,"Rechazo total o parcial",474,0.33
