"Código","Departamento","Total de viviendas","Tipo de Vivienda","Cantidad de Viviendas","Porcentaje de Viviendas"
1,"Guatemala",873937,"Total de viviendas colectivas",233,0.03
1,"Guatemala",873937,"Casa Formal",773151,88.47
1,"Guatemala",873937,"Apartamento",53694,6.14
1,"Guatemala",873937,"Cuarto de casa de vecindad",26023,2.98
1,"Guatemala",873937,"Rancho",200,0.02
1,"Guatemala",873937,"Improvisada",3073,0.35
1,"Guatemala",873937,"Otro",577,0.07
1,"Guatemala",873937,"Particular no registrada",16986,1.94
2,"El Progreso",54138,"Total de viviendas colectivas",29,0.05
2,"El Progreso",54138,"Casa Formal",51801,95.68
2,"El Progreso",54138,"Apartamento",423,0.78
2,"El Progreso",54138,"Cuarto de casa de vecindad",345,0.64
2,"El Progreso",54138,"Rancho",1162,2.15
2,"El Progreso",54138,"Improvisada",205,0.38
2,"El Progreso",54138,"Otro",24,0.04
2,"El Progreso",54138,"Particular no registrada",149,0.28
3,"Sacatepéquez",88465,"Total de viviendas colectivas",92,0.1
3,"Sacatepéquez",88465,"Casa Formal",84932,96.01
3,"Sacatepéquez",88465,"Apartamento",713,0.81
3,"Sacatepéquez",88465,"Cuarto de casa de vecindad",714,0.81
3,"Sacatepéquez",88465,"Rancho",35,0.04
3,"Sacatepéquez",88465,"Improvisada",206,0.23
3,"Sacatepéquez",88465,"Otro",140,0.16
3,"Sacatepéquez",88465,"Particular no registrada",1633,1.85
4,"Chimaltenango",144907,"Total de viviendas colectivas",63,0.04
4,"Chimaltenango",144907,"Casa Formal",143176,98.81
4,"Chimaltenango",144907,"Apartamento",308,0.21
4,"Chimaltenango",144907,"Cuarto de casa de vecindad",510,0.35
4,"Chimaltenango",144907,"Rancho",57,0.04
4,"Chimaltenango",144907,"Improvisada",198,0.14
4,"Chimaltenango",144907,"Otro",119,0.08
4,"Chimaltenango",144907,"Particular no registrada",476,0.33
5,"Escuintla",209552,"Total de viviendas colectivas",101,0.05
5,"Escuintla",209552,"Casa Formal",194205,92.68
5,"Escuintla",209552,"Apartamento",1494,0.71
5,"Escuintla",209552,"Cuarto de casa de vecindad",4663,2.23
5,"Escuintla",209552,"Rancho",4745,2.26
5,"Escuintla",209552,"Improvisada",3305,1.58
5,"Escuintla",209552,"Otro",197,0.09
5,"Escuintla",209552,"Particular no registrada",842,0.4
6,"Santa Rosa",116702,"Total de viviendas colectivas",49,0.04
6,"Santa Rosa",116702,"Casa Formal",110205,94.43
6,"Santa Rosa",116702,"Apartamento",261,0.22
6,"Santa Rosa",116702,"Cuarto de casa de vecindad",828,0.71
6,"Santa Rosa",116702,"Rancho",3916,3.36
6,"Santa Rosa",116702,"Improvisada",1148,0.98
6,"Santa Rosa",116702,"Otro",67,0.06
6,"Santa Rosa",116702,"Particular no registrada",228,0.2
7,"Sololá",101958,"Total de viviendas colectivas",39,0.04
