"Código","Municipio","Población de 7 años o más","Situacion","Personas","Porcentaje Alfabetizacion"
101,"Guatemala",823541,"Alfabeta",793168,96.31
101,"Guatemala",823541,"Analfabeta",30373,3.69
102,"Santa Catarina Pinula",70958,"Alfabeta",68013,95.85
102,"Santa Catarina Pinula",70958,"Analfabeta",2945,4.15
103,"San José Pinula",68509,"Alfabeta",63944,93.34
103,"San José Pinula",68509,"Analfabeta",4565,6.66
104,"San José del Golfo",6206,"Alfabeta",5558,89.56
104,"San José del Golfo",6206,"Analfabeta",648,10.44
105,"Palencia",59630,"Alfabeta",50091,84
105,"Palencia",59630,"Analfabeta",9539,16
106,"Chinautla",98780,"Alfabeta",92106,93.24
106,"Chinautla",98780,"Analfabeta",6674,6.76
107,"San Pedro Ayampuc",50043,"Alfabeta",44171,88.27
107,"San Pedro Ayampuc",50043,"Analfabeta",5872,11.73
108,"Mixco",413084,"Alfabeta",396895,96.08
108,"Mixco",413084,"Analfabeta",16189,3.92
109,"San Pedro Sacatepéquez",43666,"Alfabeta",38371,87.87
109,"San Pedro Sacatepéquez",43666,"Analfabeta",5295,12.13
110,"San Juan Sacatepéquez",184474,"Alfabeta",155002,84.02
110,"San Juan Sacatepéquez",184474,"Analfabeta",29472,15.98
111,"San Raymundo",26643,"Alfabeta",21751,81.64
111,"San Raymundo",26643,"Analfabeta",4892,18.36
112,"Chuarrancho",10555,"Alfabeta",7364,69.77
112,"Chuarrancho",10555,"Analfabeta",3191,30.23
113,"Fraijanes",52138,"Alfabeta",48436,92.9
113,"Fraijanes",52138,"Analfabeta",3702,7.1
114,"Amatitlán",100917,"Alfabeta",93584,92.73
114,"Amatitlán",100917,"Analfabeta",7333,7.27
115,"Villa Nueva",378827,"Alfabeta",361399,95.4
115,"Villa Nueva",378827,"Analfabeta",17428,4.6
116,"Villa Canales",133606,"Alfabeta",120945,90.52
116,"Villa Canales",133606,"Analfabeta",12661,9.48
117,"San Miguel Petapa",119532,"Alfabeta",114564,95.84
117,"San Miguel Petapa",119532,"Analfabeta",4968,4.16
201,"Guastatoya",21686,"Alfabeta",19833,91.46
201,"Guastatoya",21686,"Analfabeta",1853,8.54
202,"Morazán",10512,"Alfabeta",8859,84.28
202,"Morazán",10512,"Analfabeta",1653,15.72
203,"San Agustín Acasaguastlán",38035,"Alfabeta",31749,83.47
203,"San Agustín Acasaguastlán",38035,"Analfabeta",6286,16.53
204,"San Cristóbal Acasaguastlán",6227,"Alfabeta",5427,87.15
204,"San Cristóbal Acasaguastlán",6227,"Analfabeta",800,12.85
205,"El Jícaro",11426,"Alfabeta",9974,87.29
205,"El Jícaro",11426,"Analfabeta",1452,12.71
206,"Sansare",11416,"Alfabeta",9816,85.98
206,"Sansare",11416,"Analfabeta",1600,14.02
207,"Sanarate",34148,"Alfabeta",30731,89.99
207,"Sanarate",34148,"Analfabeta",3417,10.01
208,"San Antonio la Paz",17751,"Alfabeta",15650,88.16
208,"San Antonio la Paz",17751,"Analfabeta",2101,11.84
301,"Antigua Guatemala",40973,"Alfabeta",38168,93.15
301,"Antigua Guatemala",40973,"Analfabeta",2805,6.85
302,"Jocotenango",19292,"Alfabeta",18547,96.14
302,"Jocotenango",19292,"Analfabeta",745,3.86
303,"Pastores",15433,"Alfabeta",14226,92.18
303,"Pastores",15433,"Analfabeta",1207,7.82
304,"Sumpango",31813,"Alfabeta",27154,85.36
304,"Sumpango",31813,"Analfabeta",4659,14.64
305,"Santo Domingo Xenacoj",10585,"Alfabeta",9227,87.17
305,"Santo Domingo Xenacoj",10585,"Analfabeta",1358,12.83
306,"Santiago Sacatepéquez",25291,"Alfabeta",21885,86.53
306,"Santiago Sacatepéquez",25291,"Analfabeta",3406,13.47
307,"San Bartolomé Milpas Altas",6831,"Alfabeta",6514,95.36
307,"San Bartolomé Milpas Altas",6831,"Analfabeta",317,4.64
308,"San Lucas Sacatepéquez",20577,"Alfabeta",19716,95.82
308,"San Lucas Sacatepéquez",20577,"Analfabeta",861,4.18
309,"Santa Lucía Milpas Altas",13662,"Alfabeta",13070,95.67
309,"Santa Lucía Milpas Altas",13662,"Analfabeta",592,4.33
310,"Magdalena Milpas Altas",10365,"Alfabeta",9636,92.97
310,"Magdalena Milpas Altas",10365,"Analfabeta",729,7.03
311,"Santa María de Jesús",18454,"Alfabeta",14059,76.18
311,"Santa María de Jesús",18454,"Analfabeta",4395,23.82
312,"Ciudad Vieja",29121,"Alfabeta",26870,92.27
312,"Ciudad Vieja",29121,"Analfabeta",2251,7.73
313,"San Miguel Dueñas",10985,"Alfabeta",9834,89.52
313,"San Miguel Dueñas",10985,"Analfabeta",1151,10.48
314,"San Juan Alotenango",20473,"Alfabeta",17722,86.56
314,"San Juan Alotenango",20473,"Analfabeta",2751,13.44
315,"San Antonio Aguas Calientes",9900,"Alfabeta",9225,93.18
315,"San Antonio Aguas Calientes",9900,"Analfabeta",675,6.82
316,"Santa Catarina Barahona",3546,"Alfabeta",3322,93.68
316,"Santa Catarina Barahona",3546,"Analfabeta",224,6.32
401,"Chimaltenango",83554,"Alfabeta",76504,91.56
401,"Chimaltenango",83554,"Analfabeta",7050,8.44
402,"San José Poaquil",22856,"Alfabeta",18580,81.29
402,"San José Poaquil",22856,"Analfabeta",4276,18.71
403,"San Martín Jilotepeque",61676,"Alfabeta",50371,81.67
403,"San Martín Jilotepeque",61676,"Analfabeta",11305,18.33
404,"San Juan Comalapa",41229,"Alfabeta",36418,88.33
404,"San Juan Comalapa",41229,"Analfabeta",4811,11.67
405,"Santa Apolonia",15016,"Alfabeta",11896,79.22
405,"Santa Apolonia",15016,"Analfabeta",3120,20.78
406,"Tecpán Guatemala",75219,"Alfabeta",62089,82.54
406,"Tecpán Guatemala",75219,"Analfabeta",13130,17.46
407,"Patzún",49017,"Alfabeta",41551,84.77
407,"Patzún",49017,"Analfabeta",7466,15.23
408,"San Miguel Pochuta",7463,"Alfabeta",5970,79.99
408,"San Miguel Pochuta",7463,"Analfabeta",1493,20.01
409,"Patzicía",28069,"Alfabeta",23487,83.68
409,"Patzicía",28069,"Analfabeta",4582,16.32
410,"Santa Cruz Balanyá",7931,"Alfabeta",7216,90.98
410,"Santa Cruz Balanyá",7931,"Analfabeta",715,9.02
411,"Acatenango",19335,"Alfabeta",15451,79.91
411,"Acatenango",19335,"Analfabeta",3884,20.09
412,"San Pedro Yepocapa",28758,"Alfabeta",23943,83.26
412,"San Pedro Yepocapa",28758,"Analfabeta",4815,16.74
413,"San Andrés Itzapa",26742,"Alfabeta",22209,83.05
413,"San Andrés Itzapa",26742,"Analfabeta",4533,16.95
414,"Parramos",13554,"Alfabeta",11748,86.68
414,"Parramos",13554,"Analfabeta",1806,13.32
415,"Zaragoza",20166,"Alfabeta",18165,90.08
415,"Zaragoza",20166,"Analfabeta",2001,9.92
416,"El Tejar",16775,"Alfabeta",15661,93.36
416,"El Tejar",16775,"Analfabeta",1114,6.64
501,"Escuintla",135581,"Alfabeta",122523,90.37
501,"Escuintla",135581,"Analfabeta",13058,9.63
502,"Santa Lucía Cotzumalguapa",95804,"Alfabeta",83512,87.17
502,"Santa Lucía Cotzumalguapa",95804,"Analfabeta",12292,12.83
503,"La Democracia",19293,"Alfabeta",16282,84.39
503,"La Democracia",19293,"Analfabeta",3011,15.61
504,"Siquinalá",19307,"Alfabeta",16690,86.45
504,"Siquinalá",19307,"Analfabeta",2617,13.55
505,"Masagua",38004,"Alfabeta",32253,84.87
505,"Masagua",38004,"Analfabeta",5751,15.13
506,"Tiquisate",48081,"Alfabeta",40913,85.09
506,"Tiquisate",48081,"Analfabeta",7168,14.91
507,"La Gomera",39179,"Alfabeta",32729,83.54
507,"La Gomera",39179,"Analfabeta",6450,16.46
508,"Guanagazapa",13346,"Alfabeta",10812,81.01
508,"Guanagazapa",13346,"Analfabeta",2534,18.99
509,"San José",53388,"Alfabeta",46788,87.64
509,"San José",53388,"Analfabeta",6600,12.36
510,"Iztapa",15581,"Alfabeta",13467,86.43
510,"Iztapa",15581,"Analfabeta",2114,13.57
511,"Palín",56334,"Alfabeta",51019,90.57
511,"Palín",56334,"Analfabeta",5315,9.43
512,"San Vicente Pacaya",14221,"Alfabeta",12425,87.37
512,"San Vicente Pacaya",14221,"Analfabeta",1796,12.63
513,"Nueva Concepción",61150,"Alfabeta",51111,83.58
513,"Nueva Concepción",61150,"Analfabeta",10039,16.42
514,"Sipacate",13740,"Alfabeta",11056,80.47
514,"Sipacate",13740,"Analfabeta",2684,19.53
601,"Cuilapa",35176,"Alfabeta",30700,87.28
601,"Cuilapa",35176,"Analfabeta",4476,12.72
602,"Barberena",49388,"Alfabeta",42782,86.62
602,"Barberena",49388,"Analfabeta",6606,13.38
603,"Santa Rosa de Lima",16734,"Alfabeta",14249,85.15
603,"Santa Rosa de Lima",16734,"Analfabeta",2485,14.85
604,"Casillas",21176,"Alfabeta",17129,80.89
604,"Casillas",21176,"Analfabeta",4047,19.11
605,"San Rafael las Flores",10535,"Alfabeta",8729,82.86
