"Código","Municipio","Población de 7 años o más","Situacion","Personas","Porcentaje Asistencia"
101,"Guatemala",823541,"Asiste",258321,31.37
101,"Guatemala",823541,"No asiste",565220,68.63
102,"Santa Catarina Pinula",70958,"Asiste",22646,31.91
102,"Santa Catarina Pinula",70958,"No asiste",48312,68.09
103,"San José Pinula",68509,"Asiste",22256,32.49
103,"San José Pinula",68509,"No asiste",46253,67.51
104,"San José del Golfo",6206,"Asiste",1689,27.22
104,"San José del Golfo",6206,"No asiste",4517,72.78
105,"Palencia",59630,"Asiste",15891,26.65
105,"Palencia",59630,"No asiste",43739,73.35
106,"Chinautla",98780,"Asiste",31827,32.22
106,"Chinautla",98780,"No asiste",66953,67.78
107,"San Pedro Ayampuc",50043,"Asiste",14758,29.49
107,"San Pedro Ayampuc",50043,"No asiste",35285,70.51
108,"Mixco",413084,"Asiste",132360,32.04
108,"Mixco",413084,"No asiste",280724,67.96
109,"San Pedro Sacatepéquez",43666,"Asiste",12843,29.41
109,"San Pedro Sacatepéquez",43666,"No asiste",30823,70.59
110,"San Juan Sacatepéquez",184474,"Asiste",54231,29.4
110,"San Juan Sacatepéquez",184474,"No asiste",130243,70.6
111,"San Raymundo",26643,"Asiste",7178,26.94
111,"San Raymundo",26643,"No asiste",19465,73.06
112,"Chuarrancho",10555,"Asiste",2773,26.27
112,"Chuarrancho",10555,"No asiste",7782,73.73
113,"Fraijanes",52138,"Asiste",15841,30.38
113,"Fraijanes",52138,"No asiste",36297,69.62
114,"Amatitlán",100917,"Asiste",31350,31.07
114,"Amatitlán",100917,"No asiste",69567,68.93
115,"Villa Nueva",378827,"Asiste",125228,33.06
115,"Villa Nueva",378827,"No asiste",253599,66.94
116,"Villa Canales",133606,"Asiste",39968,29.91
116,"Villa Canales",133606,"No asiste",93638,70.09
117,"San Miguel Petapa",119532,"Asiste",40457,33.85
117,"San Miguel Petapa",119532,"No asiste",79075,66.15
201,"Guastatoya",21686,"Asiste",6446,29.72
201,"Guastatoya",21686,"No asiste",15240,70.28
202,"Morazán",10512,"Asiste",2521,23.98
202,"Morazán",10512,"No asiste",7991,76.02
203,"San Agustín Acasaguastlán",38035,"Asiste",11445,30.09
203,"San Agustín Acasaguastlán",38035,"No asiste",26590,69.91
204,"San Cristóbal Acasaguastlán",6227,"Asiste",1837,29.5
204,"San Cristóbal Acasaguastlán",6227,"No asiste",4390,70.5
205,"El Jícaro",11426,"Asiste",2959,25.9
205,"El Jícaro",11426,"No asiste",8467,74.1
206,"Sansare",11416,"Asiste",3124,27.37
206,"Sansare",11416,"No asiste",8292,72.63
207,"Sanarate",34148,"Asiste",9656,28.28
207,"Sanarate",34148,"No asiste",24492,71.72
208,"San Antonio la Paz",17751,"Asiste",4730,26.65
208,"San Antonio la Paz",17751,"No asiste",13021,73.35
301,"Antigua Guatemala",40973,"Asiste",12215,29.81
301,"Antigua Guatemala",40973,"No asiste",28758,70.19
302,"Jocotenango",19292,"Asiste",6175,32.01
302,"Jocotenango",19292,"No asiste",13117,67.99
303,"Pastores",15433,"Asiste",4588,29.73
303,"Pastores",15433,"No asiste",10845,70.27
304,"Sumpango",31813,"Asiste",8611,27.07
304,"Sumpango",31813,"No asiste",23202,72.93
305,"Santo Domingo Xenacoj",10585,"Asiste",3155,29.81
