"Código","Municipio","Causa de Inasistencia 4-29 años","Cantidad de Personas"
101,"Guatemala","Falta de dinero",18262
101,"Guatemala","Tiene que trabajar",54664
101,"Guatemala","No hay escuela, instituto o universidad",223
101,"Guatemala","Los padres / pareja no quieren",793
101,"Guatemala","Quehaceres del hogar",5478
101,"Guatemala","No le gusta / no quiere ir",10110
101,"Guatemala","Ya termino sus estudios",4858
101,"Guatemala","Otra causa",27161
101,"Guatemala","No especificado",38512
102,"Santa Catarina Pinula","Falta de dinero",1802
102,"Santa Catarina Pinula","Tiene que trabajar",5027
102,"Santa Catarina Pinula","No hay escuela, instituto o universidad",9
102,"Santa Catarina Pinula","Los padres / pareja no quieren",91
102,"Santa Catarina Pinula","Quehaceres del hogar",577
102,"Santa Catarina Pinula","No le gusta / no quiere ir",843
102,"Santa Catarina Pinula","Ya termino sus estudios",461
102,"Santa Catarina Pinula","Otra causa",2492
102,"Santa Catarina Pinula","No especificado",4424
103,"San José Pinula","Falta de dinero",3023
103,"San José Pinula","Tiene que trabajar",5153
103,"San José Pinula","No hay escuela, instituto o universidad",29
103,"San José Pinula","Los padres / pareja no quieren",147
103,"San José Pinula","Quehaceres del hogar",514
103,"San José Pinula","No le gusta / no quiere ir",1538
103,"San José Pinula","Ya termino sus estudios",323
103,"San José Pinula","Otra causa",3941
103,"San José Pinula","No especificado",3872
104,"San José del Golfo","Falta de dinero",269
104,"San José del Golfo","Tiene que trabajar",475
104,"San José del Golfo","No hay escuela, instituto o universidad",7
104,"San José del Golfo","Los padres / pareja no quieren",7
104,"San José del Golfo","Quehaceres del hogar",125
104,"San José del Golfo","No le gusta / no quiere ir",228
104,"San José del Golfo","Ya termino sus estudios",11
104,"San José del Golfo","Otra causa",197
104,"San José del Golfo","No especificado",334
105,"Palencia","Falta de dinero",4294
105,"Palencia","Tiene que trabajar",4486
105,"Palencia","No hay escuela, instituto o universidad",217
105,"Palencia","Los padres / pareja no quieren",289
105,"Palencia","Quehaceres del hogar",1157
105,"Palencia","No le gusta / no quiere ir",3282
105,"Palencia","Ya termino sus estudios",306
105,"Palencia","Otra causa",4539
105,"Palencia","No especificado",2344
106,"Chinautla","Falta de dinero",3680
106,"Chinautla","Tiene que trabajar",8368
106,"Chinautla","No hay escuela, instituto o universidad",29
106,"Chinautla","Los padres / pareja no quieren",92
106,"Chinautla","Quehaceres del hogar",1111
106,"Chinautla","No le gusta / no quiere ir",2557
106,"Chinautla","Ya termino sus estudios",591
106,"Chinautla","Otra causa",4775
106,"Chinautla","No especificado",3584
107,"San Pedro Ayampuc","Falta de dinero",2616
107,"San Pedro Ayampuc","Tiene que trabajar",4087
107,"San Pedro Ayampuc","No hay escuela, instituto o universidad",22
107,"San Pedro Ayampuc","Los padres / pareja no quieren",62
107,"San Pedro Ayampuc","Quehaceres del hogar",711
107,"San Pedro Ayampuc","No le gusta / no quiere ir",1491
107,"San Pedro Ayampuc","Ya termino sus estudios",318
107,"San Pedro Ayampuc","Otra causa",3114
107,"San Pedro Ayampuc","No especificado",2844
108,"Mixco","Falta de dinero",9331
108,"Mixco","Tiene que trabajar",27404
108,"Mixco","No hay escuela, instituto o universidad",114
108,"Mixco","Los padres / pareja no quieren",399
108,"Mixco","Quehaceres del hogar",2816
108,"Mixco","No le gusta / no quiere ir",4850
108,"Mixco","Ya termino sus estudios",2586
108,"Mixco","Otra causa",13825
108,"Mixco","No especificado",21702
109,"San Pedro Sacatepéquez","Falta de dinero",3237
109,"San Pedro Sacatepéquez","Tiene que trabajar",3272
109,"San Pedro Sacatepéquez","No hay escuela, instituto o universidad",11
109,"San Pedro Sacatepéquez","Los padres / pareja no quieren",50
109,"San Pedro Sacatepéquez","Quehaceres del hogar",201
109,"San Pedro Sacatepéquez","No le gusta / no quiere ir",1680
109,"San Pedro Sacatepéquez","Ya termino sus estudios",260
109,"San Pedro Sacatepéquez","Otra causa",2856
109,"San Pedro Sacatepéquez","No especificado",1579
110,"San Juan Sacatepéquez","Falta de dinero",15389
110,"San Juan Sacatepéquez","Tiene que trabajar",12660
110,"San Juan Sacatepéquez","No hay escuela, instituto o universidad",66
110,"San Juan Sacatepéquez","Los padres / pareja no quieren",504
110,"San Juan Sacatepéquez","Quehaceres del hogar",1418
110,"San Juan Sacatepéquez","No le gusta / no quiere ir",7310
110,"San Juan Sacatepéquez","Ya termino sus estudios",1154
110,"San Juan Sacatepéquez","Otra causa",12632
110,"San Juan Sacatepéquez","No especificado",10294
111,"San Raymundo","Falta de dinero",2669
111,"San Raymundo","Tiene que trabajar",1697
111,"San Raymundo","No hay escuela, instituto o universidad",20
111,"San Raymundo","Los padres / pareja no quieren",117
111,"San Raymundo","Quehaceres del hogar",202
111,"San Raymundo","No le gusta / no quiere ir",1776
111,"San Raymundo","Ya termino sus estudios",224
111,"San Raymundo","Otra causa",1958
111,"San Raymundo","No especificado",786
112,"Chuarrancho","Falta de dinero",993
112,"Chuarrancho","Tiene que trabajar",518
112,"Chuarrancho","No hay escuela, instituto o universidad",16
