"Código","Municipio","Población de 4 años o más","Dificultades","Cantidad de Personas","Porcentaje con Dificultad"
101,"Guatemala",867269,"Sin dificultad para Ver",752388,86.75
102,"Santa Catarina Pinula",75271,"Sin dificultad para Ver",67955,90.28
103,"San José Pinula",73437,"Sin dificultad para Ver",66303,90.29
104,"San José del Golfo",6640,"Sin dificultad para Ver",6016,90.6
105,"Palencia",64629,"Sin dificultad para Ver",58646,90.74
106,"Chinautla",105840,"Sin dificultad para Ver",95672,90.39
107,"San Pedro Ayampuc",53768,"Sin dificultad para Ver",49442,91.95
108,"Mixco",436531,"Sin dificultad para Ver",381397,87.37
109,"San Pedro Sacatepéquez",46982,"Sin dificultad para Ver",41701,88.76
110,"San Juan Sacatepéquez",199204,"Sin dificultad para Ver",180001,90.36
111,"San Raymundo",28842,"Sin dificultad para Ver",25923,89.88
112,"Chuarrancho",11454,"Sin dificultad para Ver",10297,89.9
113,"Fraijanes",55165,"Sin dificultad para Ver",49709,90.11
114,"Amatitlán",107845,"Sin dificultad para Ver",97336,90.26
115,"Villa Nueva",403491,"Sin dificultad para Ver",360557,89.36
116,"Villa Canales",143323,"Sin dificultad para Ver",130828,91.28
117,"San Miguel Petapa",126806,"Sin dificultad para Ver",113169,89.25
201,"Guastatoya",23052,"Sin dificultad para Ver",20892,90.63
202,"Morazán",11276,"Sin dificultad para Ver",9761,86.56
203,"San Agustín Acasaguastlán",41477,"Sin dificultad para Ver",38054,91.75
204,"San Cristóbal Acasaguastlán",6702,"Sin dificultad para Ver",6011,89.69
205,"El Jícaro",12156,"Sin dificultad para Ver",10900,89.67
206,"Sansare",12239,"Sin dificultad para Ver",11629,95.02
207,"Sanarate",36580,"Sin dificultad para Ver",33567,91.76
208,"San Antonio la Paz",19112,"Sin dificultad para Ver",18192,95.19
301,"Antigua Guatemala",43230,"Sin dificultad para Ver",36424,84.26
302,"Jocotenango",20356,"Sin dificultad para Ver",17507,86
303,"Pastores",16493,"Sin dificultad para Ver",14802,89.75
304,"Sumpango",34187,"Sin dificultad para Ver",30549,89.36
305,"Santo Domingo Xenacoj",11366,"Sin dificultad para Ver",10163,89.42
306,"Santiago Sacatepéquez",27114,"Sin dificultad para Ver",24911,91.88
307,"San Bartolomé Milpas Altas",7298,"Sin dificultad para Ver",6886,94.35
308,"San Lucas Sacatepéquez",21812,"Sin dificultad para Ver",19982,91.61
309,"Santa Lucía Milpas Altas",14538,"Sin dificultad para Ver",12849,88.38
310,"Magdalena Milpas Altas",11023,"Sin dificultad para Ver",10402,94.37
311,"Santa María de Jesús",20042,"Sin dificultad para Ver",18622,92.91
312,"Ciudad Vieja",30977,"Sin dificultad para Ver",27655,89.28
313,"San Miguel Dueñas",11732,"Sin dificultad para Ver",10638,90.68
314,"San Juan Alotenango",22069,"Sin dificultad para Ver",20494,92.86
315,"San Antonio Aguas Calientes",10543,"Sin dificultad para Ver",9240,87.64
316,"Santa Catarina Barahona",3761,"Sin dificultad para Ver",3320,88.27
401,"Chimaltenango",89396,"Sin dificultad para Ver",80452,90
402,"San José Poaquil",24577,"Sin dificultad para Ver",22341,90.9
403,"San Martín Jilotepeque",66977,"Sin dificultad para Ver",61929,92.46
404,"San Juan Comalapa",44392,"Sin dificultad para Ver",40672,91.62
405,"Santa Apolonia",16457,"Sin dificultad para Ver",15479,94.06
406,"Tecpán Guatemala",82393,"Sin dificultad para Ver",77297,93.82
407,"Patzún",53065,"Sin dificultad para Ver",46862,88.31
408,"San Miguel Pochuta",8042,"Sin dificultad para Ver",7419,92.25
409,"Patzicía",30279,"Sin dificultad para Ver",28053,92.65
410,"Santa Cruz Balanyá",8577,"Sin dificultad para Ver",8099,94.43
411,"Acatenango",21005,"Sin dificultad para Ver",18984,90.38
412,"San Pedro Yepocapa",31531,"Sin dificultad para Ver",28889,91.62
413,"San Andrés Itzapa",29097,"Sin dificultad para Ver",26638,91.55
414,"Parramos",14635,"Sin dificultad para Ver",13631,93.14
415,"Zaragoza",21887,"Sin dificultad para Ver",20055,91.63
416,"El Tejar",17970,"Sin dificultad para Ver",16499,91.81
501,"Escuintla",144730,"Sin dificultad para Ver",129668,89.59
502,"Santa Lucía Cotzumalguapa",103301,"Sin dificultad para Ver",93280,90.3
503,"La Democracia",20945,"Sin dificultad para Ver",19041,90.91
504,"Siquinalá",20916,"Sin dificultad para Ver",19198,91.79
505,"Masagua",41220,"Sin dificultad para Ver",37898,91.94
506,"Tiquisate",52142,"Sin dificultad para Ver",48316,92.66
507,"La Gomera",42416,"Sin dificultad para Ver",39733,93.67
508,"Guanagazapa",14491,"Sin dificultad para Ver",13429,92.67
509,"San José",57581,"Sin dificultad para Ver",52845,91.78
510,"Iztapa",16779,"Sin dificultad para Ver",15578,92.84
511,"Palín",60544,"Sin dificultad para Ver",55957,92.42
512,"San Vicente Pacaya",15298,"Sin dificultad para Ver",14146,92.47
513,"Nueva Concepción",66178,"Sin dificultad para Ver",62127,93.88
514,"Sipacate",14796,"Sin dificultad para Ver",13084,88.43
601,"Cuilapa",38088,"Sin dificultad para Ver",35420,93
602,"Barberena",53456,"Sin dificultad para Ver",49487,92.58
603,"Santa Rosa de Lima",18086,"Sin dificultad para Ver",16276,89.99
604,"Casillas",22870,"Sin dificultad para Ver",21025,91.93
605,"San Rafael las Flores",11442,"Sin dificultad para Ver",10282,89.86
606,"Oratorio",22841,"Sin dificultad para Ver",20624,90.29
607,"San Juan Tecuaco",9151,"Sin dificultad para Ver",8420,92.01
608,"Chiquimulilla",49406,"Sin dificultad para Ver",45186,91.46
609,"Taxisco",27287,"Sin dificultad para Ver",24796,90.87
610,"Santa María Ixhuatán",21742,"Sin dificultad para Ver",20048,92.21
611,"Guazacapán",17240,"Sin dificultad para Ver",16097,93.37
612,"Santa Cruz Naranjo",15068,"Sin dificultad para Ver",13441,89.2
