"Código","Municipio","Total de personas","Grupo de Edades 5 años","Cantidad","Porcentaje de Poblacion"
101,"Guatemala",923392,"0 - 4",70917,7.68
101,"Guatemala",923392,"5 - 9",72168,7.82
101,"Guatemala",923392,"10 - 14",73605,7.97
101,"Guatemala",923392,"15 - 19",85869,9.3
101,"Guatemala",923392,"20 - 24",90701,9.82
101,"Guatemala",923392,"25 - 29",83670,9.06
101,"Guatemala",923392,"30 - 34",71457,7.74
101,"Guatemala",923392,"35 - 39",67982,7.36
101,"Guatemala",923392,"40 - 44",58952,6.38
101,"Guatemala",923392,"45 - 49",50027,5.42
101,"Guatemala",923392,"50 - 54",44897,4.86
101,"Guatemala",923392,"55 - 59",39495,4.28
101,"Guatemala",923392,"60 - 64",33190,3.59
101,"Guatemala",923392,"65 - 69",27857,3.02
101,"Guatemala",923392,"70 - 74",20133,2.18
101,"Guatemala",923392,"75 - 79",14022,1.52
101,"Guatemala",923392,"80 - 84",9201,1
101,"Guatemala",923392,"85 - 89",5940,0.64
101,"Guatemala",923392,"90 - 94",2494,0.27
101,"Guatemala",923392,"95 - 99",697,0.08
101,"Guatemala",923392,"100 - más",118,0.01
102,"Santa Catarina Pinula",80582,"0 - 4",6805,8.44
102,"Santa Catarina Pinula",80582,"5 - 9",6987,8.67
102,"Santa Catarina Pinula",80582,"10 - 14",7271,9.02
102,"Santa Catarina Pinula",80582,"15 - 19",8006,9.94
102,"Santa Catarina Pinula",80582,"20 - 24",8151,10.12
102,"Santa Catarina Pinula",80582,"25 - 29",7343,9.11
102,"Santa Catarina Pinula",80582,"30 - 34",6113,7.59
102,"Santa Catarina Pinula",80582,"35 - 39",5932,7.36
102,"Santa Catarina Pinula",80582,"40 - 44",5279,6.55
102,"Santa Catarina Pinula",80582,"45 - 49",4368,5.42
102,"Santa Catarina Pinula",80582,"50 - 54",3712,4.61
102,"Santa Catarina Pinula",80582,"55 - 59",3102,3.85
102,"Santa Catarina Pinula",80582,"60 - 64",2562,3.18
102,"Santa Catarina Pinula",80582,"65 - 69",1900,2.36
102,"Santa Catarina Pinula",80582,"70 - 74",1284,1.59
102,"Santa Catarina Pinula",80582,"75 - 79",806,1
102,"Santa Catarina Pinula",80582,"80 - 84",497,0.62
102,"Santa Catarina Pinula",80582,"85 - 89",317,0.39
102,"Santa Catarina Pinula",80582,"90 - 94",113,0.14
102,"Santa Catarina Pinula",80582,"95 - 99",29,0.04
102,"Santa Catarina Pinula",80582,"100 - más",5,0.01
103,"San José Pinula",79844,"0 - 4",8116,10.16
103,"San José Pinula",79844,"5 - 9",8100,10.14
103,"San José Pinula",79844,"10 - 14",7903,9.9
103,"San José Pinula",79844,"15 - 19",8225,10.3
103,"San José Pinula",79844,"20 - 24",8190,10.26
103,"San José Pinula",79844,"25 - 29",7522,9.42
103,"San José Pinula",79844,"30 - 34",6489,8.13
103,"San José Pinula",79844,"35 - 39",5927,7.42
103,"San José Pinula",79844,"40 - 44",4698,5.88
103,"San José Pinula",79844,"45 - 49",3570,4.47
103,"San José Pinula",79844,"50 - 54",2910,3.64
103,"San José Pinula",79844,"55 - 59",2588,3.24
103,"San José Pinula",79844,"60 - 64",1950,2.44
103,"San José Pinula",79844,"65 - 69",1514,1.9
103,"San José Pinula",79844,"70 - 74",906,1.13
103,"San José Pinula",79844,"75 - 79",567,0.71
103,"San José Pinula",79844,"80 - 84",367,0.46
103,"San José Pinula",79844,"85 - 89",206,0.26
103,"San José Pinula",79844,"90 - 94",77,0.1
103,"San José Pinula",79844,"95 - 99",17,0.02
103,"San José Pinula",79844,"100 - más",2,0
104,"San José del Golfo",7229,"0 - 4",740,10.24
104,"San José del Golfo",7229,"5 - 9",729,10.08
104,"San José del Golfo",7229,"10 - 14",692,9.57
104,"San José del Golfo",7229,"15 - 19",739,10.22
104,"San José del Golfo",7229,"20 - 24",722,9.99
104,"San José del Golfo",7229,"25 - 29",584,8.08
104,"San José del Golfo",7229,"30 - 34",523,7.23
104,"San José del Golfo",7229,"35 - 39",440,6.09
104,"San José del Golfo",7229,"40 - 44",385,5.33
104,"San José del Golfo",7229,"45 - 49",336,4.65
104,"San José del Golfo",7229,"50 - 54",293,4.05
104,"San José del Golfo",7229,"55 - 59",273,3.78
104,"San José del Golfo",7229,"60 - 64",221,3.06
104,"San José del Golfo",7229,"65 - 69",178,2.46
104,"San José del Golfo",7229,"70 - 74",136,1.88
104,"San José del Golfo",7229,"75 - 79",114,1.58
104,"San José del Golfo",7229,"80 - 84",57,0.79
104,"San José del Golfo",7229,"85 - 89",47,0.65
104,"San José del Golfo",7229,"90 - 94",12,0.17
104,"San José del Golfo",7229,"95 - 99",8,0.11
104,"San José del Golfo",7229,"100 - más",0,0
105,"Palencia",70973,"0 - 4",8048,11.34
105,"Palencia",70973,"5 - 9",7906,11.14
105,"Palencia",70973,"10 - 14",7529,10.61
105,"Palencia",70973,"15 - 19",7593,10.7
105,"Palencia",70973,"20 - 24",7129,10.04
105,"Palencia",70973,"25 - 29",6316,8.9
105,"Palencia",70973,"30 - 34",5131,7.23
105,"Palencia",70973,"35 - 39",4538,6.39
105,"Palencia",70973,"40 - 44",3742,5.27
105,"Palencia",70973,"45 - 49",2994,4.22
105,"Palencia",70973,"50 - 54",2658,3.75
105,"Palencia",70973,"55 - 59",2129,3
105,"Palencia",70973,"60 - 64",1643,2.31
105,"Palencia",70973,"65 - 69",1282,1.81
105,"Palencia",70973,"70 - 74",910,1.28
105,"Palencia",70973,"75 - 79",626,0.88
105,"Palencia",70973,"80 - 84",397,0.56
105,"Palencia",70973,"85 - 89",260,0.37
105,"Palencia",70973,"90 - 94",103,0.15
105,"Palencia",70973,"95 - 99",39,0.05
105,"Palencia",70973,"100 - más",0,0
106,"Chinautla",114752,"0 - 4",11333,9.88
106,"Chinautla",114752,"5 - 9",11370,9.91
106,"Chinautla",114752,"10 - 14",11425,9.96
106,"Chinautla",114752,"15 - 19",12277,10.7
106,"Chinautla",114752,"20 - 24",11738,10.23
106,"Chinautla",114752,"25 - 29",10253,8.93
106,"Chinautla",114752,"30 - 34",8570,7.47
106,"Chinautla",114752,"35 - 39",8220,7.16
106,"Chinautla",114752,"40 - 44",6806,5.93
106,"Chinautla",114752,"45 - 49",5453,4.75
106,"Chinautla",114752,"50 - 54",4718,4.11
106,"Chinautla",114752,"55 - 59",3809,3.32
106,"Chinautla",114752,"60 - 64",2925,2.55
106,"Chinautla",114752,"65 - 69",2254,1.96
106,"Chinautla",114752,"70 - 74",1409,1.23
106,"Chinautla",114752,"75 - 79",957,0.83
106,"Chinautla",114752,"80 - 84",639,0.56
106,"Chinautla",114752,"85 - 89",393,0.34
106,"Chinautla",114752,"90 - 94",148,0.13
106,"Chinautla",114752,"95 - 99",50,0.04
106,"Chinautla",114752,"100 - más",5,0
107,"San Pedro Ayampuc",58609,"0 - 4",6148,10.49
107,"San Pedro Ayampuc",58609,"5 - 9",5985,10.21
107,"San Pedro Ayampuc",58609,"10 - 14",6055,10.33
107,"San Pedro Ayampuc",58609,"15 - 19",6527,11.14
107,"San Pedro Ayampuc",58609,"20 - 24",6203,10.58
107,"San Pedro Ayampuc",58609,"25 - 29",5289,9.02
107,"San Pedro Ayampuc",58609,"30 - 34",4072,6.95
107,"San Pedro Ayampuc",58609,"35 - 39",3776,6.44
107,"San Pedro Ayampuc",58609,"40 - 44",3153,5.38
107,"San Pedro Ayampuc",58609,"45 - 49",2773,4.73
107,"San Pedro Ayampuc",58609,"50 - 54",2370,4.04
107,"San Pedro Ayampuc",58609,"55 - 59",1855,3.17
107,"San Pedro Ayampuc",58609,"60 - 64",1416,2.42
107,"San Pedro Ayampuc",58609,"65 - 69",1135,1.94
107,"San Pedro Ayampuc",58609,"70 - 74",702,1.2
107,"San Pedro Ayampuc",58609,"75 - 79",556,0.95
107,"San Pedro Ayampuc",58609,"80 - 84",306,0.52
107,"San Pedro Ayampuc",58609,"85 - 89",203,0.35
107,"San Pedro Ayampuc",58609,"90 - 94",68,0.12
107,"San Pedro Ayampuc",58609,"95 - 99",15,0.03
107,"San Pedro Ayampuc",58609,"100 - más",2,0
108,"Mixco",465773,"0 - 4",37135,7.97
108,"Mixco",465773,"5 - 9",38487,8.26
108,"Mixco",465773,"10 - 14",38790,8.33
108,"Mixco",465773,"15 - 19",43757,9.39
108,"Mixco",465773,"20 - 24",44912,9.64
108,"Mixco",465773,"25 - 29",42540,9.13
108,"Mixco",465773,"30 - 34",37233,7.99
108,"Mixco",465773,"35 - 39",36493,7.83
108,"Mixco",465773,"40 - 44",30295,6.5
108,"Mixco",465773,"45 - 49",24636,5.29
108,"Mixco",465773,"50 - 54",22131,4.75
108,"Mixco",465773,"55 - 59",18800,4.04
108,"Mixco",465773,"60 - 64",15836,3.4
108,"Mixco",465773,"65 - 69",12690,2.72
108,"Mixco",465773,"70 - 74",8963,1.92
108,"Mixco",465773,"75 - 79",5937,1.27
108,"Mixco",465773,"80 - 84",3796,0.81
108,"Mixco",465773,"85 - 89",2272,0.49
108,"Mixco",465773,"90 - 94",794,0.17
108,"Mixco",465773,"95 - 99",234,0.05
108,"Mixco",465773,"100 - más",42,0.01
109,"San Pedro Sacatepéquez",51292,"0 - 4",5399,10.53
109,"San Pedro Sacatepéquez",51292,"5 - 9",5315,10.36
109,"San Pedro Sacatepéquez",51292,"10 - 14",5217,10.17
109,"San Pedro Sacatepéquez",51292,"15 - 19",5542,10.8
109,"San Pedro Sacatepéquez",51292,"20 - 24",5372,10.47
109,"San Pedro Sacatepéquez",51292,"25 - 29",4607,8.98
