"Código","Municipio","Nivel Educativo","Cantidad de Personas"
101,"Guatemala","Ninguno",55277
101,"Guatemala","Preprimaria",38553
101,"Guatemala","Primaria, 1-3",88888
101,"Guatemala","Primaria, 4-5",47265
101,"Guatemala","Primaria, 6",110660
101,"Guatemala","Basico",161827
101,"Guatemala","Diversificado",217881
101,"Guatemala","Licenciatura",127191
101,"Guatemala","Maestria y doctorado",19727
102,"Santa Catarina Pinula","Ninguno",5824
102,"Santa Catarina Pinula","Preprimaria",3471
102,"Santa Catarina Pinula","Primaria, 1-3",9715
102,"Santa Catarina Pinula","Primaria, 4-5",4878
102,"Santa Catarina Pinula","Primaria, 6",10152
102,"Santa Catarina Pinula","Basico",13975
102,"Santa Catarina Pinula","Diversificado",15961
102,"Santa Catarina Pinula","Licenciatura",9162
102,"Santa Catarina Pinula","Maestria y doctorado",2133
103,"San José Pinula","Ninguno",8301
103,"San José Pinula","Preprimaria",3158
103,"San José Pinula","Primaria, 1-3",11497
103,"San José Pinula","Primaria, 4-5",5578
103,"San José Pinula","Primaria, 6",10550
103,"San José Pinula","Basico",13057
103,"San José Pinula","Diversificado",13324
103,"San José Pinula","Licenciatura",7027
103,"San José Pinula","Maestria y doctorado",945
104,"San José del Golfo","Ninguno",786
104,"San José del Golfo","Preprimaria",333
104,"San José del Golfo","Primaria, 1-3",1401
104,"San José del Golfo","Primaria, 4-5",606
104,"San José del Golfo","Primaria, 6",1283
104,"San José del Golfo","Basico",1107
104,"San José del Golfo","Diversificado",982
104,"San José del Golfo","Licenciatura",138
104,"San José del Golfo","Maestria y doctorado",4
105,"Palencia","Ninguno",12421
105,"Palencia","Preprimaria",2297
105,"Palencia","Primaria, 1-3",14439
105,"Palencia","Primaria, 4-5",6184
105,"Palencia","Primaria, 6",10409
105,"Palencia","Basico",8320
105,"Palencia","Diversificado",8630
105,"Palencia","Licenciatura",1790
105,"Palencia","Maestria y doctorado",139
106,"Chinautla","Ninguno",10696
106,"Chinautla","Preprimaria",5788
106,"Chinautla","Primaria, 1-3",15471
106,"Chinautla","Primaria, 4-5",7816
106,"Chinautla","Primaria, 6",15948
106,"Chinautla","Basico",20578
106,"Chinautla","Diversificado",23968
106,"Chinautla","Licenciatura",5194
106,"Chinautla","Maestria y doctorado",381
107,"San Pedro Ayampuc","Ninguno",8545
107,"San Pedro Ayampuc","Preprimaria",2142
107,"San Pedro Ayampuc","Primaria, 1-3",9051
107,"San Pedro Ayampuc","Primaria, 4-5",4358
107,"San Pedro Ayampuc","Primaria, 6",8397
107,"San Pedro Ayampuc","Basico",10470
107,"San Pedro Ayampuc","Diversificado",9612
107,"San Pedro Ayampuc","Licenciatura",1089
107,"San Pedro Ayampuc","Maestria y doctorado",104
108,"Mixco","Ninguno",30497
108,"Mixco","Preprimaria",19807
108,"Mixco","Primaria, 1-3",47594
108,"Mixco","Primaria, 4-5",24691
108,"Mixco","Primaria, 6",52184
108,"Mixco","Basico",79587
108,"Mixco","Diversificado",106025
108,"Mixco","Licenciatura",66902
108,"Mixco","Maestria y doctorado",9244
109,"San Pedro Sacatepéquez","Ninguno",7433
109,"San Pedro Sacatepéquez","Preprimaria",2093
109,"San Pedro Sacatepéquez","Primaria, 1-3",8362
109,"San Pedro Sacatepéquez","Primaria, 4-5",4289
109,"San Pedro Sacatepéquez","Primaria, 6",8062
109,"San Pedro Sacatepéquez","Basico",7950
109,"San Pedro Sacatepéquez","Diversificado",7281
109,"San Pedro Sacatepéquez","Licenciatura",1396
109,"San Pedro Sacatepéquez","Maestria y doctorado",116
110,"San Juan Sacatepéquez","Ninguno",38531
110,"San Juan Sacatepéquez","Preprimaria",7699
110,"San Juan Sacatepéquez","Primaria, 1-3",37149
110,"San Juan Sacatepéquez","Primaria, 4-5",18690
110,"San Juan Sacatepéquez","Primaria, 6",32859
110,"San Juan Sacatepéquez","Basico",29236
110,"San Juan Sacatepéquez","Diversificado",29063
110,"San Juan Sacatepéquez","Licenciatura",5608
110,"San Juan Sacatepéquez","Maestria y doctorado",369
111,"San Raymundo","Ninguno",6115
111,"San Raymundo","Preprimaria",1322
111,"San Raymundo","Primaria, 1-3",5865
111,"San Raymundo","Primaria, 4-5",2834
111,"San Raymundo","Primaria, 6",4688
111,"San Raymundo","Basico",3507
111,"San Raymundo","Diversificado",3719
111,"San Raymundo","Licenciatura",740
111,"San Raymundo","Maestria y doctorado",52
112,"Chuarrancho","Ninguno",3578
112,"Chuarrancho","Preprimaria",519
112,"Chuarrancho","Primaria, 1-3",2382
112,"Chuarrancho","Primaria, 4-5",1091
112,"Chuarrancho","Primaria, 6",1596
112,"Chuarrancho","Basico",1269
112,"Chuarrancho","Diversificado",899
112,"Chuarrancho","Licenciatura",118
112,"Chuarrancho","Maestria y doctorado",2
113,"Fraijanes","Ninguno",5555
113,"Fraijanes","Preprimaria",2053
113,"Fraijanes","Primaria, 1-3",7777
113,"Fraijanes","Primaria, 4-5",3785
113,"Fraijanes","Primaria, 6",7555
113,"Fraijanes","Basico",9315
113,"Fraijanes","Diversificado",8838
113,"Fraijanes","Licenciatura",8166
113,"Fraijanes","Maestria y doctorado",2121
114,"Amatitlán","Ninguno",12286
114,"Amatitlán","Preprimaria",4299
114,"Amatitlán","Primaria, 1-3",16353
114,"Amatitlán","Primaria, 4-5",8154
114,"Amatitlán","Primaria, 6",16440
114,"Amatitlán","Basico",20766
114,"Amatitlán","Diversificado",22334
114,"Amatitlán","Licenciatura",6861
114,"Amatitlán","Maestria y doctorado",352
115,"Villa Nueva","Ninguno",35122
115,"Villa Nueva","Preprimaria",17884
115,"Villa Nueva","Primaria, 1-3",51443
115,"Villa Nueva","Primaria, 4-5",25983
115,"Villa Nueva","Primaria, 6",54415
115,"Villa Nueva","Basico",81477
115,"Villa Nueva","Diversificado",96424
115,"Villa Nueva","Licenciatura",37493
115,"Villa Nueva","Maestria y doctorado",3250
116,"Villa Canales","Ninguno",20541
116,"Villa Canales","Preprimaria",5797
116,"Villa Canales","Primaria, 1-3",24586
116,"Villa Canales","Primaria, 4-5",11283
116,"Villa Canales","Primaria, 6",23268
116,"Villa Canales","Basico",26441
116,"Villa Canales","Diversificado",23444
116,"Villa Canales","Licenciatura",7073
116,"Villa Canales","Maestria y doctorado",890
117,"San Miguel Petapa","Ninguno",9447
117,"San Miguel Petapa","Preprimaria",5721
117,"San Miguel Petapa","Primaria, 1-3",13973
117,"San Miguel Petapa","Primaria, 4-5",7343
117,"San Miguel Petapa","Primaria, 6",15571
117,"San Miguel Petapa","Basico",25377
117,"San Miguel Petapa","Diversificado",32322
117,"San Miguel Petapa","Licenciatura",15630
117,"San Miguel Petapa","Maestria y doctorado",1422
201,"Guastatoya","Ninguno",2582
201,"Guastatoya","Preprimaria",1261
