"Código","Municipio","Población de 10 años o más","Estado Civil","Cantidad","Porcentaje de Poblacion"
101,"Guatemala",780307,"Soltera(o)",351055,44.99
101,"Guatemala",780307,"Unida(o)",112772,14.45
101,"Guatemala",780307,"Casada(o)",243447,31.2
101,"Guatemala",780307,"Separada(o)",27793,3.56
101,"Guatemala",780307,"Divorciada(o)",8465,1.08
101,"Guatemala",780307,"Viuda(o)",36775,4.71
102,"Santa Catarina Pinula",66790,"Soltera(o)",29322,43.9
102,"Santa Catarina Pinula",66790,"Unida(o)",8872,13.28
102,"Santa Catarina Pinula",66790,"Casada(o)",24182,36.21
102,"Santa Catarina Pinula",66790,"Separada(o)",1671,2.5
102,"Santa Catarina Pinula",66790,"Divorciada(o)",555,0.83
102,"Santa Catarina Pinula",66790,"Viuda(o)",2188,3.28
103,"San José Pinula",63628,"Soltera(o)",27552,43.3
103,"San José Pinula",63628,"Unida(o)",9543,15
103,"San José Pinula",63628,"Casada(o)",22727,35.72
103,"San José Pinula",63628,"Separada(o)",1511,2.37
103,"San José Pinula",63628,"Divorciada(o)",369,0.58
103,"San José Pinula",63628,"Viuda(o)",1926,3.03
104,"San José del Golfo",5760,"Soltera(o)",2288,39.72
104,"San José del Golfo",5760,"Unida(o)",811,14.08
104,"San José del Golfo",5760,"Casada(o)",2143,37.2
104,"San José del Golfo",5760,"Separada(o)",254,4.41
104,"San José del Golfo",5760,"Divorciada(o)",10,0.17
104,"San José del Golfo",5760,"Viuda(o)",254,4.41
105,"Palencia",55019,"Soltera(o)",22625,41.12
105,"Palencia",55019,"Unida(o)",9849,17.9
105,"Palencia",55019,"Casada(o)",19141,34.79
105,"Palencia",55019,"Separada(o)",1398,2.54
105,"Palencia",55019,"Divorciada(o)",116,0.21
105,"Palencia",55019,"Viuda(o)",1890,3.44
106,"Chinautla",92049,"Soltera(o)",40434,43.93
106,"Chinautla",92049,"Unida(o)",16463,17.89
106,"Chinautla",92049,"Casada(o)",27992,30.41
106,"Chinautla",92049,"Separada(o)",3256,3.54
106,"Chinautla",92049,"Divorciada(o)",357,0.39
106,"Chinautla",92049,"Viuda(o)",3547,3.85
107,"San Pedro Ayampuc",46476,"Soltera(o)",19881,42.78
107,"San Pedro Ayampuc",46476,"Unida(o)",9172,19.73
107,"San Pedro Ayampuc",46476,"Casada(o)",14230,30.62
107,"San Pedro Ayampuc",46476,"Separada(o)",1480,3.18
107,"San Pedro Ayampuc",46476,"Divorciada(o)",121,0.26
107,"San Pedro Ayampuc",46476,"Viuda(o)",1592,3.43
108,"Mixco",390151,"Soltera(o)",172784,44.29
108,"Mixco",390151,"Unida(o)",50700,12.99
108,"Mixco",390151,"Casada(o)",135636,34.77
108,"Mixco",390151,"Separada(o)",11476,2.94
108,"Mixco",390151,"Divorciada(o)",3436,0.88
108,"Mixco",390151,"Viuda(o)",16119,4.13
109,"San Pedro Sacatepéquez",40578,"Soltera(o)",17943,44.22
109,"San Pedro Sacatepéquez",40578,"Unida(o)",4800,11.83
109,"San Pedro Sacatepéquez",40578,"Casada(o)",15446,38.06
109,"San Pedro Sacatepéquez",40578,"Separada(o)",862,2.12
109,"San Pedro Sacatepéquez",40578,"Divorciada(o)",68,0.17
109,"San Pedro Sacatepéquez",40578,"Viuda(o)",1459,3.6
110,"San Juan Sacatepéquez",170568,"Soltera(o)",77696,45.55
110,"San Juan Sacatepéquez",170568,"Unida(o)",20954,12.28
110,"San Juan Sacatepéquez",170568,"Casada(o)",61664,36.15
110,"San Juan Sacatepéquez",170568,"Separada(o)",4180,2.45
110,"San Juan Sacatepéquez",170568,"Divorciada(o)",316,0.19
110,"San Juan Sacatepéquez",170568,"Viuda(o)",5758,3.38
111,"San Raymundo",24637,"Soltera(o)",11189,45.42
111,"San Raymundo",24637,"Unida(o)",2656,10.78
111,"San Raymundo",24637,"Casada(o)",9478,38.47
111,"San Raymundo",24637,"Separada(o)",441,1.79
