"Código","Municipio","Total de personas","Genero","Cantidad"
101,"Guatemala",923392,"Hombre",438695
101,"Guatemala",923392,"Mujer",484697
102,"Santa Catarina Pinula",80582,"Hombre",38174
102,"Santa Catarina Pinula",80582,"Mujer",42408
103,"San José Pinula",79844,"Hombre",38661
103,"San José Pinula",79844,"Mujer",41183
104,"San José del Golfo",7229,"Hombre",3493
104,"San José del Golfo",7229,"Mujer",3736
105,"Palencia",70973,"Hombre",34608
105,"Palencia",70973,"Mujer",36365
106,"Chinautla",114752,"Hombre",55265
106,"Chinautla",114752,"Mujer",59487
107,"San Pedro Ayampuc",58609,"Hombre",28578
107,"San Pedro Ayampuc",58609,"Mujer",30031
108,"Mixco",465773,"Hombre",221110
108,"Mixco",465773,"Mujer",244663
109,"San Pedro Sacatepéquez",51292,"Hombre",25149
109,"San Pedro Sacatepéquez",51292,"Mujer",26143
110,"San Juan Sacatepéquez",218156,"Hombre",106748
110,"San Juan Sacatepéquez",218156,"Mujer",111408
111,"San Raymundo",31605,"Hombre",15019
111,"San Raymundo",31605,"Mujer",16586
112,"Chuarrancho",12638,"Hombre",6326
112,"Chuarrancho",12638,"Mujer",6312
113,"Fraijanes",58922,"Hombre",30496
113,"Fraijanes",58922,"Mujer",28426
114,"Amatitlán",116711,"Hombre",56846
114,"Amatitlán",116711,"Mujer",59865
115,"Villa Nueva",433734,"Hombre",208914
115,"Villa Nueva",433734,"Mujer",224820
116,"Villa Canales",155422,"Hombre",75968
116,"Villa Canales",155422,"Mujer",79454
117,"San Miguel Petapa",135447,"Hombre",65153
117,"San Miguel Petapa",135447,"Mujer",70294
201,"Guastatoya",24821,"Hombre",12206
201,"Guastatoya",24821,"Mujer",12615
202,"Morazán",12164,"Hombre",6008
202,"Morazán",12164,"Mujer",6156
203,"San Agustín Acasaguastlán",45765,"Hombre",22760
203,"San Agustín Acasaguastlán",45765,"Mujer",23005
204,"San Cristóbal Acasaguastlán",7199,"Hombre",3459
204,"San Cristóbal Acasaguastlán",7199,"Mujer",3740
205,"El Jícaro",13128,"Hombre",6474
205,"El Jícaro",13128,"Mujer",6654
206,"Sansare",13154,"Hombre",6488
206,"Sansare",13154,"Mujer",6666
207,"Sanarate",39444,"Hombre",19274
