"Código","Municipio","Total de mujeres en edad fértil","Situación","Cantidad de Mujeres","Porcentaje de Mujeres"
101,"Guatemala",263622,"Con 0 hijos nacidos",97265,0.37
102,"Santa Catarina Pinula",23901,"Con 0 hijos nacidos",7980,0.33
103,"San José Pinula",23316,"Con 0 hijos nacidos",7638,0.33
104,"San José del Golfo",1965,"Con 0 hijos nacidos",611,0.31
105,"Palencia",19386,"Con 0 hijos nacidos",6036,0.31
106,"Chinautla",32974,"Con 0 hijos nacidos",10436,0.32
107,"San Pedro Ayampuc",16464,"Con 0 hijos nacidos",4700,0.29
108,"Mixco",136108,"Con 0 hijos nacidos",47786,0.35
109,"San Pedro Sacatepéquez",14527,"Con 0 hijos nacidos",5424,0.37
110,"San Juan Sacatepéquez",60398,"Con 0 hijos nacidos",19493,0.32
111,"San Raymundo",9010,"Con 0 hijos nacidos",3403,0.38
112,"Chuarrancho",3142,"Con 0 hijos nacidos",995,0.32
113,"Fraijanes",16324,"Con 0 hijos nacidos",5009,0.31
114,"Amatitlán",33678,"Con 0 hijos nacidos",9878,0.29
115,"Villa Nueva",127756,"Con 0 hijos nacidos",39537,0.31
116,"Villa Canales",44559,"Con 0 hijos nacidos",13457,0.3
117,"San Miguel Petapa",40599,"Con 0 hijos nacidos",13169,0.32
201,"Guastatoya",6931,"Con 0 hijos nacidos",2262,0.33
202,"Morazán",3180,"Con 0 hijos nacidos",932,0.29
203,"San Agustín Acasaguastlán",11692,"Con 0 hijos nacidos",3219,0.28
204,"San Cristóbal Acasaguastlán",1955,"Con 0 hijos nacidos",573,0.29
205,"El Jícaro",3577,"Con 0 hijos nacidos",1026,0.29
206,"Sansare",3473,"Con 0 hijos nacidos",1188,0.34
207,"Sanarate",10818,"Con 0 hijos nacidos",2918,0.27
208,"San Antonio la Paz",5562,"Con 0 hijos nacidos",1446,0.26
301,"Antigua Guatemala",12916,"Con 0 hijos nacidos",4452,0.34
302,"Jocotenango",6227,"Con 0 hijos nacidos",2148,0.34
303,"Pastores",4986,"Con 0 hijos nacidos",1550,0.31
304,"Sumpango",10410,"Con 0 hijos nacidos",2811,0.27
305,"Santo Domingo Xenacoj",3564,"Con 0 hijos nacidos",900,0.25
306,"Santiago Sacatepéquez",8470,"Con 0 hijos nacidos",1636,0.19
307,"San Bartolomé Milpas Altas",2316,"Con 0 hijos nacidos",977,0.42
308,"San Lucas Sacatepéquez",6865,"Con 0 hijos nacidos",2261,0.33
309,"Santa Lucía Milpas Altas",4666,"Con 0 hijos nacidos",1252,0.27
310,"Magdalena Milpas Altas",3404,"Con 0 hijos nacidos",713,0.21
311,"Santa María de Jesús",5691,"Con 0 hijos nacidos",2006,0.35
312,"Ciudad Vieja",9597,"Con 0 hijos nacidos",2683,0.28
313,"San Miguel Dueñas",3701,"Con 0 hijos nacidos",790,0.21
314,"San Juan Alotenango",6638,"Con 0 hijos nacidos",1821,0.27
315,"San Antonio Aguas Calientes",3174,"Con 0 hijos nacidos",1071,0.34
316,"Santa Catarina Barahona",1165,"Con 0 hijos nacidos",368,0.32
401,"Chimaltenango",28134,"Con 0 hijos nacidos",10014,0.36
402,"San José Poaquil",7775,"Con 0 hijos nacidos",3168,0.41
403,"San Martín Jilotepeque",20494,"Con 0 hijos nacidos",8533,0.42
404,"San Juan Comalapa",13383,"Con 0 hijos nacidos",5941,0.44
405,"Santa Apolonia",5015,"Con 0 hijos nacidos",1989,0.4
406,"Tecpán Guatemala",24496,"Con 0 hijos nacidos",9502,0.39
407,"Patzún",16041,"Con 0 hijos nacidos",6267,0.39
408,"San Miguel Pochuta",2263,"Con 0 hijos nacidos",806,0.36
409,"Patzicía",9111,"Con 0 hijos nacidos",3097,0.34
410,"Santa Cruz Balanyá",2546,"Con 0 hijos nacidos",1032,0.41
411,"Acatenango",6322,"Con 0 hijos nacidos",2110,0.33
412,"San Pedro Yepocapa",8808,"Con 0 hijos nacidos",2806,0.32
413,"San Andrés Itzapa",8851,"Con 0 hijos nacidos",2816,0.32
414,"Parramos",4545,"Con 0 hijos nacidos",1009,0.22
415,"Zaragoza",6732,"Con 0 hijos nacidos",2396,0.36
416,"El Tejar",5724,"Con 0 hijos nacidos",1722,0.3
501,"Escuintla",42696,"Con 0 hijos nacidos",11183,0.26
502,"Santa Lucía Cotzumalguapa",30471,"Con 0 hijos nacidos",8771,0.29
503,"La Democracia",6084,"Con 0 hijos nacidos",1673,0.27
504,"Siquinalá",6132,"Con 0 hijos nacidos",1537,0.25
505,"Masagua",12045,"Con 0 hijos nacidos",2657,0.22
506,"Tiquisate",15282,"Con 0 hijos nacidos",3707,0.24
507,"La Gomera",12555,"Con 0 hijos nacidos",3248,0.26
508,"Guanagazapa",3982,"Con 0 hijos nacidos",1087,0.27
509,"San José",17344,"Con 0 hijos nacidos",4537,0.26
510,"Iztapa",5076,"Con 0 hijos nacidos",1377,0.27
511,"Palín",18821,"Con 0 hijos nacidos",4657,0.25
512,"San Vicente Pacaya",4514,"Con 0 hijos nacidos",1344,0.3
513,"Nueva Concepción",19822,"Con 0 hijos nacidos",6200,0.31
514,"Sipacate",4426,"Con 0 hijos nacidos",1139,0.26
601,"Cuilapa",11113,"Con 0 hijos nacidos",3310,0.3
602,"Barberena",15892,"Con 0 hijos nacidos",4698,0.3
