"Código","Municipio","Promedio de personas por hogar","Promedio de personas por dormitorio"
101,"Guatemala",3.75,1.65
102,"Santa Catarina Pinula",4.01,1.74
103,"San José Pinula",4.06,1.89
104,"San José del Golfo",3.78,1.86
105,"Palencia",4.07,2.21
106,"Chinautla",4.09,2.07
107,"San Pedro Ayampuc",4.15,2.21
108,"Mixco",3.92,1.67
109,"San Pedro Sacatepéquez",4.65,2.45
110,"San Juan Sacatepéquez",4.8,2.28
111,"San Raymundo",4.47,2.21
112,"Chuarrancho",4.81,2.49
113,"Fraijanes",3.91,1.68
114,"Amatitlán",4.03,2
115,"Villa Nueva",3.97,1.78
116,"Villa Canales",4.11,2.1
117,"San Miguel Petapa",3.92,1.67
201,"Guastatoya",3.75,1.82
202,"Morazán",3.77,2
203,"San Agustín Acasaguastlán",4.32,2.52
204,"San Cristóbal Acasaguastlán",3.81,2.03
205,"El Jícaro",3.8,2.11
206,"Sansare",4.07,1.9
207,"Sanarate",3.96,1.93
208,"San Antonio la Paz",3.97,2.12
301,"Antigua Guatemala",4.06,1.7
302,"Jocotenango",4.06,1.6
303,"Pastores",4.11,2.07
304,"Sumpango",4.53,2.06
305,"Santo Domingo Xenacoj",4.46,2.1
306,"Santiago Sacatepéquez",4.44,1.88
307,"San Bartolomé Milpas Altas",4.07,1.87
308,"San Lucas Sacatepéquez",3.87,1.63
309,"Santa Lucía Milpas Altas",4.01,1.87
310,"Magdalena Milpas Altas",4.57,2.06
311,"Santa María de Jesús",5.08,2.24
312,"Ciudad Vieja",4.16,1.98
313,"San Miguel Dueñas",4.2,1.91
314,"San Juan Alotenango",4.35,2.39
315,"San Antonio Aguas Calientes",4.23,1.9
316,"Santa Catarina Barahona",4.11,1.94
401,"Chimaltenango",4.58,1.96
402,"San José Poaquil",5.13,2.56
403,"San Martín Jilotepeque",4.97,2.38
404,"San Juan Comalapa",4.86,2.27
405,"Santa Apolonia",5.54,2.87
406,"Tecpán Guatemala",5.53,2.7
407,"Patzún",4.75,2.38
408,"San Miguel Pochuta",4.61,2.72
409,"Patzicía",4.53,2.33
410,"Santa Cruz Balanyá",4.69,2.3
411,"Acatenango",4.66,2.47
412,"San Pedro Yepocapa",4.84,2.76
413,"San Andrés Itzapa",4.79,2.16
414,"Parramos",4.48,2.13
415,"Zaragoza",4.28,2.14
416,"El Tejar",4.39,2.02
501,"Escuintla",3.83,2.19
502,"Santa Lucía Cotzumalguapa",4.2,2.51
503,"La Democracia",3.87,2.53
504,"Siquinalá",4.17,2.62
505,"Masagua",3.88,2.54
506,"Tiquisate",3.91,2.28
507,"La Gomera",3.95,2.39
