"Código","Municipio","Total de personas","Lugar de Nacimiento","Personas","Porcentaje de la Poblacion"
101,"Guatemala",923392,"En el mismo municipio",704166,76.26
102,"Santa Catarina Pinula",80582,"En el mismo municipio",48096,59.69
103,"San José Pinula",79844,"En el mismo municipio",47058,58.94
104,"San José del Golfo",7229,"En el mismo municipio",5301,73.33
105,"Palencia",70973,"En el mismo municipio",57425,80.91
106,"Chinautla",114752,"En el mismo municipio",64757,56.43
107,"San Pedro Ayampuc",58609,"En el mismo municipio",38865,66.31
108,"Mixco",465773,"En el mismo municipio",226383,48.6
109,"San Pedro Sacatepéquez",51292,"En el mismo municipio",35604,69.41
110,"San Juan Sacatepéquez",218156,"En el mismo municipio",163185,74.8
111,"San Raymundo",31605,"En el mismo municipio",25862,81.83
112,"Chuarrancho",12638,"En el mismo municipio",10814,85.57
113,"Fraijanes",58922,"En el mismo municipio",31084,52.75
114,"Amatitlán",116711,"En el mismo municipio",82105,70.35
115,"Villa Nueva",433734,"En el mismo municipio",224532,51.77
116,"Villa Canales",155422,"En el mismo municipio",114826,73.88
117,"San Miguel Petapa",135447,"En el mismo municipio",57291,42.3
201,"Guastatoya",24821,"En el mismo municipio",18288,73.68
202,"Morazán",12164,"En el mismo municipio",11147,91.64
203,"San Agustín Acasaguastlán",45765,"En el mismo municipio",38514,84.16
204,"San Cristóbal Acasaguastlán",7199,"En el mismo municipio",5712,79.34
205,"El Jícaro",13128,"En el mismo municipio",10933,83.28
206,"Sansare",13154,"En el mismo municipio",11597,88.16
207,"Sanarate",39444,"En el mismo municipio",32102,81.39
208,"San Antonio la Paz",20957,"En el mismo municipio",15745,75.13
301,"Antigua Guatemala",46054,"En el mismo municipio",37035,80.42
302,"Jocotenango",21657,"En el mismo municipio",6315,29.16
303,"Pastores",17814,"En el mismo municipio",13535,75.98
304,"Sumpango",37260,"En el mismo municipio",30998,83.19
305,"Santo Domingo Xenacoj",12402,"En el mismo municipio",8730,70.39
306,"Santiago Sacatepéquez",29238,"En el mismo municipio",21114,72.21
307,"San Bartolomé Milpas Altas",7816,"En el mismo municipio",2989,38.24
308,"San Lucas Sacatepéquez",23369,"En el mismo municipio",8148,34.87
309,"Santa Lucía Milpas Altas",15570,"En el mismo municipio",5227,33.57
310,"Magdalena Milpas Altas",11856,"En el mismo municipio",10654,89.86
311,"Santa María de Jesús",21938,"En el mismo municipio",14490,66.05
312,"Ciudad Vieja",33405,"En el mismo municipio",22051,66.01
313,"San Miguel Dueñas",12696,"En el mismo municipio",8038,63.31
314,"San Juan Alotenango",23986,"En el mismo municipio",19308,80.5
315,"San Antonio Aguas Calientes",11347,"En el mismo municipio",8469,74.64
316,"Santa Catarina Barahona",4061,"En el mismo municipio",2879,70.89
401,"Chimaltenango",96985,"En el mismo municipio",70138,72.32
402,"San José Poaquil",26845,"En el mismo municipio",25361,94.47
403,"San Martín Jilotepeque",73469,"En el mismo municipio",69756,94.95
404,"San Juan Comalapa",48597,"En el mismo municipio",45952,94.56
405,"Santa Apolonia",18540,"En el mismo municipio",16882,91.06
406,"Tecpán Guatemala",91927,"En el mismo municipio",85179,92.66
407,"Patzún",58240,"En el mismo municipio",54682,93.89
408,"San Miguel Pochuta",8790,"En el mismo municipio",6934,78.89
409,"Patzicía",33207,"En el mismo municipio",29281,88.18
410,"Santa Cruz Balanyá",9479,"En el mismo municipio",8075,85.19
411,"Acatenango",23228,"En el mismo municipio",21027,90.52
412,"San Pedro Yepocapa",34948,"En el mismo municipio",29915,85.6
413,"San Andrés Itzapa",32083,"En el mismo municipio",25578,79.72
414,"Parramos",15924,"En el mismo municipio",10802,67.83
415,"Zaragoza",24022,"En el mismo municipio",19107,79.54
416,"El Tejar",19492,"En el mismo municipio",6345,32.55
501,"Escuintla",156313,"En el mismo municipio",125933,80.56
502,"Santa Lucía Cotzumalguapa",112780,"En el mismo municipio",94943,84.18
503,"La Democracia",23017,"En el mismo municipio",16724,72.66
504,"Siquinalá",22968,"En el mismo municipio",14278,62.16
505,"Masagua",45323,"En el mismo municipio",32517,71.75
506,"Tiquisate",57292,"En el mismo municipio",44758,78.12
507,"La Gomera",46666,"En el mismo municipio",37439,80.23
508,"Guanagazapa",15958,"En el mismo municipio",11000,68.93
509,"San José",62801,"En el mismo municipio",49192,78.33
510,"Iztapa",18342,"En el mismo municipio",13884,75.7
511,"Palín",65873,"En el mismo municipio",25425,38.6
512,"San Vicente Pacaya",16705,"En el mismo municipio",13572,81.25
513,"Nueva Concepción",72909,"En el mismo municipio",59037,80.97
514,"Sipacate",16234,"En el mismo municipio",11030,67.94
601,"Cuilapa",41359,"En el mismo municipio",33716,81.52
602,"Barberena",58276,"En el mismo municipio",43190,74.11
603,"Santa Rosa de Lima",19702,"En el mismo municipio",15309,77.7
604,"Casillas",24956,"En el mismo municipio",22401,89.76
605,"San Rafael las Flores",12641,"En el mismo municipio",9400,74.36
606,"Oratorio",24954,"En el mismo municipio",18326,73.44
607,"San Juan Tecuaco",10122,"En el mismo municipio",8873,87.66
608,"Chiquimulilla",53727,"En el mismo municipio",43464,80.9
609,"Taxisco",29846,"En el mismo municipio",24327,81.51
610,"Santa María Ixhuatán",23801,"En el mismo municipio",21432,90.05
611,"Guazacapán",18855,"En el mismo municipio",16070,85.23
612,"Santa Cruz Naranjo",16385,"En el mismo municipio",13071,79.77
613,"Pueblo Nuevo Viñas",25529,"En el mismo municipio",21222,83.13
614,"Nueva Santa Rosa",36454,"En el mismo municipio",31404,86.15
701,"Sololá",88612,"En el mismo municipio",84536,95.4
702,"San José Chacayá",4068,"En el mismo municipio",3293,80.95
703,"Santa María Visitación",2370,"En el mismo municipio",1798,75.86
704,"Santa Lucía Utatlán",21284,"En el mismo municipio",19615,92.16
705,"Nahualá",75430,"En el mismo municipio",73642,97.63
706,"Santa Catarina Ixtahuacán",56981,"En el mismo municipio",54117,94.97
707,"Santa Clara la Laguna",9405,"En el mismo municipio",8546,90.87
708,"Concepción",6601,"En el mismo municipio",6191,93.79
709,"San Andrés Semetabaj",13142,"En el mismo municipio",11294,85.94
710,"Panajachel",15077,"En el mismo municipio",10937,72.54
711,"Santa Catarina Palopó",3924,"En el mismo municipio",3678,93.73
712,"San Antonio Palopó",14437,"En el mismo municipio",13242,91.72
713,"San Lucas Tolimán",29772,"En el mismo municipio",26362,88.55
714,"Santa Cruz la Laguna",5820,"En el mismo municipio",5711,98.13
715,"San Pablo la Laguna",7299,"En el mismo municipio",7095,97.21
716,"San Marcos la Laguna",2617,"En el mismo municipio",2433,92.97
717,"San Juan la Laguna",12162,"En el mismo municipio",10695,87.94
718,"San Pedro la Laguna",10705,"En el mismo municipio",9592,89.6
719,"Santiago Atitlán",41877,"En el mismo municipio",40165,95.91
801,"Totonicapán",103952,"En el mismo municipio",99314,95.54
802,"San Cristóbal Totonicapán",36119,"En el mismo municipio",31370,86.85
803,"San Francisco el Alto",57894,"En el mismo municipio",52498,90.68
804,"San Andrés Xecul",26984,"En el mismo municipio",25547,94.67
805,"Momostenango",105617,"En el mismo municipio",100347,95.01
806,"Santa María Chiquimula",55013,"En el mismo municipio",52393,95.24
807,"Santa Lucía la Reforma",22378,"En el mismo municipio",21585,96.46
808,"San Bartolo Aguas Calientes",10612,"En el mismo municipio",9457,89.12
901,"Quetzaltenango",180706,"En el mismo municipio",134473,74.42
902,"Salcajá",19434,"En el mismo municipio",15594,80.24
903,"San Juan Olintepeque",35060,"En el mismo municipio",24806,70.75
