"Código","Municipio","Total de viviendas particulares","Material Predominante de la Pared","Cantidad de Viviendas","Porcentaje de Viviendas Particulares"
101,"Guatemala",283756,"Ladrillo",28907,10.19
101,"Guatemala",283756,"Block",184896,65.16
101,"Guatemala",283756,"Concreto",35790,12.61
101,"Guatemala",283756,"Adobe",8959,3.16
101,"Guatemala",283756,"Madera",3132,1.1
101,"Guatemala",283756,"Lamina metálica",13290,4.68
101,"Guatemala",283756,"Bajareque",47,0.02
101,"Guatemala",283756,"Lepa, palo o caña",85,0.03
101,"Guatemala",283756,"Material de desecho",16,0.01
101,"Guatemala",283756,"Otro",275,0.1
101,"Guatemala",283756,"No especificado",8359,2.95
102,"Santa Catarina Pinula",24991,"Ladrillo",1471,5.89
102,"Santa Catarina Pinula",24991,"Block",18265,73.09
102,"Santa Catarina Pinula",24991,"Concreto",1669,6.68
102,"Santa Catarina Pinula",24991,"Adobe",277,1.11
102,"Santa Catarina Pinula",24991,"Madera",582,2.33
102,"Santa Catarina Pinula",24991,"Lamina metálica",1811,7.25
102,"Santa Catarina Pinula",24991,"Bajareque",5,0.02
102,"Santa Catarina Pinula",24991,"Lepa, palo o caña",71,0.28
102,"Santa Catarina Pinula",24991,"Material de desecho",3,0.01
102,"Santa Catarina Pinula",24991,"Otro",35,0.14
102,"Santa Catarina Pinula",24991,"No especificado",802,3.21
103,"San José Pinula",23675,"Ladrillo",550,2.32
103,"San José Pinula",23675,"Block",14664,61.94
103,"San José Pinula",23675,"Concreto",4110,17.36
103,"San José Pinula",23675,"Adobe",391,1.65
103,"San José Pinula",23675,"Madera",1826,7.71
103,"San José Pinula",23675,"Lamina metálica",814,3.44
103,"San José Pinula",23675,"Bajareque",6,0.03
103,"San José Pinula",23675,"Lepa, palo o caña",301,1.27
103,"San José Pinula",23675,"Material de desecho",5,0.02
103,"San José Pinula",23675,"Otro",21,0.09
103,"San José Pinula",23675,"No especificado",987,4.17
104,"San José del Golfo",2411,"Ladrillo",14,0.58
104,"San José del Golfo",2411,"Block",2089,86.64
104,"San José del Golfo",2411,"Concreto",37,1.53
104,"San José del Golfo",2411,"Adobe",147,6.1
104,"San José del Golfo",2411,"Madera",12,0.5
104,"San José del Golfo",2411,"Lamina metálica",102,4.23
104,"San José del Golfo",2411,"Bajareque",1,0.04
104,"San José del Golfo",2411,"Lepa, palo o caña",0,0
104,"San José del Golfo",2411,"Material de desecho",2,0.08
104,"San José del Golfo",2411,"Otro",3,0.12
104,"San José del Golfo",2411,"No especificado",4,0.17
105,"Palencia",20105,"Ladrillo",193,0.96
105,"Palencia",20105,"Block",14905,74.14
105,"Palencia",20105,"Concreto",338,1.68
105,"Palencia",20105,"Adobe",1481,7.37
105,"Palencia",20105,"Madera",1991,9.9
105,"Palencia",20105,"Lamina metálica",1084,5.39
105,"Palencia",20105,"Bajareque",10,0.05
105,"Palencia",20105,"Lepa, palo o caña",65,0.32
105,"Palencia",20105,"Material de desecho",6,0.03
105,"Palencia",20105,"Otro",21,0.1
105,"Palencia",20105,"No especificado",11,0.05
106,"Chinautla",31001,"Ladrillo",841,2.71
106,"Chinautla",31001,"Block",24565,79.24
106,"Chinautla",31001,"Concreto",1273,4.11
106,"Chinautla",31001,"Adobe",428,1.38
