"Código","Municipio","Total de viviendas particulares","Material Predominante del Piso","Cantidad de Viviendas","Porcentaje de Viviendas Particulares"
101,"Guatemala",283756,"Ladrillo cerámico",99345,35.01
101,"Guatemala",283756,"Ladrillo de cemento",66768,23.53
101,"Guatemala",283756,"Ladrillo de barro",1174,0.41
101,"Guatemala",283756,"Torta de cemento",54666,19.27
101,"Guatemala",283756,"Parqué o vinil",2364,0.83
101,"Guatemala",283756,"Madera",963,0.34
101,"Guatemala",283756,"Tierra",6129,2.16
101,"Guatemala",283756,"Otro",1950,0.69
102,"Santa Catarina Pinula",24991,"Ladrillo cerámico",9283,37.15
102,"Santa Catarina Pinula",24991,"Ladrillo de cemento",2137,8.55
102,"Santa Catarina Pinula",24991,"Ladrillo de barro",95,0.38
102,"Santa Catarina Pinula",24991,"Torta de cemento",6530,26.13
102,"Santa Catarina Pinula",24991,"Parqué o vinil",154,0.62
102,"Santa Catarina Pinula",24991,"Madera",413,1.65
102,"Santa Catarina Pinula",24991,"Tierra",922,3.69
102,"Santa Catarina Pinula",24991,"Otro",87,0.35
103,"San José Pinula",23675,"Ladrillo cerámico",9257,39.1
103,"San José Pinula",23675,"Ladrillo de cemento",1477,6.24
103,"San José Pinula",23675,"Ladrillo de barro",52,0.22
103,"San José Pinula",23675,"Torta de cemento",6098,25.76
103,"San José Pinula",23675,"Parqué o vinil",40,0.17
103,"San José Pinula",23675,"Madera",77,0.33
103,"San José Pinula",23675,"Tierra",1596,6.74
103,"San José Pinula",23675,"Otro",33,0.14
104,"San José del Golfo",2411,"Ladrillo cerámico",571,23.68
104,"San José del Golfo",2411,"Ladrillo de cemento",85,3.53
104,"San José del Golfo",2411,"Ladrillo de barro",7,0.29
104,"San José del Golfo",2411,"Torta de cemento",1096,45.46
104,"San José del Golfo",2411,"Parqué o vinil",2,0.08
104,"San José del Golfo",2411,"Madera",3,0.12
104,"San José del Golfo",2411,"Tierra",81,3.36
104,"San José del Golfo",2411,"Otro",0,0
105,"Palencia",20105,"Ladrillo cerámico",3940,19.6
105,"Palencia",20105,"Ladrillo de cemento",1475,7.34
105,"Palencia",20105,"Ladrillo de barro",44,0.22
105,"Palencia",20105,"Torta de cemento",7839,38.99
105,"Palencia",20105,"Parqué o vinil",15,0.07
105,"Palencia",20105,"Madera",201,1
105,"Palencia",20105,"Tierra",3136,15.6
105,"Palencia",20105,"Otro",49,0.24
106,"Chinautla",31001,"Ladrillo cerámico",8356,26.95
106,"Chinautla",31001,"Ladrillo de cemento",3421,11.04
106,"Chinautla",31001,"Ladrillo de barro",68,0.22
106,"Chinautla",31001,"Torta de cemento",12736,41.08
106,"Chinautla",31001,"Parqué o vinil",63,0.2
106,"Chinautla",31001,"Madera",36,0.12
106,"Chinautla",31001,"Tierra",1980,6.39
106,"Chinautla",31001,"Otro",85,0.27
107,"San Pedro Ayampuc",17139,"Ladrillo cerámico",2393,13.96
107,"San Pedro Ayampuc",17139,"Ladrillo de cemento",954,5.57
107,"San Pedro Ayampuc",17139,"Ladrillo de barro",33,0.19
107,"San Pedro Ayampuc",17139,"Torta de cemento",7385,43.09
107,"San Pedro Ayampuc",17139,"Parqué o vinil",33,0.19
107,"San Pedro Ayampuc",17139,"Madera",30,0.18
107,"San Pedro Ayampuc",17139,"Tierra",2669,15.57
107,"San Pedro Ayampuc",17139,"Otro",45,0.26
108,"Mixco",130487,"Ladrillo cerámico",53078,40.68
108,"Mixco",130487,"Ladrillo de cemento",30237,23.17
108,"Mixco",130487,"Ladrillo de barro",459,0.35
108,"Mixco",130487,"Torta de cemento",26254,20.12
108,"Mixco",130487,"Parqué o vinil",156,0.12
108,"Mixco",130487,"Madera",179,0.14
108,"Mixco",130487,"Tierra",2755,2.11
108,"Mixco",130487,"Otro",740,0.57
109,"San Pedro Sacatepéquez",11747,"Ladrillo cerámico",1944,16.55
109,"San Pedro Sacatepéquez",11747,"Ladrillo de cemento",1056,8.99
109,"San Pedro Sacatepéquez",11747,"Ladrillo de barro",18,0.15
109,"San Pedro Sacatepéquez",11747,"Torta de cemento",4667,39.73
109,"San Pedro Sacatepéquez",11747,"Parqué o vinil",20,0.17
109,"San Pedro Sacatepéquez",11747,"Madera",63,0.54
109,"San Pedro Sacatepéquez",11747,"Tierra",2214,18.85
109,"San Pedro Sacatepéquez",11747,"Otro",0,0
110,"San Juan Sacatepéquez",56517,"Ladrillo cerámico",9978,17.65
110,"San Juan Sacatepéquez",56517,"Ladrillo de cemento",4712,8.34
110,"San Juan Sacatepéquez",56517,"Ladrillo de barro",165,0.29
110,"San Juan Sacatepéquez",56517,"Torta de cemento",18086,32
110,"San Juan Sacatepéquez",56517,"Parqué o vinil",76,0.13
110,"San Juan Sacatepéquez",56517,"Madera",256,0.45
110,"San Juan Sacatepéquez",56517,"Tierra",11000,19.46
110,"San Juan Sacatepéquez",56517,"Otro",205,0.36
111,"San Raymundo",9362,"Ladrillo cerámico",1381,14.75
111,"San Raymundo",9362,"Ladrillo de cemento",1021,10.91
111,"San Raymundo",9362,"Ladrillo de barro",27,0.29
111,"San Raymundo",9362,"Torta de cemento",3088,32.98
111,"San Raymundo",9362,"Parqué o vinil",61,0.65
111,"San Raymundo",9362,"Madera",37,0.4
111,"San Raymundo",9362,"Tierra",1300,13.89
111,"San Raymundo",9362,"Otro",35,0.37
112,"Chuarrancho",3757,"Ladrillo cerámico",418,11.13
112,"Chuarrancho",3757,"Ladrillo de cemento",233,6.2
112,"Chuarrancho",3757,"Ladrillo de barro",54,1.44
112,"Chuarrancho",3757,"Torta de cemento",1110,29.54
112,"Chuarrancho",3757,"Parqué o vinil",7,0.19
112,"Chuarrancho",3757,"Madera",23,0.61
112,"Chuarrancho",3757,"Tierra",738,19.64
112,"Chuarrancho",3757,"Otro",16,0.43
113,"Fraijanes",16769,"Ladrillo cerámico",7253,43.25
113,"Fraijanes",16769,"Ladrillo de cemento",939,5.6
113,"Fraijanes",16769,"Ladrillo de barro",62,0.37
113,"Fraijanes",16769,"Torta de cemento",3940,23.5
113,"Fraijanes",16769,"Parqué o vinil",53,0.32
113,"Fraijanes",16769,"Madera",212,1.26
113,"Fraijanes",16769,"Tierra",1009,6.02
113,"Fraijanes",16769,"Otro",61,0.36
114,"Amatitlán",33904,"Ladrillo cerámico",10496,30.96
114,"Amatitlán",33904,"Ladrillo de cemento",3989,11.77
114,"Amatitlán",33904,"Ladrillo de barro",124,0.37
114,"Amatitlán",33904,"Torta de cemento",9873,29.12
114,"Amatitlán",33904,"Parqué o vinil",50,0.15
114,"Amatitlán",33904,"Madera",40,0.12
114,"Amatitlán",33904,"Tierra",2943,8.68
114,"Amatitlán",33904,"Otro",82,0.24
115,"Villa Nueva",125493,"Ladrillo cerámico",47740,38.04
115,"Villa Nueva",125493,"Ladrillo de cemento",14758,11.76
115,"Villa Nueva",125493,"Ladrillo de barro",281,0.22
115,"Villa Nueva",125493,"Torta de cemento",34640,27.6
115,"Villa Nueva",125493,"Parqué o vinil",176,0.14
115,"Villa Nueva",125493,"Madera",157,0.13
115,"Villa Nueva",125493,"Tierra",4951,3.95
115,"Villa Nueva",125493,"Otro",1185,0.94
116,"Villa Canales",43706,"Ladrillo cerámico",10522,24.07
116,"Villa Canales",43706,"Ladrillo de cemento",3903,8.93
116,"Villa Canales",43706,"Ladrillo de barro",114,0.26
116,"Villa Canales",43706,"Torta de cemento",16658,38.11
116,"Villa Canales",43706,"Parqué o vinil",85,0.19
116,"Villa Canales",43706,"Madera",602,1.38
116,"Villa Canales",43706,"Tierra",4525,10.35
116,"Villa Canales",43706,"Otro",87,0.2
117,"San Miguel Petapa",38884,"Ladrillo cerámico",19370,49.81
117,"San Miguel Petapa",38884,"Ladrillo de cemento",5264,13.54
117,"San Miguel Petapa",38884,"Ladrillo de barro",104,0.27
117,"San Miguel Petapa",38884,"Torta de cemento",6888,17.71
117,"San Miguel Petapa",38884,"Parqué o vinil",46,0.12
117,"San Miguel Petapa",38884,"Madera",26,0.07
117,"San Miguel Petapa",38884,"Tierra",1057,2.72
117,"San Miguel Petapa",38884,"Otro",324,0.83
201,"Guastatoya",8186,"Ladrillo cerámico",2684,32.79
201,"Guastatoya",8186,"Ladrillo de cemento",1035,12.64
201,"Guastatoya",8186,"Ladrillo de barro",29,0.35
201,"Guastatoya",8186,"Torta de cemento",2338,28.56
201,"Guastatoya",8186,"Parqué o vinil",41,0.5
201,"Guastatoya",8186,"Madera",6,0.07
201,"Guastatoya",8186,"Tierra",359,4.39
201,"Guastatoya",8186,"Otro",65,0.79
202,"Morazán",4531,"Ladrillo cerámico",775,17.1
202,"Morazán",4531,"Ladrillo de cemento",304,6.71
202,"Morazán",4531,"Ladrillo de barro",21,0.46
202,"Morazán",4531,"Torta de cemento",1610,35.53
202,"Morazán",4531,"Parqué o vinil",8,0.18
202,"Morazán",4531,"Madera",34,0.75
202,"Morazán",4531,"Tierra",430,9.49
202,"Morazán",4531,"Otro",14,0.31
203,"San Agustín Acasaguastlán",12670,"Ladrillo cerámico",1361,10.74
203,"San Agustín Acasaguastlán",12670,"Ladrillo de cemento",424,3.35
203,"San Agustín Acasaguastlán",12670,"Ladrillo de barro",48,0.38
203,"San Agustín Acasaguastlán",12670,"Torta de cemento",5214,41.15
203,"San Agustín Acasaguastlán",12670,"Parqué o vinil",12,0.09
203,"San Agustín Acasaguastlán",12670,"Madera",199,1.57
203,"San Agustín Acasaguastlán",12670,"Tierra",3209,25.33
203,"San Agustín Acasaguastlán",12670,"Otro",15,0.12
204,"San Cristóbal Acasaguastlán",2659,"Ladrillo cerámico",365,13.73
204,"San Cristóbal Acasaguastlán",2659,"Ladrillo de cemento",109,4.1
204,"San Cristóbal Acasaguastlán",2659,"Ladrillo de barro",5,0.19
204,"San Cristóbal Acasaguastlán",2659,"Torta de cemento",1242,46.71
204,"San Cristóbal Acasaguastlán",2659,"Parqué o vinil",5,0.19
204,"San Cristóbal Acasaguastlán",2659,"Madera",10,0.38
204,"San Cristóbal Acasaguastlán",2659,"Tierra",143,5.38
204,"San Cristóbal Acasaguastlán",2659,"Otro",10,0.38
205,"El Jícaro",4217,"Ladrillo cerámico",422,10.01
205,"El Jícaro",4217,"Ladrillo de cemento",227,5.38
205,"El Jícaro",4217,"Ladrillo de barro",5,0.12
205,"El Jícaro",4217,"Torta de cemento",2143,50.82
205,"El Jícaro",4217,"Parqué o vinil",8,0.19
205,"El Jícaro",4217,"Madera",11,0.26
205,"El Jícaro",4217,"Tierra",624,14.8
205,"El Jícaro",4217,"Otro",2,0.05
206,"Sansare",4107,"Ladrillo cerámico",702,17.09
206,"Sansare",4107,"Ladrillo de cemento",721,17.56
206,"Sansare",4107,"Ladrillo de barro",41,1
206,"Sansare",4107,"Torta de cemento",1290,31.41
206,"Sansare",4107,"Parqué o vinil",2,0.05
206,"Sansare",4107,"Madera",8,0.19
206,"Sansare",4107,"Tierra",460,11.2
206,"Sansare",4107,"Otro",0,0
207,"Sanarate",11498,"Ladrillo cerámico",2728,23.73
207,"Sanarate",11498,"Ladrillo de cemento",1974,17.17
207,"Sanarate",11498,"Ladrillo de barro",81,0.7
207,"Sanarate",11498,"Torta de cemento",3786,32.93
207,"Sanarate",11498,"Parqué o vinil",30,0.26
207,"Sanarate",11498,"Madera",7,0.06
207,"Sanarate",11498,"Tierra",949,8.25
207,"Sanarate",11498,"Otro",28,0.24
208,"San Antonio la Paz",6241,"Ladrillo cerámico",922,14.77
208,"San Antonio la Paz",6241,"Ladrillo de cemento",316,5.06
208,"San Antonio la Paz",6241,"Ladrillo de barro",11,0.18
208,"San Antonio la Paz",6241,"Torta de cemento",3131,50.17
208,"San Antonio la Paz",6241,"Parqué o vinil",15,0.24
208,"San Antonio la Paz",6241,"Madera",9,0.14
208,"San Antonio la Paz",6241,"Tierra",738,11.83
208,"San Antonio la Paz",6241,"Otro",17,0.27
301,"Antigua Guatemala",14687,"Ladrillo cerámico",3265,22.23
301,"Antigua Guatemala",14687,"Ladrillo de cemento",1647,11.21
301,"Antigua Guatemala",14687,"Ladrillo de barro",206,1.4
301,"Antigua Guatemala",14687,"Torta de cemento",3890,26.49
301,"Antigua Guatemala",14687,"Parqué o vinil",14,0.1
301,"Antigua Guatemala",14687,"Madera",42,0.29
301,"Antigua Guatemala",14687,"Tierra",937,6.38
301,"Antigua Guatemala",14687,"Otro",53,0.36
302,"Jocotenango",5706,"Ladrillo cerámico",2316,40.59
302,"Jocotenango",5706,"Ladrillo de cemento",833,14.6
302,"Jocotenango",5706,"Ladrillo de barro",26,0.46
302,"Jocotenango",5706,"Torta de cemento",1332,23.34
302,"Jocotenango",5706,"Parqué o vinil",10,0.18
302,"Jocotenango",5706,"Madera",6,0.11
302,"Jocotenango",5706,"Tierra",255,4.47
302,"Jocotenango",5706,"Otro",19,0.33
