"Código","Municipio","Total de viviendas particulares","Material Predominante del Techo","Cantidad de Viviendas","Porcentaje de Viviendas Particulares"
101,"Guatemala",283756,"Concreto",170603,60.12
101,"Guatemala",283756,"Lámina metálica",98110,34.58
101,"Guatemala",283756,"Asbesto cemento",4157,1.46
101,"Guatemala",283756,"Teja",1500,0.53
101,"Guatemala",283756,"Paja, palma o similar",16,0.01
101,"Guatemala",283756,"Material de desecho",42,0.01
101,"Guatemala",283756,"Otro",969,0.34
101,"Guatemala",283756,"No especificado",8359,2.95
102,"Santa Catarina Pinula",24991,"Concreto",12521,50.1
102,"Santa Catarina Pinula",24991,"Lámina metálica",10987,43.96
102,"Santa Catarina Pinula",24991,"Asbesto cemento",194,0.78
102,"Santa Catarina Pinula",24991,"Teja",391,1.56
102,"Santa Catarina Pinula",24991,"Paja, palma o similar",9,0.04
102,"Santa Catarina Pinula",24991,"Material de desecho",6,0.02
102,"Santa Catarina Pinula",24991,"Otro",81,0.32
102,"Santa Catarina Pinula",24991,"No especificado",802,3.21
103,"San José Pinula",23675,"Concreto",11946,50.46
103,"San José Pinula",23675,"Lámina metálica",10500,44.35
103,"San José Pinula",23675,"Asbesto cemento",123,0.52
103,"San José Pinula",23675,"Teja",64,0.27
103,"San José Pinula",23675,"Paja, palma o similar",11,0.05
103,"San José Pinula",23675,"Material de desecho",4,0.02
103,"San José Pinula",23675,"Otro",40,0.17
103,"San José Pinula",23675,"No especificado",987,4.17
104,"San José del Golfo",2411,"Concreto",443,18.37
104,"San José del Golfo",2411,"Lámina metálica",1945,80.67
104,"San José del Golfo",2411,"Asbesto cemento",7,0.29
104,"San José del Golfo",2411,"Teja",8,0.33
104,"San José del Golfo",2411,"Paja, palma o similar",0,0
104,"San José del Golfo",2411,"Material de desecho",0,0
104,"San José del Golfo",2411,"Otro",4,0.17
104,"San José del Golfo",2411,"No especificado",4,0.17
105,"Palencia",20105,"Concreto",4445,22.11
105,"Palencia",20105,"Lámina metálica",15430,76.75
105,"Palencia",20105,"Asbesto cemento",149,0.74
105,"Palencia",20105,"Teja",33,0.16
105,"Palencia",20105,"Paja, palma o similar",6,0.03
105,"Palencia",20105,"Material de desecho",4,0.02
105,"Palencia",20105,"Otro",27,0.13
105,"Palencia",20105,"No especificado",11,0.05
106,"Chinautla",31001,"Concreto",12994,41.91
106,"Chinautla",31001,"Lámina metálica",17189,55.45
106,"Chinautla",31001,"Asbesto cemento",324,1.05
106,"Chinautla",31001,"Teja",39,0.13
106,"Chinautla",31001,"Paja, palma o similar",5,0.02
106,"Chinautla",31001,"Material de desecho",9,0.03
106,"Chinautla",31001,"Otro",83,0.27
106,"Chinautla",31001,"No especificado",358,1.15
107,"San Pedro Ayampuc",17139,"Concreto",3524,20.56
107,"San Pedro Ayampuc",17139,"Lámina metálica",13119,76.54
107,"San Pedro Ayampuc",17139,"Asbesto cemento",190,1.11
107,"San Pedro Ayampuc",17139,"Teja",87,0.51
107,"San Pedro Ayampuc",17139,"Paja, palma o similar",9,0.05
107,"San Pedro Ayampuc",17139,"Material de desecho",5,0.03
107,"San Pedro Ayampuc",17139,"Otro",123,0.72
107,"San Pedro Ayampuc",17139,"No especificado",82,0.48
108,"Mixco",130487,"Concreto",82843,63.49
108,"Mixco",130487,"Lámina metálica",41354,31.69
108,"Mixco",130487,"Asbesto cemento",3464,2.65
108,"Mixco",130487,"Teja",493,0.38
108,"Mixco",130487,"Paja, palma o similar",25,0.02
108,"Mixco",130487,"Material de desecho",16,0.01
108,"Mixco",130487,"Otro",395,0.3
108,"Mixco",130487,"No especificado",1897,1.45
109,"San Pedro Sacatepéquez",11747,"Concreto",3448,29.35
109,"San Pedro Sacatepéquez",11747,"Lámina metálica",8156,69.43
109,"San Pedro Sacatepéquez",11747,"Asbesto cemento",80,0.68
109,"San Pedro Sacatepéquez",11747,"Teja",14,0.12
109,"San Pedro Sacatepéquez",11747,"Paja, palma o similar",6,0.05
109,"San Pedro Sacatepéquez",11747,"Material de desecho",6,0.05
109,"San Pedro Sacatepéquez",11747,"Otro",14,0.12
109,"San Pedro Sacatepéquez",11747,"No especificado",23,0.2
110,"San Juan Sacatepéquez",56517,"Concreto",14172,25.08
110,"San Juan Sacatepéquez",56517,"Lámina metálica",39081,69.15
110,"San Juan Sacatepéquez",56517,"Asbesto cemento",1425,2.52
110,"San Juan Sacatepéquez",56517,"Teja",523,0.93
110,"San Juan Sacatepéquez",56517,"Paja, palma o similar",37,0.07
110,"San Juan Sacatepéquez",56517,"Material de desecho",17,0.03
110,"San Juan Sacatepéquez",56517,"Otro",139,0.25
110,"San Juan Sacatepéquez",56517,"No especificado",1123,1.99
111,"San Raymundo",9362,"Concreto",1991,21.27
111,"San Raymundo",9362,"Lámina metálica",6954,74.28
111,"San Raymundo",9362,"Asbesto cemento",63,0.67
111,"San Raymundo",9362,"Teja",301,3.22
111,"San Raymundo",9362,"Paja, palma o similar",4,0.04
111,"San Raymundo",9362,"Material de desecho",0,0
111,"San Raymundo",9362,"Otro",33,0.35
111,"San Raymundo",9362,"No especificado",16,0.17
112,"Chuarrancho",3757,"Concreto",996,26.51
112,"Chuarrancho",3757,"Lámina metálica",2576,68.57
112,"Chuarrancho",3757,"Asbesto cemento",19,0.51
112,"Chuarrancho",3757,"Teja",147,3.91
112,"Chuarrancho",3757,"Paja, palma o similar",5,0.13
112,"Chuarrancho",3757,"Material de desecho",0,0
112,"Chuarrancho",3757,"Otro",10,0.27
112,"Chuarrancho",3757,"No especificado",4,0.11
113,"Fraijanes",16769,"Concreto",8525,50.84
113,"Fraijanes",16769,"Lámina metálica",7262,43.31
113,"Fraijanes",16769,"Asbesto cemento",107,0.64
113,"Fraijanes",16769,"Teja",412,2.46
113,"Fraijanes",16769,"Paja, palma o similar",7,0.04
113,"Fraijanes",16769,"Material de desecho",1,0.01
113,"Fraijanes",16769,"Otro",31,0.18
113,"Fraijanes",16769,"No especificado",424,2.53
114,"Amatitlán",33904,"Concreto",13061,38.52
114,"Amatitlán",33904,"Lámina metálica",19397,57.21
114,"Amatitlán",33904,"Asbesto cemento",164,0.48
114,"Amatitlán",33904,"Teja",126,0.37
114,"Amatitlán",33904,"Paja, palma o similar",20,0.06
114,"Amatitlán",33904,"Material de desecho",24,0.07
114,"Amatitlán",33904,"Otro",101,0.3
114,"Amatitlán",33904,"No especificado",1011,2.98
115,"Villa Nueva",125493,"Concreto",68689,54.74
115,"Villa Nueva",125493,"Lámina metálica",54051,43.07
115,"Villa Nueva",125493,"Asbesto cemento",930,0.74
115,"Villa Nueva",125493,"Teja",300,0.24
115,"Villa Nueva",125493,"Paja, palma o similar",28,0.02
115,"Villa Nueva",125493,"Material de desecho",10,0.01
115,"Villa Nueva",125493,"Otro",316,0.25
115,"Villa Nueva",125493,"No especificado",1169,0.93
116,"Villa Canales",43706,"Concreto",12463,28.52
116,"Villa Canales",43706,"Lámina metálica",30052,68.76
116,"Villa Canales",43706,"Asbesto cemento",522,1.19
116,"Villa Canales",43706,"Teja",185,0.42
116,"Villa Canales",43706,"Paja, palma o similar",20,0.05
116,"Villa Canales",43706,"Material de desecho",10,0.02
116,"Villa Canales",43706,"Otro",77,0.18
116,"Villa Canales",43706,"No especificado",377,0.86
117,"San Miguel Petapa",38884,"Concreto",28248,72.65
117,"San Miguel Petapa",38884,"Lámina metálica",9919,25.51
117,"San Miguel Petapa",38884,"Asbesto cemento",204,0.52
117,"San Miguel Petapa",38884,"Teja",84,0.22
117,"San Miguel Petapa",38884,"Paja, palma o similar",8,0.02
117,"San Miguel Petapa",38884,"Material de desecho",7,0.02
117,"San Miguel Petapa",38884,"Otro",75,0.19
117,"San Miguel Petapa",38884,"No especificado",339,0.87
201,"Guastatoya",8186,"Concreto",2854,34.86
201,"Guastatoya",8186,"Lámina metálica",5155,62.97
201,"Guastatoya",8186,"Asbesto cemento",29,0.35
201,"Guastatoya",8186,"Teja",70,0.86
201,"Guastatoya",8186,"Paja, palma o similar",30,0.37
201,"Guastatoya",8186,"Material de desecho",1,0.01
201,"Guastatoya",8186,"Otro",18,0.22
201,"Guastatoya",8186,"No especificado",29,0.35
202,"Morazán",4531,"Concreto",271,5.98
202,"Morazán",4531,"Lámina metálica",3488,76.98
202,"Morazán",4531,"Asbesto cemento",95,2.1
202,"Morazán",4531,"Teja",617,13.62
202,"Morazán",4531,"Paja, palma o similar",9,0.2
202,"Morazán",4531,"Material de desecho",1,0.02
202,"Morazán",4531,"Otro",10,0.22
202,"Morazán",4531,"No especificado",40,0.88
203,"San Agustín Acasaguastlán",12670,"Concreto",649,5.12
203,"San Agustín Acasaguastlán",12670,"Lámina metálica",10726,84.66
203,"San Agustín Acasaguastlán",12670,"Asbesto cemento",83,0.66
203,"San Agustín Acasaguastlán",12670,"Teja",145,1.14
203,"San Agustín Acasaguastlán",12670,"Paja, palma o similar",1017,8.03
203,"San Agustín Acasaguastlán",12670,"Material de desecho",6,0.05
203,"San Agustín Acasaguastlán",12670,"Otro",12,0.09
