"Código","Municipio","Total de personas","Lugar de Residencia en 2013","Personas","Porcentaje de la Poblacion"
101,"Guatemala",923392,"No habÍa nacido",70917,7.68
102,"Santa Catarina Pinula",80582,"No habÍa nacido",6805,8.44
103,"San José Pinula",79844,"No habÍa nacido",8116,10.16
104,"San José del Golfo",7229,"No habÍa nacido",740,10.24
105,"Palencia",70973,"No habÍa nacido",8048,11.34
106,"Chinautla",114752,"No habÍa nacido",11333,9.88
107,"San Pedro Ayampuc",58609,"No habÍa nacido",6148,10.49
108,"Mixco",465773,"No habÍa nacido",37135,7.97
109,"San Pedro Sacatepéquez",51292,"No habÍa nacido",5399,10.53
110,"San Juan Sacatepéquez",218156,"No habÍa nacido",23954,10.98
111,"San Raymundo",31605,"No habÍa nacido",3551,11.24
112,"Chuarrancho",12638,"No habÍa nacido",1486,11.76
113,"Fraijanes",58922,"No habÍa nacido",4770,8.1
114,"Amatitlán",116711,"No habÍa nacido",11237,9.63
115,"Villa Nueva",433734,"No habÍa nacido",38625,8.91
116,"Villa Canales",155422,"No habÍa nacido",15479,9.96
117,"San Miguel Petapa",135447,"No habÍa nacido",11016,8.13
201,"Guastatoya",24821,"No habÍa nacido",2266,9.13
202,"Morazán",12164,"No habÍa nacido",1169,9.61
203,"San Agustín Acasaguastlán",45765,"No habÍa nacido",5487,11.99
204,"San Cristóbal Acasaguastlán",7199,"No habÍa nacido",653,9.07
205,"El Jícaro",13128,"No habÍa nacido",1219,9.29
206,"Sansare",13154,"No habÍa nacido",1183,8.99
207,"Sanarate",39444,"No habÍa nacido",3618,9.17
208,"San Antonio la Paz",20957,"No habÍa nacido",2283,10.89
301,"Antigua Guatemala",46054,"No habÍa nacido",3598,7.81
302,"Jocotenango",21657,"No habÍa nacido",1680,7.76
303,"Pastores",17814,"No habÍa nacido",1699,9.54
304,"Sumpango",37260,"No habÍa nacido",3852,10.34
305,"Santo Domingo Xenacoj",12402,"No habÍa nacido",1325,10.68
306,"Santiago Sacatepéquez",29238,"No habÍa nacido",2767,9.46
307,"San Bartolomé Milpas Altas",7816,"No habÍa nacido",689,8.82
308,"San Lucas Sacatepéquez",23369,"No habÍa nacido",1999,8.55
309,"Santa Lucía Milpas Altas",15570,"No habÍa nacido",1347,8.65
310,"Magdalena Milpas Altas",11856,"No habÍa nacido",1064,8.97
311,"Santa María de Jesús",21938,"No habÍa nacido",2393,10.91
312,"Ciudad Vieja",33405,"No habÍa nacido",3039,9.1
313,"San Miguel Dueñas",12696,"No habÍa nacido",1207,9.51
314,"San Juan Alotenango",23986,"No habÍa nacido",2441,10.18
315,"San Antonio Aguas Calientes",11347,"No habÍa nacido",1027,9.05
316,"Santa Catarina Barahona",4061,"No habÍa nacido",367,9.04
401,"Chimaltenango",96985,"No habÍa nacido",9448,9.74
402,"San José Poaquil",26845,"No habÍa nacido",2847,10.61
403,"San Martín Jilotepeque",73469,"No habÍa nacido",8230,11.2
404,"San Juan Comalapa",48597,"No habÍa nacido",5312,10.93
405,"Santa Apolonia",18540,"No habÍa nacido",2567,13.85
406,"Tecpán Guatemala",91927,"No habÍa nacido",11984,13.04
407,"Patzún",58240,"No habÍa nacido",6547,11.24
408,"San Miguel Pochuta",8790,"No habÍa nacido",947,10.77
409,"Patzicía",33207,"No habÍa nacido",3623,10.91
410,"Santa Cruz Balanyá",9479,"No habÍa nacido",1100,11.6
411,"Acatenango",23228,"No habÍa nacido",2743,11.81
412,"San Pedro Yepocapa",34948,"No habÍa nacido",4344,12.43
413,"San Andrés Itzapa",32083,"No habÍa nacido",3721,11.6
414,"Parramos",15924,"No habÍa nacido",1649,10.36
415,"Zaragoza",24022,"No habÍa nacido",2716,11.31
416,"El Tejar",19492,"No habÍa nacido",1895,9.72
501,"Escuintla",156313,"No habÍa nacido",14698,9.4
502,"Santa Lucía Cotzumalguapa",112780,"No habÍa nacido",12044,10.68
503,"La Democracia",23017,"No habÍa nacido",2611,11.34
504,"Siquinalá",22968,"No habÍa nacido",2604,11.34
505,"Masagua",45323,"No habÍa nacido",5220,11.52
506,"Tiquisate",57292,"No habÍa nacido",6531,11.4
507,"La Gomera",46666,"No habÍa nacido",5336,11.43
508,"Guanagazapa",15958,"No habÍa nacido",1854,11.62
509,"San José",62801,"No habÍa nacido",6647,10.58
510,"Iztapa",18342,"No habÍa nacido",1981,10.8
511,"Palín",65873,"No habÍa nacido",6715,10.19
512,"San Vicente Pacaya",16705,"No habÍa nacido",1774,10.62
513,"Nueva Concepción",72909,"No habÍa nacido",8408,11.53
514,"Sipacate",16234,"No habÍa nacido",1778,10.95
601,"Cuilapa",41359,"No habÍa nacido",4241,10.25
602,"Barberena",58276,"No habÍa nacido",6153,10.56
603,"Santa Rosa de Lima",19702,"No habÍa nacido",2062,10.47
604,"Casillas",24956,"No habÍa nacido",2634,10.55
605,"San Rafael las Flores",12641,"No habÍa nacido",1516,11.99
606,"Oratorio",24954,"No habÍa nacido",2732,10.95
607,"San Juan Tecuaco",10122,"No habÍa nacido",1185,11.71
608,"Chiquimulilla",53727,"No habÍa nacido",5487,10.21
609,"Taxisco",29846,"No habÍa nacido",3197,10.71
610,"Santa María Ixhuatán",23801,"No habÍa nacido",2585,10.86
611,"Guazacapán",18855,"No habÍa nacido",2058,10.91
612,"Santa Cruz Naranjo",16385,"No habÍa nacido",1671,10.2
613,"Pueblo Nuevo Viñas",25529,"No habÍa nacido",2852,11.17
614,"Nueva Santa Rosa",36454,"No habÍa nacido",3791,10.4
701,"Sololá",88612,"No habÍa nacido",9409,10.62
702,"San José Chacayá",4068,"No habÍa nacido",485,11.92
703,"Santa María Visitación",2370,"No habÍa nacido",226,9.54
704,"Santa Lucía Utatlán",21284,"No habÍa nacido",2130,10.01
705,"Nahualá",75430,"No habÍa nacido",8458,11.21
706,"Santa Catarina Ixtahuacán",56981,"No habÍa nacido",6657,11.68
707,"Santa Clara la Laguna",9405,"No habÍa nacido",958,10.19
708,"Concepción",6601,"No habÍa nacido",797,12.07
709,"San Andrés Semetabaj",13142,"No habÍa nacido",1418,10.79
710,"Panajachel",15077,"No habÍa nacido",1409,9.35
711,"Santa Catarina Palopó",3924,"No habÍa nacido",405,10.32
712,"San Antonio Palopó",14437,"No habÍa nacido",1566,10.85
713,"San Lucas Tolimán",29772,"No habÍa nacido",3098,10.41
714,"Santa Cruz la Laguna",5820,"No habÍa nacido",707,12.15
715,"San Pablo la Laguna",7299,"No habÍa nacido",688,9.43
716,"San Marcos la Laguna",2617,"No habÍa nacido",229,8.75
717,"San Juan la Laguna",12162,"No habÍa nacido",1324,10.89
718,"San Pedro la Laguna",10705,"No habÍa nacido",912,8.52
719,"Santiago Atitlán",41877,"No habÍa nacido",3714,8.87
801,"Totonicapán",103952,"No habÍa nacido",9484,9.12
802,"San Cristóbal Totonicapán",36119,"No habÍa nacido",3416,9.46
803,"San Francisco el Alto",57894,"No habÍa nacido",6314,10.91
804,"San Andrés Xecul",26984,"No habÍa nacido",2949,10.93
805,"Momostenango",105617,"No habÍa nacido",13502,12.78
806,"Santa María Chiquimula",55013,"No habÍa nacido",7562,13.75
807,"Santa Lucía la Reforma",22378,"No habÍa nacido",3413,15.25
808,"San Bartolo Aguas Calientes",10612,"No habÍa nacido",1436,13.53
901,"Quetzaltenango",180706,"No habÍa nacido",15453,8.55
902,"Salcajá",19434,"No habÍa nacido",1649,8.49
903,"San Juan Olintepeque",35060,"No habÍa nacido",3617,10.32
904,"San Carlos Sija",30224,"No habÍa nacido",3087,10.21
905,"Sibilia",8407,"No habÍa nacido",952,11.32
906,"Cabricán",23033,"No habÍa nacido",2498,10.85
907,"Cajolá",14948,"No habÍa nacido",2113,14.14
908,"San Miguel Siguilá",7889,"No habÍa nacido",1040,13.18
909,"San Juan Ostuncalco",51828,"No habÍa nacido",6401,12.35
910,"San Mateo",7895,"No habÍa nacido",814,10.31
911,"Concepción Chiquirichapa",17342,"No habÍa nacido",1997,11.52
912,"San Martín Sacatepéquez",29373,"No habÍa nacido",3772,12.84
913,"Almolonga",15724,"No habÍa nacido",1230,7.82
914,"Cantel",42142,"No habÍa nacido",4141,9.83
915,"Huitán",13450,"No habÍa nacido",1885,14.01
916,"Zunil",14118,"No habÍa nacido",1244,8.81
917,"Colomba Costa Cuca",47544,"No habÍa nacido",5304,11.16
918,"San Francisco la Unión",7939,"No habÍa nacido",849,10.69
919,"El Palmar",29132,"No habÍa nacido",3414,11.72
920,"Coatepeque",105415,"No habÍa nacido",10953,10.39
921,"Génova",37497,"No habÍa nacido",4545,12.12
922,"Flores Costa Cuca",21630,"No habÍa nacido",2269,10.49
923,"La Esperanza",22166,"No habÍa nacido",2127,9.6
924,"Palestina de los Altos",16205,"No habÍa nacido",2152,13.28
1001,"Mazatenango",77431,"No habÍa nacido",7899,10.2
1002,"Cuyotenango",33436,"No habÍa nacido",3893,11.64
1003,"San Francisco Zapotitlán",22533,"No habÍa nacido",2369,10.51
1004,"San Bernardino",15849,"No habÍa nacido",1872,11.81
1005,"San José el Ídolo",10212,"No habÍa nacido",1228,12.03
1006,"Santo Domingo Suchitepéquez",42291,"No habÍa nacido",5055,11.95
1007,"San Lorenzo",13282,"No habÍa nacido",1523,11.47
1008,"Samayac",24790,"No habÍa nacido",2609,10.52
1009,"San Pablo Jocopilas",20433,"No habÍa nacido",2166,10.6
1010,"San Antonio Suchitepéquez",59184,"No habÍa nacido",7240,12.23
1011,"San Miguel Panán",10320,"No habÍa nacido",1389,13.46
1012,"San Gabriel",7383,"No habÍa nacido",826,11.19
1013,"Chicacao",60735,"No habÍa nacido",7798,12.84
1014,"Patulul",40683,"No habÍa nacido",4689,11.53
1015,"Santa Bárbara",26346,"No habÍa nacido",3352,12.72
1016,"San Juan Bautista",7826,"No habÍa nacido",986,12.6
1017,"Santo Tomas la Unión",11698,"No habÍa nacido",1125,9.62
1018,"Zunilito",8280,"No habÍa nacido",902,10.89
1019,"Pueblo Nuevo",11315,"No habÍa nacido",1226,10.84
1020,"Río Bravo",27606,"No habÍa nacido",3537,12.81
1021,"San José La Máquina",23062,"No habÍa nacido",2888,12.52
1101,"Retalhuleu",90505,"No habÍa nacido",9811,10.84
1102,"San Sebastián",29167,"No habÍa nacido",3036,10.41
1103,"Santa Cruz Muluá",13545,"No habÍa nacido",1589,11.73
1104,"San Martín Zapotitlán",12083,"No habÍa nacido",1322,10.94
1105,"San Felipe",24446,"No habÍa nacido",2754,11.27
1106,"San Andrés Villa Seca",47820,"No habÍa nacido",6218,13
1107,"Champerico",32815,"No habÍa nacido",3948,12.03
1108,"Nuevo San Carlos",39565,"No habÍa nacido",4463,11.28
1109,"El Asintal",36882,"No habÍa nacido",4108,11.14
1201,"San Marcos",47063,"No habÍa nacido",4918,10.45
1202,"San Pedro Sacatepéquez",79158,"No habÍa nacido",8132,10.27
1203,"San Antonio Sacatepéquez",19100,"No habÍa nacido",2370,12.41
1204,"Comitancillo",59489,"No habÍa nacido",8824,14.83
1205,"San Miguel Ixtahuacán",47301,"No habÍa nacido",7288,15.41
1206,"Concepción Tutuapa",68148,"No habÍa nacido",10805,15.86
1207,"Tacaná",75788,"No habÍa nacido",9589,12.65
1208,"Sibinal",15733,"No habÍa nacido",2034,12.93
1209,"Tajumulco",50907,"No habÍa nacido",7674,15.07
1210,"Tejutla",38669,"No habÍa nacido",5420,14.02
1211,"San Rafael Pie de la Cuesta",17139,"No habÍa nacido",1826,10.65
1212,"Nuevo Progreso",30067,"No habÍa nacido",3404,11.32
1213,"El Tumbador",44395,"No habÍa nacido",5256,11.84
1214,"San José el Rodeo",17881,"No habÍa nacido",2034,11.38
1215,"Malacatán",92816,"No habÍa nacido",10943,11.79
1216,"Catarina",30014,"No habÍa nacido",3244,10.81
1217,"Ayutla",37049,"No habÍa nacido",4312,11.64
