"Código","Municipio","Total de personas","Relacion con el Jefe","Cantidad de Personas","Porcentaje de Poblacion"
101,"Guatemala",923392,"Jefe(a) de hogar",243014,26.32
101,"Guatemala",923392,"Esposa(o) o pareja",146329,15.85
101,"Guatemala",923392,"Hija(o) o hijastra(o)",369206,39.98
101,"Guatemala",923392,"Nuera o yerno",13108,1.42
101,"Guatemala",923392,"Nieta o nieto",56211,6.09
101,"Guatemala",923392,"Hermana o hermano",17998,1.95
101,"Guatemala",923392,"Madre o padre",11606,1.26
101,"Guatemala",923392,"Suegra o suegro",4381,0.47
101,"Guatemala",923392,"Cuñada o cuñado",4665,0.51
101,"Guatemala",923392,"Otra(o) pariente",27297,2.96
101,"Guatemala",923392,"No parientes",17000,1.84
102,"Santa Catarina Pinula",80582,"Jefe(a) de hogar",20064,24.9
102,"Santa Catarina Pinula",80582,"Esposa(o) o pareja",14317,17.77
102,"Santa Catarina Pinula",80582,"Hija(o) o hijastra(o)",35592,44.17
102,"Santa Catarina Pinula",80582,"Nuera o yerno",1019,1.26
102,"Santa Catarina Pinula",80582,"Nieta o nieto",4068,5.05
102,"Santa Catarina Pinula",80582,"Hermana o hermano",826,1.03
102,"Santa Catarina Pinula",80582,"Madre o padre",700,0.87
102,"Santa Catarina Pinula",80582,"Suegra o suegro",356,0.44
102,"Santa Catarina Pinula",80582,"Cuñada o cuñado",312,0.39
102,"Santa Catarina Pinula",80582,"Otra(o) pariente",1542,1.91
102,"Santa Catarina Pinula",80582,"No parientes",1728,2.14
103,"San José Pinula",79844,"Jefe(a) de hogar",19608,24.56
103,"San José Pinula",79844,"Esposa(o) o pareja",14190,17.77
103,"San José Pinula",79844,"Hija(o) o hijastra(o)",36999,46.34
103,"San José Pinula",79844,"Nuera o yerno",804,1.01
103,"San José Pinula",79844,"Nieta o nieto",3600,4.51
103,"San José Pinula",79844,"Hermana o hermano",883,1.11
103,"San José Pinula",79844,"Madre o padre",664,0.83
103,"San José Pinula",79844,"Suegra o suegro",349,0.44
103,"San José Pinula",79844,"Cuñada o cuñado",302,0.38
103,"San José Pinula",79844,"Otra(o) pariente",1528,1.91
103,"San José Pinula",79844,"No parientes",738,0.92
104,"San José del Golfo",7229,"Jefe(a) de hogar",1913,26.46
104,"San José del Golfo",7229,"Esposa(o) o pareja",1275,17.64
104,"San José del Golfo",7229,"Hija(o) o hijastra(o)",3236,44.76
104,"San José del Golfo",7229,"Nuera o yerno",109,1.51
104,"San José del Golfo",7229,"Nieta o nieto",417,5.77
104,"San José del Golfo",7229,"Hermana o hermano",57,0.79
104,"San José del Golfo",7229,"Madre o padre",50,0.69
104,"San José del Golfo",7229,"Suegra o suegro",20,0.28
104,"San José del Golfo",7229,"Cuñada o cuñado",26,0.36
104,"San José del Golfo",7229,"Otra(o) pariente",83,1.15
104,"San José del Golfo",7229,"No parientes",43,0.59
105,"Palencia",70973,"Jefe(a) de hogar",17411,24.53
105,"Palencia",70973,"Esposa(o) o pareja",12830,18.08
105,"Palencia",70973,"Hija(o) o hijastra(o)",33614,47.36
105,"Palencia",70973,"Nuera o yerno",892,1.26
105,"Palencia",70973,"Nieta o nieto",3387,4.77
105,"Palencia",70973,"Hermana o hermano",629,0.89
105,"Palencia",70973,"Madre o padre",466,0.66
105,"Palencia",70973,"Suegra o suegro",195,0.27
105,"Palencia",70973,"Cuñada o cuñado",171,0.24
105,"Palencia",70973,"Otra(o) pariente",1010,1.42
105,"Palencia",70973,"No parientes",337,0.47
106,"Chinautla",114752,"Jefe(a) de hogar",28077,24.47
106,"Chinautla",114752,"Esposa(o) o pareja",18799,16.38
106,"Chinautla",114752,"Hija(o) o hijastra(o)",52488,45.74
106,"Chinautla",114752,"Nuera o yerno",1618,1.41
106,"Chinautla",114752,"Nieta o nieto",6802,5.93
106,"Chinautla",114752,"Hermana o hermano",1640,1.43
106,"Chinautla",114752,"Madre o padre",1051,0.92
106,"Chinautla",114752,"Suegra o suegro",429,0.37
106,"Chinautla",114752,"Cuñada o cuñado",456,0.4
106,"Chinautla",114752,"Otra(o) pariente",2574,2.24
106,"Chinautla",114752,"No parientes",784,0.68
107,"San Pedro Ayampuc",58609,"Jefe(a) de hogar",14121,24.09
107,"San Pedro Ayampuc",58609,"Esposa(o) o pareja",9887,16.87
107,"San Pedro Ayampuc",58609,"Hija(o) o hijastra(o)",27262,46.52
107,"San Pedro Ayampuc",58609,"Nuera o yerno",906,1.55
107,"San Pedro Ayampuc",58609,"Nieta o nieto",3384,5.77
107,"San Pedro Ayampuc",58609,"Hermana o hermano",597,1.02
107,"San Pedro Ayampuc",58609,"Madre o padre",462,0.79
107,"San Pedro Ayampuc",58609,"Suegra o suegro",208,0.35
107,"San Pedro Ayampuc",58609,"Cuñada o cuñado",187,0.32
107,"San Pedro Ayampuc",58609,"Otra(o) pariente",1151,1.96
107,"San Pedro Ayampuc",58609,"No parientes",421,0.72
108,"Mixco",465773,"Jefe(a) de hogar",118506,25.44
108,"Mixco",465773,"Esposa(o) o pareja",78261,16.8
108,"Mixco",465773,"Hija(o) o hijastra(o)",197130,42.32
108,"Mixco",465773,"Nuera o yerno",6336,1.36
108,"Mixco",465773,"Nieta o nieto",25158,5.4
108,"Mixco",465773,"Hermana o hermano",7857,1.69
108,"Mixco",465773,"Madre o padre",5542,1.19
108,"Mixco",465773,"Suegra o suegro",2668,0.57
108,"Mixco",465773,"Cuñada o cuñado",2634,0.57
108,"Mixco",465773,"Otra(o) pariente",12529,2.69
108,"Mixco",465773,"No parientes",7574,1.63
109,"San Pedro Sacatepéquez",51292,"Jefe(a) de hogar",11041,21.53
109,"San Pedro Sacatepéquez",51292,"Esposa(o) o pareja",8458,16.49
109,"San Pedro Sacatepéquez",51292,"Hija(o) o hijastra(o)",25094,48.92
109,"San Pedro Sacatepéquez",51292,"Nuera o yerno",1066,2.08
109,"San Pedro Sacatepéquez",51292,"Nieta o nieto",2692,5.25
109,"San Pedro Sacatepéquez",51292,"Hermana o hermano",765,1.49
109,"San Pedro Sacatepéquez",51292,"Madre o padre",591,1.15
109,"San Pedro Sacatepéquez",51292,"Suegra o suegro",215,0.42
109,"San Pedro Sacatepéquez",51292,"Cuñada o cuñado",214,0.42
109,"San Pedro Sacatepéquez",51292,"Otra(o) pariente",902,1.76
109,"San Pedro Sacatepéquez",51292,"No parientes",254,0.5
110,"San Juan Sacatepéquez",218156,"Jefe(a) de hogar",45416,20.82
110,"San Juan Sacatepéquez",218156,"Esposa(o) o pareja",33631,15.42
110,"San Juan Sacatepéquez",218156,"Hija(o) o hijastra(o)",109746,50.31
110,"San Juan Sacatepéquez",218156,"Nuera o yerno",4192,1.92
110,"San Juan Sacatepéquez",218156,"Nieta o nieto",12277,5.63
110,"San Juan Sacatepéquez",218156,"Hermana o hermano",2144,0.98
110,"San Juan Sacatepéquez",218156,"Madre o padre",1971,0.9
110,"San Juan Sacatepéquez",218156,"Suegra o suegro",788,0.36
110,"San Juan Sacatepéquez",218156,"Cuñada o cuñado",724,0.33
110,"San Juan Sacatepéquez",218156,"Otra(o) pariente",5530,2.53
110,"San Juan Sacatepéquez",218156,"No parientes",1732,0.79
111,"San Raymundo",31605,"Jefe(a) de hogar",7065,22.35
111,"San Raymundo",31605,"Esposa(o) o pareja",4927,15.59
111,"San Raymundo",31605,"Hija(o) o hijastra(o)",16011,50.66
111,"San Raymundo",31605,"Nuera o yerno",602,1.9
111,"San Raymundo",31605,"Nieta o nieto",1702,5.39
111,"San Raymundo",31605,"Hermana o hermano",293,0.93
111,"San Raymundo",31605,"Madre o padre",263,0.83
111,"San Raymundo",31605,"Suegra o suegro",101,0.32
111,"San Raymundo",31605,"Cuñada o cuñado",59,0.19
111,"San Raymundo",31605,"Otra(o) pariente",419,1.33
111,"San Raymundo",31605,"No parientes",163,0.52
112,"Chuarrancho",12638,"Jefe(a) de hogar",2626,20.78
112,"Chuarrancho",12638,"Esposa(o) o pareja",2010,15.9
112,"Chuarrancho",12638,"Hija(o) o hijastra(o)",6195,49.02
112,"Chuarrancho",12638,"Nuera o yerno",350,2.77
112,"Chuarrancho",12638,"Nieta o nieto",900,7.12
112,"Chuarrancho",12638,"Hermana o hermano",93,0.74
112,"Chuarrancho",12638,"Madre o padre",169,1.34
112,"Chuarrancho",12638,"Suegra o suegro",38,0.3
112,"Chuarrancho",12638,"Cuñada o cuñado",32,0.25
112,"Chuarrancho",12638,"Otra(o) pariente",178,1.41
112,"Chuarrancho",12638,"No parientes",47,0.37
113,"Fraijanes",58922,"Jefe(a) de hogar",13615,23.11
113,"Fraijanes",58922,"Esposa(o) o pareja",9976,16.93
113,"Fraijanes",58922,"Hija(o) o hijastra(o)",23794,40.38
113,"Fraijanes",58922,"Nuera o yerno",539,0.91
113,"Fraijanes",58922,"Nieta o nieto",2220,3.77
113,"Fraijanes",58922,"Hermana o hermano",501,0.85
113,"Fraijanes",58922,"Madre o padre",441,0.75
113,"Fraijanes",58922,"Suegra o suegro",227,0.39
113,"Fraijanes",58922,"Cuñada o cuñado",129,0.22
113,"Fraijanes",58922,"Otra(o) pariente",891,1.51
113,"Fraijanes",58922,"No parientes",947,1.61
114,"Amatitlán",116711,"Jefe(a) de hogar",28919,24.78
114,"Amatitlán",116711,"Esposa(o) o pareja",20460,17.53
114,"Amatitlán",116711,"Hija(o) o hijastra(o)",51445,44.08
114,"Amatitlán",116711,"Nuera o yerno",1740,1.49
114,"Amatitlán",116711,"Nieta o nieto",7027,6.02
114,"Amatitlán",116711,"Hermana o hermano",1284,1.1
114,"Amatitlán",116711,"Madre o padre",1127,0.97
114,"Amatitlán",116711,"Suegra o suegro",465,0.4
114,"Amatitlán",116711,"Cuñada o cuñado",438,0.38
114,"Amatitlán",116711,"Otra(o) pariente",2747,2.35
114,"Amatitlán",116711,"No parientes",982,0.84
115,"Villa Nueva",433734,"Jefe(a) de hogar",109133,25.16
115,"Villa Nueva",433734,"Esposa(o) o pareja",73199,16.88
115,"Villa Nueva",433734,"Hija(o) o hijastra(o)",188229,43.4
115,"Villa Nueva",433734,"Nuera o yerno",5804,1.34
115,"Villa Nueva",433734,"Nieta o nieto",24197,5.58
115,"Villa Nueva",433734,"Hermana o hermano",6690,1.54
115,"Villa Nueva",433734,"Madre o padre",4770,1.1
115,"Villa Nueva",433734,"Suegra o suegro",2147,0.5
