"Código","Municipio","Total de personas","Total de población en viviendas colectivas y situación de calle"
101,"Guatemala",923392,12577
102,"Santa Catarina Pinula",80582,58
103,"San José Pinula",79844,179
104,"San José del Golfo",7229,0
105,"Palencia",70973,31
106,"Chinautla",114752,34
107,"San Pedro Ayampuc",58609,23
108,"Mixco",465773,1578
109,"San Pedro Sacatepéquez",51292,0
110,"San Juan Sacatepéquez",218156,5
111,"San Raymundo",31605,0
112,"Chuarrancho",12638,0
113,"Fraijanes",58922,5642
114,"Amatitlán",116711,77
115,"Villa Nueva",433734,0
116,"Villa Canales",155422,29
117,"San Miguel Petapa",135447,185
201,"Guastatoya",24821,14
202,"Morazán",12164,3
203,"San Agustín Acasaguastlán",45765,64
204,"San Cristóbal Acasaguastlán",7199,5
205,"El Jícaro",13128,6
206,"Sansare",13154,7
207,"Sanarate",39444,38
208,"San Antonio la Paz",20957,55
301,"Antigua Guatemala",46054,913
302,"Jocotenango",21657,41
303,"Pastores",17814,29
304,"Sumpango",37260,132
305,"Santo Domingo Xenacoj",12402,2
306,"Santiago Sacatepéquez",29238,21
307,"San Bartolomé Milpas Altas",7816,339
308,"San Lucas Sacatepéquez",23369,394
309,"Santa Lucía Milpas Altas",15570,80
310,"Magdalena Milpas Altas",11856,6
311,"Santa María de Jesús",21938,16
312,"Ciudad Vieja",33405,39
313,"San Miguel Dueñas",12696,38
314,"San Juan Alotenango",23986,578
315,"San Antonio Aguas Calientes",11347,36
316,"Santa Catarina Barahona",4061,0
401,"Chimaltenango",96985,1005
402,"San José Poaquil",26845,3
403,"San Martín Jilotepeque",73469,28
404,"San Juan Comalapa",48597,39
405,"Santa Apolonia",18540,42
406,"Tecpán Guatemala",91927,47
407,"Patzún",58240,94
408,"San Miguel Pochuta",8790,1
409,"Patzicía",33207,2
410,"Santa Cruz Balanyá",9479,1
411,"Acatenango",23228,7
412,"San Pedro Yepocapa",34948,11
413,"San Andrés Itzapa",32083,216
414,"Parramos",15924,49
415,"Zaragoza",24022,148
416,"El Tejar",19492,12
501,"Escuintla",156313,5568
502,"Santa Lucía Cotzumalguapa",112780,82
503,"La Democracia",23017,9
504,"Siquinalá",22968,27
505,"Masagua",45323,1
506,"Tiquisate",57292,42
507,"La Gomera",46666,37
508,"Guanagazapa",15958,88
509,"San José",62801,0
510,"Iztapa",18342,0
511,"Palín",65873,170
512,"San Vicente Pacaya",16705,0
513,"Nueva Concepción",72909,39
514,"Sipacate",16234,23
601,"Cuilapa",41359,717
602,"Barberena",58276,60
603,"Santa Rosa de Lima",19702,9
604,"Casillas",24956,8
605,"San Rafael las Flores",12641,0
606,"Oratorio",24954,7
607,"San Juan Tecuaco",10122,0
608,"Chiquimulilla",53727,0
609,"Taxisco",29846,17
610,"Santa María Ixhuatán",23801,7
611,"Guazacapán",18855,0
612,"Santa Cruz Naranjo",16385,4
613,"Pueblo Nuevo Viñas",25529,15
614,"Nueva Santa Rosa",36454,46
701,"Sololá",88612,62
702,"San José Chacayá",4068,0
703,"Santa María Visitación",2370,5
704,"Santa Lucía Utatlán",21284,5
705,"Nahualá",75430,0
706,"Santa Catarina Ixtahuacán",56981,0
707,"Santa Clara la Laguna",9405,5
708,"Concepción",6601,0
709,"San Andrés Semetabaj",13142,78
710,"Panajachel",15077,48
711,"Santa Catarina Palopó",3924,0
712,"San Antonio Palopó",14437,0
713,"San Lucas Tolimán",29772,56
714,"Santa Cruz la Laguna",5820,0
715,"San Pablo la Laguna",7299,1
716,"San Marcos la Laguna",2617,0
717,"San Juan la Laguna",12162,0
718,"San Pedro la Laguna",10705,14
719,"Santiago Atitlán",41877,45
801,"Totonicapán",103952,79
802,"San Cristóbal Totonicapán",36119,29
803,"San Francisco el Alto",57894,38
804,"San Andrés Xecul",26984,1
805,"Momostenango",105617,16
806,"Santa María Chiquimula",55013,8
807,"Santa Lucía la Reforma",22378,1
808,"San Bartolo Aguas Calientes",10612,6
901,"Quetzaltenango",180706,1022
902,"Salcajá",19434,141
903,"San Juan Olintepeque",35060,0
904,"San Carlos Sija",30224,0
