"Código","Municipio","Población de 7 años o más","Uso de Tecnologias","Cantidad de Personas","Porcentaje de Poblacion"
101,"Guatemala",823541,"Usa Celular",686460,83.35
101,"Guatemala",823541,"No Usa Celular",126413,15.35
101,"Guatemala",823541,"NA_Celular",10668,1.3
101,"Guatemala",823541,"Usa Computadora",437433,53.12
101,"Guatemala",823541,"No usa Computadora",375594,45.61
101,"Guatemala",823541,"NA_Computadora",10514,1.28
101,"Guatemala",823541,"Usa Internet",512366,62.21
101,"Guatemala",823541,"No usa Internet",299216,36.33
101,"Guatemala",823541,"NA_Internet",11959,1.45
102,"Santa Catarina Pinula",70958,"Usa Celular",58190,82.01
102,"Santa Catarina Pinula",70958,"No Usa Celular",11862,16.72
102,"Santa Catarina Pinula",70958,"NA_Celular",906,1.28
102,"Santa Catarina Pinula",70958,"Usa Computadora",34861,49.13
102,"Santa Catarina Pinula",70958,"No usa Computadora",35151,49.54
102,"Santa Catarina Pinula",70958,"NA_Computadora",946,1.33
102,"Santa Catarina Pinula",70958,"Usa Internet",41243,58.12
102,"Santa Catarina Pinula",70958,"No usa Internet",28689,40.43
102,"Santa Catarina Pinula",70958,"NA_Internet",1026,1.45
103,"San José Pinula",68509,"Usa Celular",52853,77.15
103,"San José Pinula",68509,"No Usa Celular",14668,21.41
103,"San José Pinula",68509,"NA_Celular",988,1.44
103,"San José Pinula",68509,"Usa Computadora",26148,38.17
103,"San José Pinula",68509,"No usa Computadora",41417,60.45
103,"San José Pinula",68509,"NA_Computadora",944,1.38
103,"San José Pinula",68509,"Usa Internet",31807,46.43
103,"San José Pinula",68509,"No usa Internet",35520,51.85
103,"San José Pinula",68509,"NA_Internet",1182,1.73
104,"San José del Golfo",6206,"Usa Celular",4603,74.17
104,"San José del Golfo",6206,"No Usa Celular",1534,24.72
104,"San José del Golfo",6206,"NA_Celular",69,1.11
104,"San José del Golfo",6206,"Usa Computadora",1289,20.77
104,"San José del Golfo",6206,"No usa Computadora",4868,78.44
104,"San José del Golfo",6206,"NA_Computadora",49,0.79
104,"San José del Golfo",6206,"Usa Internet",2628,42.35
104,"San José del Golfo",6206,"No usa Internet",3510,56.56
104,"San José del Golfo",6206,"NA_Internet",68,1.1
105,"Palencia",59630,"Usa Celular",39603,66.41
105,"Palencia",59630,"No Usa Celular",19646,32.95
105,"Palencia",59630,"NA_Celular",381,0.64
105,"Palencia",59630,"Usa Computadora",12460,20.9
105,"Palencia",59630,"No usa Computadora",46859,78.58
105,"Palencia",59630,"NA_Computadora",311,0.52
105,"Palencia",59630,"Usa Internet",19869,33.32
105,"Palencia",59630,"No usa Internet",39324,65.95
105,"Palencia",59630,"NA_Internet",437,0.73
106,"Chinautla",98780,"Usa Celular",77271,78.23
106,"Chinautla",98780,"No Usa Celular",20475,20.73
106,"Chinautla",98780,"NA_Celular",1034,1.05
106,"Chinautla",98780,"Usa Computadora",36166,36.61
106,"Chinautla",98780,"No usa Computadora",61722,62.48
106,"Chinautla",98780,"NA_Computadora",892,0.9
106,"Chinautla",98780,"Usa Internet",50207,50.83
