"Código","Municipio","Total de viviendas particulares","Tipo de Ocupacion","Cantidad de Viviendas","Porcentaje de Viviendas Particulares"
101,"Guatemala",283756,"Ocupada",233359,82.24
101,"Guatemala",283756,"De uso temporal",3134,1.1
101,"Guatemala",283756,"Desocupada",35433,12.49
101,"Guatemala",283756,"Rechazo total o parcial",11830,4.17
102,"Santa Catarina Pinula",24991,"Ocupada",19621,78.51
102,"Santa Catarina Pinula",24991,"De uso temporal",323,1.29
102,"Santa Catarina Pinula",24991,"Desocupada",3543,14.18
102,"Santa Catarina Pinula",24991,"Rechazo total o parcial",1504,6.02
103,"San José Pinula",23675,"Ocupada",18630,78.69
103,"San José Pinula",23675,"De uso temporal",341,1.44
103,"San José Pinula",23675,"Desocupada",3678,15.54
103,"San José Pinula",23675,"Rechazo total o parcial",1026,4.33
104,"San José del Golfo",2411,"Ocupada",1845,76.52
104,"San José del Golfo",2411,"De uso temporal",69,2.86
104,"San José del Golfo",2411,"Desocupada",466,19.33
104,"San José del Golfo",2411,"Rechazo total o parcial",31,1.29
105,"Palencia",20105,"Ocupada",16699,83.06
105,"Palencia",20105,"De uso temporal",274,1.36
105,"Palencia",20105,"Desocupada",3132,15.58
105,"Palencia",20105,"Rechazo total o parcial",0,0
106,"Chinautla",31001,"Ocupada",26745,86.27
106,"Chinautla",31001,"De uso temporal",271,0.87
106,"Chinautla",31001,"Desocupada",3465,11.18
106,"Chinautla",31001,"Rechazo total o parcial",520,1.68
107,"San Pedro Ayampuc",17139,"Ocupada",13542,79.01
107,"San Pedro Ayampuc",17139,"De uso temporal",76,0.44
107,"San Pedro Ayampuc",17139,"Desocupada",2685,15.67
107,"San Pedro Ayampuc",17139,"Rechazo total o parcial",836,4.88
108,"Mixco",130487,"Ocupada",113858,87.26
108,"Mixco",130487,"De uso temporal",1173,0.9
108,"Mixco",130487,"Desocupada",11945,9.15
108,"Mixco",130487,"Rechazo total o parcial",3511,2.69
109,"San Pedro Sacatepéquez",11747,"Ocupada",9982,84.97
109,"San Pedro Sacatepéquez",11747,"De uso temporal",226,1.92
109,"San Pedro Sacatepéquez",11747,"Desocupada",1392,11.85
109,"San Pedro Sacatepéquez",11747,"Rechazo total o parcial",147,1.25
110,"San Juan Sacatepéquez",56517,"Ocupada",44478,78.7
110,"San Juan Sacatepéquez",56517,"De uso temporal",690,1.22
110,"San Juan Sacatepéquez",56517,"Desocupada",8993,15.91
110,"San Juan Sacatepéquez",56517,"Rechazo total o parcial",2356,4.17
111,"San Raymundo",9362,"Ocupada",6950,74.24
111,"San Raymundo",9362,"De uso temporal",426,4.55
111,"San Raymundo",9362,"Desocupada",1927,20.58
111,"San Raymundo",9362,"Rechazo total o parcial",59,0.63
112,"Chuarrancho",3757,"Ocupada",2599,69.18
112,"Chuarrancho",3757,"De uso temporal",83,2.21
112,"Chuarrancho",3757,"Desocupada",1057,28.13
112,"Chuarrancho",3757,"Rechazo total o parcial",18,0.48
113,"Fraijanes",16769,"Ocupada",13529,80.68
113,"Fraijanes",16769,"De uso temporal",204,1.22
113,"Fraijanes",16769,"Desocupada",2126,12.68
113,"Fraijanes",16769,"Rechazo total o parcial",910,5.43
114,"Amatitlán",33904,"Ocupada",27597,81.4
114,"Amatitlán",33904,"De uso temporal",364,1.07
114,"Amatitlán",33904,"Desocupada",4487,13.23
114,"Amatitlán",33904,"Rechazo total o parcial",1456,4.29
115,"Villa Nueva",125493,"Ocupada",103888,82.78
115,"Villa Nueva",125493,"De uso temporal",3291,2.62
115,"Villa Nueva",125493,"Desocupada",13161,10.49
115,"Villa Nueva",125493,"Rechazo total o parcial",5153,4.11
116,"Villa Canales",43706,"Ocupada",36496,83.5
116,"Villa Canales",43706,"De uso temporal",656,1.5
116,"Villa Canales",43706,"Desocupada",4413,10.1
116,"Villa Canales",43706,"Rechazo total o parcial",2141,4.9
117,"San Miguel Petapa",38884,"Ocupada",33079,85.07
117,"San Miguel Petapa",38884,"De uso temporal",521,1.34
117,"San Miguel Petapa",38884,"Desocupada",4074,10.48
117,"San Miguel Petapa",38884,"Rechazo total o parcial",1210,3.11
201,"Guastatoya",8186,"Ocupada",6557,80.1
201,"Guastatoya",8186,"De uso temporal",307,3.75
201,"Guastatoya",8186,"Desocupada",1249,15.26
201,"Guastatoya",8186,"Rechazo total o parcial",73,0.89
202,"Morazán",4531,"Ocupada",3196,70.54
202,"Morazán",4531,"De uso temporal",140,3.09
202,"Morazán",4531,"Desocupada",1189,26.24
202,"Morazán",4531,"Rechazo total o parcial",6,0.13
203,"San Agustín Acasaguastlán",12670,"Ocupada",10482,82.73
203,"San Agustín Acasaguastlán",12670,"De uso temporal",351,2.77
203,"San Agustín Acasaguastlán",12670,"Desocupada",1837,14.5
203,"San Agustín Acasaguastlán",12670,"Rechazo total o parcial",0,0
204,"San Cristóbal Acasaguastlán",2659,"Ocupada",1889,71.04
204,"San Cristóbal Acasaguastlán",2659,"De uso temporal",81,3.05
204,"San Cristóbal Acasaguastlán",2659,"Desocupada",688,25.87
204,"San Cristóbal Acasaguastlán",2659,"Rechazo total o parcial",1,0.04
205,"El Jícaro",4217,"Ocupada",3442,81.62
205,"El Jícaro",4217,"De uso temporal",81,1.92
205,"El Jícaro",4217,"Desocupada",688,16.31
205,"El Jícaro",4217,"Rechazo total o parcial",6,0.14
206,"Sansare",4107,"Ocupada",3224,78.5
206,"Sansare",4107,"De uso temporal",64,1.56
206,"Sansare",4107,"Desocupada",819,19.94
206,"Sansare",4107,"Rechazo total o parcial",0,0
207,"Sanarate",11498,"Ocupada",9583,83.34
207,"Sanarate",11498,"De uso temporal",158,1.37
207,"Sanarate",11498,"Desocupada",1637,14.24
207,"Sanarate",11498,"Rechazo total o parcial",120,1.04
208,"San Antonio la Paz",6241,"Ocupada",5159,82.66
208,"San Antonio la Paz",6241,"De uso temporal",159,2.55
208,"San Antonio la Paz",6241,"Desocupada",923,14.79
208,"San Antonio la Paz",6241,"Rechazo total o parcial",0,0
301,"Antigua Guatemala",14687,"Ocupada",10054,68.46
301,"Antigua Guatemala",14687,"De uso temporal",1173,7.99
301,"Antigua Guatemala",14687,"Desocupada",3135,21.35
301,"Antigua Guatemala",14687,"Rechazo total o parcial",325,2.21
302,"Jocotenango",5706,"Ocupada",4797,84.07
302,"Jocotenango",5706,"De uso temporal",113,1.98
302,"Jocotenango",5706,"Desocupada",719,12.6
302,"Jocotenango",5706,"Rechazo total o parcial",77,1.35
303,"Pastores",4112,"Ocupada",3747,91.12
303,"Pastores",4112,"De uso temporal",20,0.49
303,"Pastores",4112,"Desocupada",311,7.56
303,"Pastores",4112,"Rechazo total o parcial",34,0.83
304,"Sumpango",10049,"Ocupada",7423,73.87
304,"Sumpango",10049,"De uso temporal",490,4.88
304,"Sumpango",10049,"Desocupada",1751,17.42
304,"Sumpango",10049,"Rechazo total o parcial",385,3.83
305,"Santo Domingo Xenacoj",3302,"Ocupada",2590,78.44
305,"Santo Domingo Xenacoj",3302,"De uso temporal",200,6.06
305,"Santo Domingo Xenacoj",3302,"Desocupada",511,15.48
305,"Santo Domingo Xenacoj",3302,"Rechazo total o parcial",1,0.03
306,"Santiago Sacatepéquez",7788,"Ocupada",6200,79.61
306,"Santiago Sacatepéquez",7788,"De uso temporal",296,3.8
306,"Santiago Sacatepéquez",7788,"Desocupada",1238,15.9
306,"Santiago Sacatepéquez",7788,"Rechazo total o parcial",54,0.69
307,"San Bartolomé Milpas Altas",1893,"Ocupada",1651,87.22
307,"San Bartolomé Milpas Altas",1893,"De uso temporal",74,3.91
307,"San Bartolomé Milpas Altas",1893,"Desocupada",168,8.87
307,"San Bartolomé Milpas Altas",1893,"Rechazo total o parcial",0,0
308,"San Lucas Sacatepéquez",7719,"Ocupada",5815,75.33
308,"San Lucas Sacatepéquez",7719,"De uso temporal",188,2.44
308,"San Lucas Sacatepéquez",7719,"Desocupada",1628,21.09
308,"San Lucas Sacatepéquez",7719,"Rechazo total o parcial",88,1.14
309,"Santa Lucía Milpas Altas",4740,"Ocupada",3725,78.59
309,"Santa Lucía Milpas Altas",4740,"De uso temporal",150,3.16
309,"Santa Lucía Milpas Altas",4740,"Desocupada",763,16.1
309,"Santa Lucía Milpas Altas",4740,"Rechazo total o parcial",102,2.15
310,"Magdalena Milpas Altas",2717,"Ocupada",2414,88.85
310,"Magdalena Milpas Altas",2717,"De uso temporal",88,3.24
310,"Magdalena Milpas Altas",2717,"Desocupada",212,7.8
310,"Magdalena Milpas Altas",2717,"Rechazo total o parcial",3,0.11
311,"Santa María de Jesús",4774,"Ocupada",4111,86.11
311,"Santa María de Jesús",4774,"De uso temporal",32,0.67
311,"Santa María de Jesús",4774,"Desocupada",582,12.19
311,"Santa María de Jesús",4774,"Rechazo total o parcial",49,1.03
312,"Ciudad Vieja",8658,"Ocupada",7060,81.54
312,"Ciudad Vieja",8658,"De uso temporal",224,2.59
312,"Ciudad Vieja",8658,"Desocupada",1168,13.49
312,"Ciudad Vieja",8658,"Rechazo total o parcial",206,2.38
313,"San Miguel Dueñas",3316,"Ocupada",2772,83.59
313,"San Miguel Dueñas",3316,"De uso temporal",164,4.95
313,"San Miguel Dueñas",3316,"Desocupada",350,10.55
313,"San Miguel Dueñas",3316,"Rechazo total o parcial",30,0.9
314,"San Juan Alotenango",5239,"Ocupada",4771,91.07
314,"San Juan Alotenango",5239,"De uso temporal",43,0.82
314,"San Juan Alotenango",5239,"Desocupada",425,8.11
314,"San Juan Alotenango",5239,"Rechazo total o parcial",0,0
315,"San Antonio Aguas Calientes",2689,"Ocupada",2416,89.85
315,"San Antonio Aguas Calientes",2689,"De uso temporal",88,3.27
315,"San Antonio Aguas Calientes",2689,"Desocupada",185,6.88
315,"San Antonio Aguas Calientes",2689,"Rechazo total o parcial",0,0
316,"Santa Catarina Barahona",984,"Ocupada",880,89.43
316,"Santa Catarina Barahona",984,"De uso temporal",24,2.44
316,"Santa Catarina Barahona",984,"Desocupada",80,8.13
316,"Santa Catarina Barahona",984,"Rechazo total o parcial",0,0
401,"Chimaltenango",24729,"Ocupada",19848,80.26
401,"Chimaltenango",24729,"De uso temporal",309,1.25
401,"Chimaltenango",24729,"Desocupada",3511,14.2
401,"Chimaltenango",24729,"Rechazo total o parcial",1061,4.29
402,"San José Poaquil",6159,"Ocupada",5011,81.36
402,"San José Poaquil",6159,"De uso temporal",277,4.5
402,"San José Poaquil",6159,"Desocupada",868,14.09
402,"San José Poaquil",6159,"Rechazo total o parcial",3,0.05
403,"San Martín Jilotepeque",18953,"Ocupada",14578,76.92
403,"San Martín Jilotepeque",18953,"De uso temporal",226,1.19
403,"San Martín Jilotepeque",18953,"Desocupada",3818,20.14
403,"San Martín Jilotepeque",18953,"Rechazo total o parcial",331,1.75
404,"San Juan Comalapa",11488,"Ocupada",9541,83.05
404,"San Juan Comalapa",11488,"De uso temporal",94,0.82
404,"San Juan Comalapa",11488,"Desocupada",1812,15.77
404,"San Juan Comalapa",11488,"Rechazo total o parcial",41,0.36
405,"Santa Apolonia",3625,"Ocupada",3204,88.39
405,"Santa Apolonia",3625,"De uso temporal",23,0.63
405,"Santa Apolonia",3625,"Desocupada",398,10.98
405,"Santa Apolonia",3625,"Rechazo total o parcial",0,0
406,"Tecpán Guatemala",18140,"Ocupada",15850,87.38
406,"Tecpán Guatemala",18140,"De uso temporal",174,0.96
406,"Tecpán Guatemala",18140,"Desocupada",2101,11.58
406,"Tecpán Guatemala",18140,"Rechazo total o parcial",15,0.08
407,"Patzún",13619,"Ocupada",11750,86.28
407,"Patzún",13619,"De uso temporal",206,1.51
407,"Patzún",13619,"Desocupada",1638,12.03
407,"Patzún",13619,"Rechazo total o parcial",25,0.18
408,"San Miguel Pochuta",1983,"Ocupada",1653,83.36
408,"San Miguel Pochuta",1983,"De uso temporal",34,1.71
408,"San Miguel Pochuta",1983,"Desocupada",295,14.88
408,"San Miguel Pochuta",1983,"Rechazo total o parcial",1,0.05
409,"Patzicía",7768,"Ocupada",6744,86.82
409,"Patzicía",7768,"De uso temporal",113,1.45
409,"Patzicía",7768,"Desocupada",907,11.68
409,"Patzicía",7768,"Rechazo total o parcial",4,0.05
410,"Santa Cruz Balanyá",2327,"Ocupada",1958,84.14
410,"Santa Cruz Balanyá",2327,"De uso temporal",19,0.82
410,"Santa Cruz Balanyá",2327,"Desocupada",348,14.95
410,"Santa Cruz Balanyá",2327,"Rechazo total o parcial",2,0.09
411,"Acatenango",5654,"Ocupada",4662,82.45
411,"Acatenango",5654,"De uso temporal",71,1.26
411,"Acatenango",5654,"Desocupada",915,16.18
411,"Acatenango",5654,"Rechazo total o parcial",6,0.11
412,"San Pedro Yepocapa",7432,"Ocupada",6689,90
412,"San Pedro Yepocapa",7432,"De uso temporal",113,1.52
412,"San Pedro Yepocapa",7432,"Desocupada",597,8.03
412,"San Pedro Yepocapa",7432,"Rechazo total o parcial",33,0.44
413,"San Andrés Itzapa",7689,"Ocupada",6297,81.9
413,"San Andrés Itzapa",7689,"De uso temporal",61,0.79
413,"San Andrés Itzapa",7689,"Desocupada",1179,15.33
