"Código","Municipio","Total de viviendas","Tipo de Vivienda","Cantidad de Viviendas","Porcentaje de Viviendas"
101,"Guatemala",283886,"Total de viviendas colectivas",130,0.05
101,"Guatemala",283886,"Casa Formal",226906,79.93
101,"Guatemala",283886,"Apartamento",36160,12.74
101,"Guatemala",283886,"Cuarto de casa de vecindad",11771,4.15
101,"Guatemala",283886,"Rancho",15,0.01
101,"Guatemala",283886,"Improvisada",383,0.13
101,"Guatemala",283886,"Otro",162,0.06
101,"Guatemala",283886,"Particular no registrada",8359,2.94
102,"Santa Catarina Pinula",24997,"Total de viviendas colectivas",6,0.02
102,"Santa Catarina Pinula",24997,"Casa Formal",22654,90.63
102,"Santa Catarina Pinula",24997,"Apartamento",867,3.47
102,"Santa Catarina Pinula",24997,"Cuarto de casa de vecindad",551,2.2
102,"Santa Catarina Pinula",24997,"Rancho",9,0.04
102,"Santa Catarina Pinula",24997,"Improvisada",72,0.29
102,"Santa Catarina Pinula",24997,"Otro",36,0.14
102,"Santa Catarina Pinula",24997,"Particular no registrada",802,3.21
103,"San José Pinula",23683,"Total de viviendas colectivas",8,0.03
103,"San José Pinula",23683,"Casa Formal",21785,91.99
103,"San José Pinula",23683,"Apartamento",421,1.78
103,"San José Pinula",23683,"Cuarto de casa de vecindad",407,1.72
103,"San José Pinula",23683,"Rancho",11,0.05
103,"San José Pinula",23683,"Improvisada",57,0.24
103,"San José Pinula",23683,"Otro",7,0.03
103,"San José Pinula",23683,"Particular no registrada",987,4.17
104,"San José del Golfo",2411,"Total de viviendas colectivas",0,0
104,"San José del Golfo",2411,"Casa Formal",2386,98.96
104,"San José del Golfo",2411,"Apartamento",9,0.37
104,"San José del Golfo",2411,"Cuarto de casa de vecindad",0,0
104,"San José del Golfo",2411,"Rancho",0,0
104,"San José del Golfo",2411,"Improvisada",10,0.41
104,"San José del Golfo",2411,"Otro",2,0.08
104,"San José del Golfo",2411,"Particular no registrada",4,0.17
105,"Palencia",20107,"Total de viviendas colectivas",2,0.01
105,"Palencia",20107,"Casa Formal",19753,98.24
105,"Palencia",20107,"Apartamento",78,0.39
105,"Palencia",20107,"Cuarto de casa de vecindad",58,0.29
105,"Palencia",20107,"Rancho",5,0.02
105,"Palencia",20107,"Improvisada",195,0.97
105,"Palencia",20107,"Otro",5,0.02
105,"Palencia",20107,"Particular no registrada",11,0.05
106,"Chinautla",31007,"Total de viviendas colectivas",6,0.02
106,"Chinautla",31007,"Casa Formal",29292,94.47
106,"Chinautla",31007,"Apartamento",806,2.6
106,"Chinautla",31007,"Cuarto de casa de vecindad",382,1.23
106,"Chinautla",31007,"Rancho",5,0.02
106,"Chinautla",31007,"Improvisada",145,0.47
106,"Chinautla",31007,"Otro",13,0.04
106,"Chinautla",31007,"Particular no registrada",358,1.15
107,"San Pedro Ayampuc",17140,"Total de viviendas colectivas",1,0.01
107,"San Pedro Ayampuc",17140,"Casa Formal",16835,98.22
107,"San Pedro Ayampuc",17140,"Apartamento",119,0.69
107,"San Pedro Ayampuc",17140,"Cuarto de casa de vecindad",32,0.19
107,"San Pedro Ayampuc",17140,"Rancho",8,0.05
107,"San Pedro Ayampuc",17140,"Improvisada",38,0.22
107,"San Pedro Ayampuc",17140,"Otro",25,0.15
107,"San Pedro Ayampuc",17140,"Particular no registrada",82,0.48
108,"Mixco",130545,"Total de viviendas colectivas",58,0.04
108,"Mixco",130545,"Casa Formal",112451,86.14
108,"Mixco",130545,"Apartamento",8860,6.79
108,"Mixco",130545,"Cuarto de casa de vecindad",6936,5.31
108,"Mixco",130545,"Rancho",25,0.02
108,"Mixco",130545,"Improvisada",237,0.18
108,"Mixco",130545,"Otro",81,0.06
108,"Mixco",130545,"Particular no registrada",1897,1.45
109,"San Pedro Sacatepéquez",11747,"Total de viviendas colectivas",0,0
109,"San Pedro Sacatepéquez",11747,"Casa Formal",11416,97.18
109,"San Pedro Sacatepéquez",11747,"Apartamento",63,0.54
109,"San Pedro Sacatepéquez",11747,"Cuarto de casa de vecindad",120,1.02
109,"San Pedro Sacatepéquez",11747,"Rancho",5,0.04
109,"San Pedro Sacatepéquez",11747,"Improvisada",113,0.96
109,"San Pedro Sacatepéquez",11747,"Otro",7,0.06
109,"San Pedro Sacatepéquez",11747,"Particular no registrada",23,0.2
110,"San Juan Sacatepéquez",56518,"Total de viviendas colectivas",1,0
110,"San Juan Sacatepéquez",56518,"Casa Formal",54170,95.85
110,"San Juan Sacatepéquez",56518,"Apartamento",247,0.44
110,"San Juan Sacatepéquez",56518,"Cuarto de casa de vecindad",251,0.44
110,"San Juan Sacatepéquez",56518,"Rancho",32,0.06
110,"San Juan Sacatepéquez",56518,"Improvisada",670,1.19
110,"San Juan Sacatepéquez",56518,"Otro",24,0.04
110,"San Juan Sacatepéquez",56518,"Particular no registrada",1123,1.99
111,"San Raymundo",9362,"Total de viviendas colectivas",0,0
111,"San Raymundo",9362,"Casa Formal",9210,98.38
111,"San Raymundo",9362,"Apartamento",47,0.5
111,"San Raymundo",9362,"Cuarto de casa de vecindad",12,0.13
111,"San Raymundo",9362,"Rancho",3,0.03
111,"San Raymundo",9362,"Improvisada",57,0.61
111,"San Raymundo",9362,"Otro",17,0.18
111,"San Raymundo",9362,"Particular no registrada",16,0.17
112,"Chuarrancho",3757,"Total de viviendas colectivas",0,0
112,"Chuarrancho",3757,"Casa Formal",3723,99.1
112,"Chuarrancho",3757,"Apartamento",3,0.08
112,"Chuarrancho",3757,"Cuarto de casa de vecindad",4,0.11
112,"Chuarrancho",3757,"Rancho",5,0.13
112,"Chuarrancho",3757,"Improvisada",13,0.35
112,"Chuarrancho",3757,"Otro",5,0.13
112,"Chuarrancho",3757,"Particular no registrada",4,0.11
113,"Fraijanes",16775,"Total de viviendas colectivas",6,0.04
