"Código","Municipio","Total de personas","Zona","Cantidad de Personas","Porcentaje de Poblacion"
101,"Guatemala",923392,"Urbano",923392,100
101,"Guatemala",923392,"Rural",0,0
102,"Santa Catarina Pinula",80582,"Urbano",70982,88.09
102,"Santa Catarina Pinula",80582,"Rural",9600,11.91
103,"San José Pinula",79844,"Urbano",67327,84.32
103,"San José Pinula",79844,"Rural",12517,15.68
104,"San José del Golfo",7229,"Urbano",2331,32.25
104,"San José del Golfo",7229,"Rural",4898,67.75
105,"Palencia",70973,"Urbano",31824,44.84
105,"Palencia",70973,"Rural",39149,55.16
106,"Chinautla",114752,"Urbano",104972,91.48
106,"Chinautla",114752,"Rural",9780,8.52
107,"San Pedro Ayampuc",58609,"Urbano",48727,83.14
107,"San Pedro Ayampuc",58609,"Rural",9882,16.86
108,"Mixco",465773,"Urbano",463019,99.41
108,"Mixco",465773,"Rural",2754,0.59
109,"San Pedro Sacatepéquez",51292,"Urbano",36932,72
109,"San Pedro Sacatepéquez",51292,"Rural",14360,28
110,"San Juan Sacatepéquez",218156,"Urbano",155965,71.49
110,"San Juan Sacatepéquez",218156,"Rural",62191,28.51
111,"San Raymundo",31605,"Urbano",15447,48.88
111,"San Raymundo",31605,"Rural",16158,51.12
112,"Chuarrancho",12638,"Urbano",7634,60.41
112,"Chuarrancho",12638,"Rural",5004,39.59
113,"Fraijanes",58922,"Urbano",44117,74.87
113,"Fraijanes",58922,"Rural",14805,25.13
114,"Amatitlán",116711,"Urbano",98176,84.12
114,"Amatitlán",116711,"Rural",18535,15.88
115,"Villa Nueva",433734,"Urbano",426316,98.29
115,"Villa Nueva",433734,"Rural",7418,1.71
116,"Villa Canales",155422,"Urbano",124680,80.22
116,"Villa Canales",155422,"Rural",30742,19.78
117,"San Miguel Petapa",135447,"Urbano",129124,95.33
117,"San Miguel Petapa",135447,"Rural",6323,4.67
201,"Guastatoya",24821,"Urbano",24821,100
201,"Guastatoya",24821,"Rural",0,0
202,"Morazán",12164,"Urbano",2581,21.22
202,"Morazán",12164,"Rural",9583,78.78
203,"San Agustín Acasaguastlán",45765,"Urbano",17728,38.74
203,"San Agustín Acasaguastlán",45765,"Rural",28037,61.26
204,"San Cristóbal Acasaguastlán",7199,"Urbano",2329,32.35
204,"San Cristóbal Acasaguastlán",7199,"Rural",4870,67.65
205,"El Jícaro",13128,"Urbano",6911,52.64
205,"El Jícaro",13128,"Rural",6217,47.36
206,"Sansare",13154,"Urbano",4727,35.94
206,"Sansare",13154,"Rural",8427,64.06
207,"Sanarate",39444,"Urbano",20976,53.18
207,"Sanarate",39444,"Rural",18468,46.82
208,"San Antonio la Paz",20957,"Urbano",11343,54.13
208,"San Antonio la Paz",20957,"Rural",9614,45.87
301,"Antigua Guatemala",46054,"Urbano",46054,100
301,"Antigua Guatemala",46054,"Rural",0,0
302,"Jocotenango",21657,"Urbano",19280,89.02
302,"Jocotenango",21657,"Rural",2377,10.98
303,"Pastores",17814,"Urbano",12621,70.85
303,"Pastores",17814,"Rural",5193,29.15
304,"Sumpango",37260,"Urbano",28488,76.46
304,"Sumpango",37260,"Rural",8772,23.54
305,"Santo Domingo Xenacoj",12402,"Urbano",10632,85.73
305,"Santo Domingo Xenacoj",12402,"Rural",1770,14.27
306,"Santiago Sacatepéquez",29238,"Urbano",24100,82.43
306,"Santiago Sacatepéquez",29238,"Rural",5138,17.57
307,"San Bartolomé Milpas Altas",7816,"Urbano",7816,100
307,"San Bartolomé Milpas Altas",7816,"Rural",0,0
308,"San Lucas Sacatepéquez",23369,"Urbano",20723,88.68
308,"San Lucas Sacatepéquez",23369,"Rural",2646,11.32
309,"Santa Lucía Milpas Altas",15570,"Urbano",12234,78.57
309,"Santa Lucía Milpas Altas",15570,"Rural",3336,21.43
310,"Magdalena Milpas Altas",11856,"Urbano",7841,66.14
310,"Magdalena Milpas Altas",11856,"Rural",4015,33.86
311,"Santa María de Jesús",21938,"Urbano",21795,99.35
311,"Santa María de Jesús",21938,"Rural",143,0.65
312,"Ciudad Vieja",33405,"Urbano",32802,98.19
312,"Ciudad Vieja",33405,"Rural",603,1.81
313,"San Miguel Dueñas",12696,"Urbano",10892,85.79
313,"San Miguel Dueñas",12696,"Rural",1804,14.21
314,"San Juan Alotenango",23986,"Urbano",23358,97.38
314,"San Juan Alotenango",23986,"Rural",628,2.62
315,"San Antonio Aguas Calientes",11347,"Urbano",9669,85.21
315,"San Antonio Aguas Calientes",11347,"Rural",1678,14.79
316,"Santa Catarina Barahona",4061,"Urbano",4061,100
316,"Santa Catarina Barahona",4061,"Rural",0,0
401,"Chimaltenango",96985,"Urbano",96985,100
401,"Chimaltenango",96985,"Rural",0,0
402,"San José Poaquil",26845,"Urbano",9726,36.23
402,"San José Poaquil",26845,"Rural",17119,63.77
403,"San Martín Jilotepeque",73469,"Urbano",10812,14.72
403,"San Martín Jilotepeque",73469,"Rural",62657,85.28
404,"San Juan Comalapa",48597,"Urbano",32312,66.49
404,"San Juan Comalapa",48597,"Rural",16285,33.51
405,"Santa Apolonia",18540,"Urbano",2314,12.48
405,"Santa Apolonia",18540,"Rural",16226,87.52
406,"Tecpán Guatemala",91927,"Urbano",34519,37.55
406,"Tecpán Guatemala",91927,"Rural",57408,62.45
407,"Patzún",58240,"Urbano",26632,45.73
407,"Patzún",58240,"Rural",31608,54.27
408,"San Miguel Pochuta",8790,"Urbano",4272,48.6
408,"San Miguel Pochuta",8790,"Rural",4518,51.4
409,"Patzicía",33207,"Urbano",21249,63.99
409,"Patzicía",33207,"Rural",11958,36.01
410,"Santa Cruz Balanyá",9479,"Urbano",1545,16.3
410,"Santa Cruz Balanyá",9479,"Rural",7934,83.7
411,"Acatenango",23228,"Urbano",12136,52.25
411,"Acatenango",23228,"Rural",11092,47.75
412,"San Pedro Yepocapa",34948,"Urbano",17021,48.7
412,"San Pedro Yepocapa",34948,"Rural",17927,51.3
413,"San Andrés Itzapa",32083,"Urbano",24992,77.9
413,"San Andrés Itzapa",32083,"Rural",7091,22.1
414,"Parramos",15924,"Urbano",11970,75.17
414,"Parramos",15924,"Rural",3954,24.83
415,"Zaragoza",24022,"Urbano",11176,46.52
415,"Zaragoza",24022,"Rural",12846,53.48
416,"El Tejar",19492,"Urbano",15639,80.23
416,"El Tejar",19492,"Rural",3853,19.77
501,"Escuintla",156313,"Urbano",156313,100
501,"Escuintla",156313,"Rural",0,0
502,"Santa Lucía Cotzumalguapa",112780,"Urbano",58877,52.21
502,"Santa Lucía Cotzumalguapa",112780,"Rural",53903,47.79
503,"La Democracia",23017,"Urbano",13400,58.22
